Target_genes	ZNF398|Average	SRX3322508|293	SRX3322509|293	SRX6742746|hES_BG01V	SRX6742745|hESC_H9	SRX16497164|K-562	SRX16497166|K-562	STRING
RSPO1	171.000000	388	638	0	0	0	0	0
FAM110C	171.000000	333	693	0	0	0	0	0
TOB1	170.833333	511	514	0	0	0	0	0
CPPED1	170.833333	411	614	0	0	0	0	0
ZFYVE16	170.500000	376	647	0	0	0	0	0
TEX9	170.166667	358	663	0	0	0	0	0
RFX7	170.166667	358	663	0	0	0	0	0
ATP2B1	170.166667	499	522	0	0	0	0	0
TRARG1	170.000000	523	497	0	0	0	0	0
COL8A1	169.666667	340	678	0	0	0	0	0
SLC44A5	169.500000	375	642	0	0	0	0	0
FANCC	169.166667	348	667	0	0	0	0	0
ZNF641	168.666667	417	595	0	0	0	0	0
ZIC2	168.666667	382	630	0	0	0	0	0
PCBD1	168.666667	420	592	0	0	0	0	0
LLGL1	168.500000	457	554	0	0	0	0	0
CFAP20	168.500000	414	597	0	0	0	0	0
BAIAP2	168.500000	338	673	0	0	0	0	0
PRKACA	168.333333	372	638	0	0	0	0	0
NUMBL	168.333333	463	547	0	0	0	0	0
TMEM39B	168.166667	493	516	0	0	0	0	0
SGTB	168.166667	442	567	0	0	0	0	0
PROCR	168.166667	424	585	0	0	0	0	0
NLN	168.166667	442	567	0	0	0	0	0
KDM3A	168.166667	441	568	0	0	0	0	0
CAV1	168.166667	404	605	0	0	0	0	0
SLC16A7	168.000000	456	552	0	0	0	0	0
SLFN11	167.833333	488	519	0	0	0	0	0
RNF8	167.833333	478	529	0	0	0	0	0
ECE1	167.833333	464	543	0	0	0	0	0
CHGB	167.666667	365	641	0	0	0	0	0
PER1	167.333333	417	587	0	0	0	0	0
HEXA	167.333333	449	555	0	0	0	0	0
GOLIM4	167.333333	489	515	0	0	0	0	0
MAP3K2	167.166667	319	684	0	0	0	0	0
HOXD13	167.000000	317	685	0	0	0	0	0
EFHB	167.000000	515	487	0	0	0	0	0
SEPTIN2	166.833333	452	549	0	0	0	0	0
HDLBP	166.833333	452	549	0	0	0	0	0
DTNA	166.833333	364	637	0	0	0	0	0
ZNF865	166.333333	466	532	0	0	0	0	0
TGFBRAP1	166.333333	386	612	0	0	0	0	0
TELO2	166.333333	411	587	0	0	0	0	0
SLC35A3	166.333333	370	628	0	0	0	0	0
PAX6	166.333333	402	596	0	0	0	0	0
SSC5D	166.166667	357	640	0	0	0	0	0
SKA2	166.000000	321	675	0	0	0	0	0
PRR11	166.000000	321	675	0	0	0	0	0
SCRT2	165.833333	536	459	0	0	0	0	0
LOXL3	165.500000	432	561	0	0	0	0	0
DOK1	165.500000	432	561	0	0	0	0	0
RTL8B	165.333333	435	557	0	0	0	0	0
PARP2	165.333333	210	437	0	345	0	0	0
TRIM36	165.166667	351	640	0	0	0	0	0
TP53I13	165.166667	375	616	0	0	0	0	0
MED12	165.166667	416	575	0	0	0	0	0
ANKRD28	165.166667	406	585	0	0	0	0	0
ABHD15	165.166667	375	616	0	0	0	0	0
FOXC2	165.000000	355	635	0	0	0	0	0
ZNF217	164.833333	457	532	0	0	0	0	0
PLAUR	164.833333	393	596	0	0	0	0	0
RIC8B	164.666667	410	578	0	0	0	0	0
OSBPL9	164.666667	429	559	0	0	0	0	0
HOXA11	164.666667	336	652	0	0	0	0	0
CYLD	164.500000	415	572	0	0	0	0	0
ALPK2	164.500000	413	574	0	0	0	0	0
KIF1A	164.333333	266	720	0	0	0	0	0
ANXA2	164.333333	345	641	0	0	0	0	0
SP6	164.166667	293	692	0	0	0	0	0
ATP6V1B2	164.000000	326	658	0	0	0	0	0
PCBP4	163.833333	372	611	0	0	0	0	0
HUWE1	163.833333	363	620	0	0	0	0	0
EXOG	163.833333	533	450	0	0	0	0	0
ATXN2	163.500000	314	667	0	0	0	0	0
CARM1	163.333333	419	561	0	0	0	0	0
FEZF1	162.833333	404	573	0	0	0	0	0
UBXN6	162.666667	431	545	0	0	0	0	0
ZFP62	162.500000	210	765	0	0	0	0	0
VEGFA	162.166667	369	604	0	0	0	0	0
SH2B3	162.166667	438	535	0	0	0	0	0
DIXDC1	162.166667	393	580	0	0	0	0	0
DLAT	162.000000	430	542	0	0	0	0	0
WBP2	161.833333	408	563	0	0	0	0	0
ANP32A	161.833333	418	553	0	0	0	0	0
BMT2	161.666667	334	636	0	0	0	0	0
UBL4A	161.500000	353	616	0	0	0	0	0
STING1	161.500000	394	575	0	0	0	0	0
PACSIN2	161.500000	373	596	0	0	0	0	0
INTS6	161.500000	396	573	0	0	0	0	0
STRAP	161.333333	360	608	0	0	0	0	0
USP27X	161.166667	400	567	0	0	0	0	0
SLC46A1	161.166667	405	562	0	0	0	0	0
ACTN4	161.166667	317	650	0	0	0	0	0
KREMEN2	161.000000	344	465	0	157	0	0	0
TPBG	160.833333	448	517	0	0	0	0	0
SLC6A9	160.833333	483	482	0	0	0	0	0
PAMR1	160.833333	364	601	0	0	0	0	0
PTBP2	160.666667	361	603	0	0	0	0	0
MAP3K8	160.666667	349	615	0	0	0	0	0
BLVRA	160.666667	271	693	0	0	0	0	0
IL15RA	160.500000	338	625	0	0	0	0	0
HDGFL2	160.500000	440	523	0	0	0	0	0
CADPS2	160.500000	255	708	0	0	0	0	0
PWWP3A	160.333333	317	645	0	0	0	0	0
CYTH1	160.000000	778	182	0	0	0	0	0
RPS19	159.500000	474	483	0	0	0	0	0
PARP16	159.500000	391	566	0	0	0	0	0
IDS	159.500000	321	636	0	0	0	0	0
GFRA1	159.500000	451	506	0	0	0	0	0
EIF4EBP1	159.500000	395	562	0	0	0	0	0
CNR1	159.500000	386	571	0	0	0	0	0
ZNF292	159.166667	415	540	0	0	0	0	0
WRN	159.166667	347	608	0	0	0	0	0
PURG	159.166667	347	608	0	0	0	0	0
SENP3	159.000000	281	673	0	0	0	0	0
ASTN1	159.000000	368	586	0	0	0	0	0
PGBD2	158.666667	368	584	0	0	0	0	0
GID4	158.666667	413	539	0	0	0	0	0
ATPAF2	158.666667	413	539	0	0	0	0	0
RAB12	158.500000	363	588	0	0	0	0	0
NET1	158.500000	392	559	0	0	0	0	0
GABRA2	158.500000	466	485	0	0	0	0	0
EZH1	158.500000	311	640	0	0	0	0	0
HDAC5	158.333333	401	549	0	0	0	0	0
ACBD7	158.333333	448	502	0	0	0	0	0
SETX	158.166667	358	591	0	0	0	0	0
QPRT	158.000000	358	590	0	0	0	0	0
POLR1H	158.000000	440	508	0	0	0	0	0
PHF24	158.000000	241	707	0	0	0	0	0
ITPRID2	158.000000	271	677	0	0	0	0	0
RNF122	157.833333	318	629	0	0	0	0	0
SMOC1	157.666667	437	509	0	0	0	0	0
TTC30B	157.500000	395	550	0	0	0	0	0
PIN4	157.500000	392	553	0	0	0	0	0
WWTR1	157.333333	410	534	0	0	0	0	0
TNRC18	157.333333	434	510	0	0	0	0	0
FAM111A	157.333333	202	584	0	158	0	0	0
UFL1	157.166667	434	509	0	0	0	0	0
SYT3	157.166667	373	570	0	0	0	0	0
PHF2	157.166667	362	581	0	0	0	0	0
HECTD2	157.000000	461	481	0	0	0	0	0
SCG3	156.833333	341	600	0	0	0	0	0
CCNI	156.833333	416	525	0	0	0	0	0
PRELID3A	156.500000	327	612	0	0	0	0	0
PPP1R9B	156.333333	359	579	0	0	0	0	0
CYP1B1	156.333333	376	562	0	0	0	0	0
LMO4	156.166667	449	488	0	0	0	0	0
RHPN2	156.000000	335	601	0	0	0	0	0
POGZ	156.000000	366	570	0	0	0	0	0
BAZ1B	156.000000	392	544	0	0	0	0	0
UBR5	155.833333	405	530	0	0	0	0	0
TIMM21	155.666667	347	587	0	0	0	0	0
PHF19	155.666667	356	578	0	0	0	0	0
MYL6	155.666667	279	489	0	166	0	0	0
FBXO15	155.666667	347	587	0	0	0	0	0
CYTH2	155.666667	405	529	0	0	0	0	0
PTPA	155.500000	385	548	0	0	0	0	0
HERC4	155.500000	336	597	0	0	0	0	0
GEMIN8	155.500000	352	581	0	0	0	0	0
DENND4A	155.500000	375	558	0	0	0	0	0
CRAT	155.500000	385	548	0	0	0	0	0
UNK	155.333333	477	455	0	0	0	0	0
NDUFS7	155.333333	434	498	0	0	0	0	0
MAP3K21	155.333333	348	584	0	0	0	0	0
CACNA1G	155.333333	249	683	0	0	0	0	0
PAK4	155.166667	438	493	0	0	0	0	0
IFI30	155.166667	364	567	0	0	0	0	0
EVA1A	155.166667	318	613	0	0	0	0	0
COMMD4	155.166667	342	589	0	0	0	0	0
TPMT	155.000000	402	528	0	0	0	0	0
METTL7B	155.000000	237	693	0	0	0	0	0
KDM1B	155.000000	402	528	0	0	0	0	0
CHRNG	155.000000	429	501	0	0	0	0	0
TULP3	154.833333	359	570	0	0	0	0	0
NR1H3	154.833333	353	576	0	0	0	0	0
MSRB3	154.833333	398	531	0	0	0	0	0
PLEKHA5	154.666667	359	569	0	0	0	0	0
FAM83B	154.666667	389	539	0	0	0	0	0
MZF1	154.500000	425	502	0	0	0	0	0
RPAP3	154.333333	447	479	0	0	0	0	0
NUP54	154.166667	365	560	0	0	0	0	0
TMEM255B	154.000000	346	578	0	0	0	0	0
F2R	154.000000	294	630	0	0	0	0	0
ETFB	154.000000	397	527	0	0	0	0	0
GPD2	153.500000	388	533	0	0	0	0	0
BRD2	153.333333	380	540	0	0	0	0	0
DCLRE1B	153.166667	290	629	0	0	0	0	0
AP4B1	153.166667	290	629	0	0	0	0	0
TRPC4	153.000000	366	552	0	0	0	0	0
PDS5A	153.000000	226	692	0	0	0	0	0
NELL2	153.000000	309	609	0	0	0	0	0
ADGRL1	153.000000	419	499	0	0	0	0	0
ZNF846	152.833333	420	497	0	0	0	0	0
MAST2	152.833333	307	610	0	0	0	0	0
TRMT1L	152.666667	334	582	0	0	0	0	0
TASP1	152.666667	296	620	0	0	0	0	0
SWT1	152.666667	334	582	0	0	0	0	0
NACC1	152.500000	263	550	0	102	0	0	0
CALCR	152.500000	257	658	0	0	0	0	0
ATP1B1	152.500000	401	514	0	0	0	0	0
SIRT4	152.333333	380	447	0	0	87	0	0
BNC2	152.333333	310	604	0	0	0	0	0
PPARGC1A	152.166667	400	513	0	0	0	0	0
PLK1	152.166667	402	511	0	0	0	0	0
GTF2H4	152.000000	331	581	0	0	0	0	0
SDK2	151.833333	360	551	0	0	0	0	0
MFSD4A	151.833333	319	592	0	0	0	0	0
GGN	151.666667	365	545	0	0	0	0	0
HEYL	151.500000	353	556	0	0	0	0	0
CYP20A1	151.333333	313	595	0	0	0	0	0
TMEM38A	151.000000	382	524	0	0	0	0	0
CTCF	151.000000	289	617	0	0	0	0	0
PNRC1	150.833333	306	599	0	0	0	0	0
NKAIN1	150.833333	407	498	0	0	0	0	0
COQ9	150.833333	379	526	0	0	0	0	0
CIAPIN1	150.833333	379	526	0	0	0	0	0
SLC39A1	150.666667	412	492	0	0	0	0	0
GRM4	150.666667	352	445	0	107	0	0	0
ANTXR1	150.500000	387	516	0	0	0	0	0
ZNF652	150.333333	249	653	0	0	0	0	0
USO1	150.166667	316	585	0	0	0	0	0
BIRC6	150.166667	306	595	0	0	0	0	0
UBE2L5	150.000000	343	557	0	0	0	0	0
SLC25A23	150.000000	374	526	0	0	0	0	0
ITGA7	150.000000	330	570	0	0	0	0	0
STK19	149.833333	400	499	0	0	0	0	0
FAM171B	149.833333	373	526	0	0	0	0	0
DXO	149.833333	400	499	0	0	0	0	0
AP3B1	149.833333	370	529	0	0	0	0	0
PROSER3	149.666667	312	586	0	0	0	0	0
HSPB6	149.666667	312	586	0	0	0	0	0
DDRGK1	149.666667	384	514	0	0	0	0	0
TMEM237	149.500000	330	567	0	0	0	0	0
SIRT1	149.500000	430	467	0	0	0	0	0
BICRA	149.500000	375	522	0	0	0	0	0
NFKBIA	149.333333	363	533	0	0	0	0	0
MYO1B	149.333333	352	544	0	0	0	0	0
DHRS4L1	149.000000	310	584	0	0	0	0	0
RAB3A	148.833333	390	503	0	0	0	0	0
NEO1	148.833333	302	591	0	0	0	0	0
DPYSL5	148.833333	411	482	0	0	0	0	0
SPATS2L	148.666667	384	508	0	0	0	0	0
NFYC	148.666667	395	497	0	0	0	0	0
CTIF	148.666667	345	547	0	0	0	0	0
MACIR	148.500000	325	566	0	0	0	0	0
UNC5C	148.333333	398	492	0	0	0	0	0
LPCAT3	148.333333	280	610	0	0	0	0	0
FOXD3	148.333333	244	646	0	0	0	0	0
ADGRB2	148.333333	368	522	0	0	0	0	0
ADCY6	148.333333	221	669	0	0	0	0	0
PPDPF	148.000000	300	588	0	0	0	0	0
SLCO5A1	147.833333	396	491	0	0	0	0	0
GRK5	147.833333	363	524	0	0	0	0	0
C11orf80	147.833333	379	508	0	0	0	0	0
EXOC6B	147.666667	331	555	0	0	0	0	0
BRSK1	147.666667	432	454	0	0	0	0	0
NR4A3	147.500000	418	467	0	0	0	0	0
KIAA0895L	147.500000	304	581	0	0	0	0	0
MAEL	147.333333	259	625	0	0	0	0	0
KMT2E	147.333333	401	483	0	0	0	0	0
ILDR2	147.333333	259	625	0	0	0	0	0
TMC6	147.166667	368	515	0	0	0	0	0
CXXC5	147.166667	339	544	0	0	0	0	0
CBX1	147.166667	290	593	0	0	0	0	0
CAMK2G	147.166667	329	554	0	0	0	0	0
C1QL4	146.833333	336	545	0	0	0	0	0
GRIP1	146.666667	396	484	0	0	0	0	0
BORCS6	146.666667	379	501	0	0	0	0	0
ANK1	146.666667	320	560	0	0	0	0	0
LEFTY1	146.166667	306	571	0	0	0	0	0
CDK19	146.166667	327	550	0	0	0	0	0
AMD1	146.166667	327	550	0	0	0	0	0
PUS7L	146.000000	395	481	0	0	0	0	0
IRAK4	146.000000	395	481	0	0	0	0	0
SH3RF2	145.833333	383	492	0	0	0	0	0
KLHL32	145.833333	478	397	0	0	0	0	0
ARHGAP10	145.833333	428	447	0	0	0	0	0
SFR1	145.500000	257	616	0	0	0	0	0
PICALM	145.500000	321	552	0	0	0	0	0
COL1A1	145.500000	405	468	0	0	0	0	0
SGK1	145.333333	457	415	0	0	0	0	0
POMGNT2	145.333333	371	501	0	0	0	0	0
FUT11	145.333333	339	533	0	0	0	0	0
CPNE4	145.333333	368	504	0	0	0	0	0
MSI2	145.166667	349	522	0	0	0	0	0
MEGF8	145.166667	265	606	0	0	0	0	0
GMPR	145.166667	239	632	0	0	0	0	0
DPF1	145.166667	320	551	0	0	0	0	0
AMOT	145.166667	406	465	0	0	0	0	0
KRT8	145.000000	301	569	0	0	0	0	0
CSNK2A2	145.000000	479	391	0	0	0	0	0
CAAP1	145.000000	387	483	0	0	0	0	0
AGRN	145.000000	327	543	0	0	0	0	0
WDR25	144.833333	368	501	0	0	0	0	0
WARS1	144.833333	368	501	0	0	0	0	0
PCDH9	144.833333	400	469	0	0	0	0	0
JPH4	144.833333	399	470	0	0	0	0	0
ITM2C	144.833333	265	604	0	0	0	0	0
ENO2	144.833333	363	506	0	0	0	0	0
RGS17	144.666667	326	542	0	0	0	0	0
COLGALT2	144.666667	325	543	0	0	0	0	0
CELF3	144.666667	389	479	0	0	0	0	0
RGPD6	144.500000	325	542	0	0	0	0	0
CBX3	144.500000	302	565	0	0	0	0	0
MICU3	144.333333	276	590	0	0	0	0	0
ELAVL3	144.166667	321	544	0	0	0	0	0
PAX2	144.000000	371	493	0	0	0	0	0
FAM222B	144.000000	314	550	0	0	0	0	0
TLCD3A	143.833333	315	548	0	0	0	0	0
JUND	143.833333	313	550	0	0	0	0	0
UBE2QL1	143.666667	359	503	0	0	0	0	0
UBE2B	143.500000	293	568	0	0	0	0	0
NOLC1	143.500000	293	568	0	0	0	0	0
MB21D2	143.500000	360	501	0	0	0	0	0
LLGL2	143.500000	295	566	0	0	0	0	0
CDKL3	143.500000	293	568	0	0	0	0	0
ALDH3A2	143.333333	366	494	0	0	0	0	0
TPD52	143.166667	268	591	0	0	0	0	0
MCTP1	143.000000	349	509	0	0	0	0	0
CYRIB	143.000000	311	547	0	0	0	0	0
CAST	143.000000	226	632	0	0	0	0	0
PCIF1	142.833333	338	519	0	0	0	0	0
MDM4	142.833333	384	473	0	0	0	0	0
B4GALT6	142.833333	300	557	0	0	0	0	0
GLDC	142.666667	373	483	0	0	0	0	0
ENPP1	142.666667	348	508	0	0	0	0	0
REEP4	142.500000	299	556	0	0	0	0	0
CSNK1E	142.500000	368	487	0	0	0	0	0
DUSP9	142.333333	311	543	0	0	0	0	0
DCAF1	142.333333	378	476	0	0	0	0	0
IRF3	142.166667	406	447	0	0	0	0	0
BCL2L12	142.166667	406	447	0	0	0	0	0
INPP5B	141.833333	388	463	0	0	0	0	0
HMGCS1	141.833333	300	551	0	0	0	0	0
CPOX	141.666667	369	481	0	0	0	0	0
CPNE2	141.666667	164	686	0	0	0	0	0
CLOCK	141.666667	340	510	0	0	0	0	0
RASGRP3	141.500000	405	444	0	0	0	0	0
PPP3CA	141.500000	322	527	0	0	0	0	0
ID1	141.333333	279	569	0	0	0	0	0
PIGBOS1	141.166667	319	528	0	0	0	0	0
PIGB	141.166667	319	528	0	0	0	0	0
FZD6	141.166667	328	519	0	0	0	0	0
PARD3	141.000000	175	671	0	0	0	0	0
CREBRF	141.000000	364	482	0	0	0	0	0
CASZ1	141.000000	295	551	0	0	0	0	0
RFPL2	140.833333	294	551	0	0	0	0	0
NINJ2	140.666667	329	515	0	0	0	0	0
CASP8AP2	140.666667	344	500	0	0	0	0	0
ZNF444	140.500000	358	485	0	0	0	0	0
PALM3	140.333333	282	560	0	0	0	0	0
OLIG1	140.333333	387	455	0	0	0	0	0
CNOT6L	140.333333	363	479	0	0	0	0	0
NOG	140.000000	404	436	0	0	0	0	0
STK32A	139.833333	259	580	0	0	0	0	0
MOB3B	139.833333	350	489	0	0	0	0	0
LPIN2	139.833333	244	595	0	0	0	0	0
ZYG11A	139.666667	321	517	0	0	0	0	0
TLE3	139.666667	247	591	0	0	0	0	0
TCF7	139.500000	368	469	0	0	0	0	0
PLEKHH3	139.500000	327	510	0	0	0	0	0
NADK2	139.500000	421	416	0	0	0	0	0
HMGB1	139.500000	111	726	0	0	0	0	0
DCAF5	139.500000	254	583	0	0	0	0	0
ALX1	139.500000	344	493	0	0	0	0	0
ZNF764	139.333333	339	497	0	0	0	0	0
SETD2	139.333333	324	512	0	0	0	0	0
PAK3	139.333333	379	457	0	0	0	0	0
MMP28	139.166667	298	537	0	0	0	0	0
MAP1A	139.166667	355	480	0	0	0	0	0
TOR1AIP1	139.000000	295	539	0	0	0	0	0
MARCHF9	139.000000	410	424	0	0	0	0	0
LARGE1	139.000000	402	432	0	0	0	0	0
INPPL1	139.000000	354	480	0	0	0	0	0
CA13	139.000000	326	508	0	0	0	0	0
ARIH1	139.000000	320	514	0	0	0	0	0
ZNF571	138.833333	377	456	0	0	0	0	0
ZNF540	138.833333	377	456	0	0	0	0	0
ZBTB42	138.833333	372	461	0	0	0	0	0
SLMAP	138.833333	419	414	0	0	0	0	0
TGFBR2	138.666667	301	531	0	0	0	0	0
SNTB1	138.666667	300	532	0	0	0	0	0
GCHFR	138.666667	371	461	0	0	0	0	0
FEV	138.666667	455	377	0	0	0	0	0
WTIP	138.500000	194	637	0	0	0	0	0
SNX4	138.500000	318	513	0	0	0	0	0
KIAA1522	138.500000	227	535	0	69	0	0	0
HELZ	138.500000	311	520	0	0	0	0	0
LOC390877	138.333333	341	489	0	0	0	0	0
GTF2F1	138.333333	341	489	0	0	0	0	0
IGDCC3	138.166667	241	588	0	0	0	0	0
FNDC3B	138.166667	323	506	0	0	0	0	0
NRN1	138.000000	361	467	0	0	0	0	0
TRO	137.833333	339	488	0	0	0	0	0
TNFAIP8	137.833333	342	485	0	0	0	0	0
NPM3	137.833333	330	497	0	0	0	0	0
JAG1	137.833333	281	546	0	0	0	0	0
TMEM250	137.500000	316	509	0	0	0	0	0
LRRC1	137.333333	167	657	0	0	0	0	0
HNRNPL	137.333333	317	507	0	0	0	0	0
RNF217	137.166667	292	531	0	0	0	0	0
PFKM	137.166667	333	490	0	0	0	0	0
DLGAP3	137.000000	432	390	0	0	0	0	0
ATP5MC2	137.000000	312	510	0	0	0	0	0
WAC	136.833333	246	575	0	0	0	0	0
TSC1	136.833333	243	578	0	0	0	0	0
PHKA1	136.833333	344	477	0	0	0	0	0
MLLT6	136.833333	395	426	0	0	0	0	0
L1CAM	136.833333	266	555	0	0	0	0	0
HERC5	136.833333	342	479	0	0	0	0	0
GGTA1	136.833333	308	513	0	0	0	0	0
CD34	136.833333	370	451	0	0	0	0	0
NNT	136.666667	314	506	0	0	0	0	0
IL4I1	136.666667	448	372	0	0	0	0	0
GPR63	136.666667	390	430	0	0	0	0	0
EHMT1	136.666667	406	414	0	0	0	0	0
C15orf62	136.666667	316	504	0	0	0	0	0
MANEAL	136.500000	253	566	0	0	0	0	0
TMEM94	136.333333	323	495	0	0	0	0	0
RTN3	136.166667	438	379	0	0	0	0	0
CYP1A1	136.166667	299	518	0	0	0	0	0
ZNF396	136.000000	356	460	0	0	0	0	0
ADGRG6	136.000000	328	488	0	0	0	0	0
TUFM	135.833333	392	423	0	0	0	0	0
SH2B1	135.833333	392	423	0	0	0	0	0
NDRG1	135.833333	412	403	0	0	0	0	0
L3MBTL3	135.666667	246	568	0	0	0	0	0
B3GNT2	135.666667	312	502	0	0	0	0	0
STK11IP	135.500000	392	421	0	0	0	0	0
SSTR3	135.500000	419	394	0	0	0	0	0
MECR	135.500000	382	431	0	0	0	0	0
GJA1	135.500000	322	491	0	0	0	0	0
CYP4F11	135.500000	366	447	0	0	0	0	0
CLASP1	135.500000	229	584	0	0	0	0	0
BACE2	135.500000	247	566	0	0	0	0	0
CDS1	135.333333	330	482	0	0	0	0	0
SCN2B	135.166667	360	451	0	0	0	0	0
MAMSTR	135.166667	376	435	0	0	0	0	0
LURAP1	135.166667	402	409	0	0	0	0	0
DYRK2	135.166667	399	412	0	0	0	0	0
AGL	135.166667	358	453	0	0	0	0	0
NDUFA10	135.000000	316	494	0	0	0	0	0
LEKR1	135.000000	288	522	0	0	0	0	0
DAB1	135.000000	243	567	0	0	0	0	0
CD55	135.000000	343	467	0	0	0	0	0
BCL9L	135.000000	353	457	0	0	0	0	0
BAZ2B	134.833333	314	495	0	0	0	0	0
SLC2A12	134.666667	386	422	0	0	0	0	0
ACKR3	134.666667	380	428	0	0	0	0	0
SHCBP1	134.500000	244	563	0	0	0	0	0
HECW1	134.500000	306	501	0	0	0	0	0
FNDC3A	134.500000	266	541	0	0	0	0	0
SHISA5	134.333333	295	511	0	0	0	0	0
MAZ	134.166667	345	460	0	0	0	0	0
UBR7	134.000000	295	509	0	0	0	0	0
RABGAP1	134.000000	256	548	0	0	0	0	0
GON7	134.000000	295	509	0	0	0	0	0
SETBP1	133.833333	370	433	0	0	0	0	0
ILVBL	133.833333	237	566	0	0	0	0	0
DENND2A	133.833333	310	493	0	0	0	0	0
C2CD2L	133.833333	298	505	0	0	0	0	0
ADAR	133.833333	326	477	0	0	0	0	0
NFKB2	133.666667	367	435	0	0	0	0	0
RSPH3	133.500000	309	492	0	0	0	0	0
PRPF40A	133.500000	401	400	0	0	0	0	0
ARL6IP6	133.500000	401	400	0	0	0	0	0
TTC9C	133.333333	280	520	0	0	0	0	0
HNRNPUL2	133.333333	280	520	0	0	0	0	0
HLF	133.333333	335	465	0	0	0	0	0
GTPBP3	133.333333	390	410	0	0	0	0	0
EYA4	133.333333	244	556	0	0	0	0	0
ANO8	133.333333	390	410	0	0	0	0	0
ABTB2	133.166667	359	440	0	0	0	0	0
DSC3	133.000000	300	498	0	0	0	0	0
RAPGEF3	132.833333	279	518	0	0	0	0	0
KCNH3	132.833333	258	539	0	0	0	0	0
FKBP8	132.833333	401	396	0	0	0	0	0
DNAJC18	132.833333	342	455	0	0	0	0	0
DHX33	132.833333	332	465	0	0	0	0	0
CCND3	132.833333	303	494	0	0	0	0	0
HOXC10	132.500000	400	395	0	0	0	0	0
GNG12	132.500000	363	432	0	0	0	0	0
GMFB	132.333333	331	463	0	0	0	0	0
SCN3B	132.000000	279	513	0	0	0	0	0
SAMD1	132.000000	225	567	0	0	0	0	0
RPS6KA3	131.833333	377	414	0	0	0	0	0
MAP3K7	131.833333	410	381	0	0	0	0	0
RSPRY1	131.666667	288	502	0	0	0	0	0
PSME3IP1	131.666667	288	502	0	0	0	0	0
POGK	131.666667	285	505	0	0	0	0	0
NRXN2	131.666667	358	432	0	0	0	0	0
SETD1A	131.500000	327	462	0	0	0	0	0
PYGL	131.500000	333	456	0	0	0	0	0
MAGIX	131.500000	0	789	0	0	0	0	0
EPN2	131.500000	293	496	0	0	0	0	0
PPM1L	131.333333	360	428	0	0	0	0	0
PLAC1	131.333333	335	453	0	0	0	0	0
FLYWCH2	131.333333	285	503	0	0	0	0	0
TXN2	131.166667	276	511	0	0	0	0	0
RBPJ	131.166667	315	472	0	0	0	0	0
PCSK1N	131.166667	400	387	0	0	0	0	0
PRDM12	131.000000	342	444	0	0	0	0	0
LYRM1	131.000000	357	429	0	0	0	0	0
KCNK2	131.000000	365	421	0	0	0	0	0
DCUN1D3	131.000000	357	429	0	0	0	0	0
VIRMA	130.833333	358	427	0	0	0	0	0
TBCB	130.833333	301	484	0	0	0	0	0
SLC6A6	130.833333	376	409	0	0	0	0	0
POLR2I	130.833333	301	484	0	0	0	0	0
JADE2	130.833333	402	383	0	0	0	0	0
ALAD	130.833333	356	429	0	0	0	0	0
PIGU	130.666667	267	517	0	0	0	0	0
ASXL1	130.666667	269	391	0	124	0	0	0
TRIP12	130.500000	310	473	0	0	0	0	0
FBXO36	130.500000	310	473	0	0	0	0	0
STX4	130.333333	317	465	0	0	0	0	0
AXIN2	130.333333	285	497	0	0	0	0	0
ZNF233	130.166667	290	491	0	0	0	0	0
SFXN5	130.166667	331	450	0	0	0	0	0
RHBDD1	130.166667	357	424	0	0	0	0	0
PRRT2	130.166667	284	497	0	0	0	0	0
NR3C1	130.166667	268	513	0	0	0	0	0
IRS1	130.166667	357	424	0	0	0	0	0
FOXQ1	130.166667	334	447	0	0	0	0	0
PKD1	130.000000	274	506	0	0	0	0	0
HNRNPD	130.000000	301	479	0	0	0	0	0
ANKRD13B	130.000000	240	540	0	0	0	0	0
STMN1	129.833333	359	420	0	0	0	0	0
RAB11FIP5	129.666667	325	453	0	0	0	0	0
KLF16	129.666667	283	495	0	0	0	0	0
GATB	129.500000	323	454	0	0	0	0	0
SDC3	129.333333	213	563	0	0	0	0	0
IQGAP2	129.333333	356	420	0	0	0	0	0
HIPK1	129.333333	299	477	0	0	0	0	0
ESR2	129.333333	360	416	0	0	0	0	0
SUV39H1	129.166667	336	439	0	0	0	0	0
PMP22	129.166667	277	498	0	0	0	0	0
LRGUK	129.166667	283	492	0	0	0	0	0
PCSK2	129.000000	300	474	0	0	0	0	0
SRCIN1	128.833333	376	397	0	0	0	0	0
ZMYM4	128.666667	302	470	0	0	0	0	0
SLC22A23	128.666667	211	561	0	0	0	0	0
RPRD1A	128.666667	212	560	0	0	0	0	0
PEA15	128.666667	330	442	0	0	0	0	0
GINS1	128.666667	217	555	0	0	0	0	0
NCOA7	128.500000	373	398	0	0	0	0	0
EOLA1	128.500000	325	446	0	0	0	0	0
DMXL2	128.500000	413	358	0	0	0	0	0
NR3C2	128.333333	370	400	0	0	0	0	0
MIF	128.333333	339	431	0	0	0	0	0
DZIP3	128.333333	203	567	0	0	0	0	0
CIP2A	128.333333	203	567	0	0	0	0	0
S100A10	128.166667	227	542	0	0	0	0	0
N4BP2	128.166667	344	425	0	0	0	0	0
FOXN4	128.166667	248	521	0	0	0	0	0
DNAJC22	128.000000	383	385	0	0	0	0	0
GDAP1L1	127.833333	292	475	0	0	0	0	0
GSE1	127.500000	317	448	0	0	0	0	0
COL2A1	127.500000	280	485	0	0	0	0	0
