Target_genes	UBTF|Average	SRX2423977|GM12878	SRX2423978|GM12878	SRX2424229|HeLa	SRX2424230|HeLa	SRX10478330|Hep_G2	SRX10478331|Hep_G2	SRX1519704|hESC_H9	SRX1519705|hESC_H9	SRX150418|K-562	SRX150721|K-562	SRX23177015|PLC/PRF/5	SRX23177016|PLC/PRF/5	STRING
TSPAN9	127.916667	0	0	0	0	919	616	0	0	0	0	0	0	0
TSEN54	127.916667	0	0	0	0	483	380	0	0	141	292	121	118	0
SYPL2	127.916667	0	0	0	0	1003	125	0	0	110	297	0	0	0
STXBP3	127.916667	0	0	0	0	622	153	0	0	129	327	192	112	0
ISM1	127.916667	0	0	0	0	1331	204	0	0	0	0	0	0	0
FAM122A	127.916667	0	0	0	0	858	374	0	0	0	303	0	0	0
KLHDC2	127.833333	0	0	0	0	614	203	0	0	167	390	160	0	0
METTL23	127.750000	0	0	0	0	852	400	0	0	0	169	112	0	0
JMJD6	127.750000	0	0	0	0	852	400	0	0	0	169	112	0	0
GNAL	127.750000	0	0	0	0	677	407	0	0	109	240	100	0	0
UCP2	127.666667	0	0	0	0	411	205	0	0	197	333	248	138	0
ARSB	127.666667	0	0	0	0	478	390	0	0	192	392	80	0	0
SLAIN2	127.583333	0	0	0	0	756	237	0	0	179	273	86	0	0
LRWD1	127.583333	0	0	0	0	524	191	0	0	238	578	0	0	0
ALKBH4	127.583333	0	0	0	0	524	191	0	0	238	578	0	0	0
TMEM179B	127.500000	0	0	0	0	485	348	0	0	270	427	0	0	0
NDUFV2	127.500000	0	0	0	0	651	323	0	0	0	174	382	0	0
TCTA	127.333333	0	0	0	0	802	209	0	0	135	133	143	106	0
SNRPD1	127.333333	0	0	0	0	578	476	0	0	108	224	142	0	0
SESN2	127.333333	0	0	0	0	393	173	0	0	212	482	142	126	0
RHOA	127.333333	0	0	0	0	802	209	0	0	135	133	143	106	0
PPP4R4	127.333333	0	0	0	0	1254	157	0	0	0	117	0	0	0
ZNF131	127.250000	0	0	0	0	467	207	0	0	97	272	317	167	0
PIGO	127.250000	0	0	0	0	408	479	0	0	0	154	322	164	0
UIMC1	127.166667	0	0	0	0	662	391	0	0	149	324	0	0	0
UBL7	127.166667	0	0	0	0	568	501	0	0	136	321	0	0	0
SOCS6	127.166667	0	0	0	0	905	171	0	0	192	258	0	0	0
RPP21	127.166667	0	0	0	0	770	590	0	0	0	166	0	0	0
ENTPD5	127.166667	0	0	0	0	974	349	0	0	0	203	0	0	0
EEF1AKNMT	127.166667	0	0	0	0	528	330	0	0	143	371	154	0	0
BBOF1	127.166667	0	0	0	0	974	349	0	0	0	203	0	0	0
AACS	127.166667	0	0	0	0	905	173	0	0	134	314	0	0	0
ZNF574	127.083333	0	0	0	0	795	137	0	0	0	140	318	135	0
UBTF	127.083333	0	0	0	0	540	533	0	0	153	299	0	0	0
MYL12A	127.083333	0	0	0	0	291	236	0	0	292	364	190	152	0
KDM4B	127.083333	0	0	0	0	233	0	0	0	405	484	252	151	0
GCA	127.083333	0	0	0	0	648	494	0	0	0	0	192	191	0
CSNK2A1	127.083333	0	0	0	0	726	645	0	0	0	154	0	0	0
CLN5	127.083333	0	0	0	0	921	452	0	0	0	152	0	0	0
TMEM254	127.000000	0	0	0	0	987	458	0	0	0	79	0	0	0
LSM1	127.000000	0	0	0	0	469	545	0	0	92	156	178	84	0
DSTN	127.000000	0	0	0	0	1074	263	0	0	98	89	0	0	0
BAG4	127.000000	0	0	0	0	469	545	0	0	92	156	178	84	0
ARL4C	127.000000	0	0	0	0	1122	154	0	0	0	248	0	0	0
ZNF672	126.916667	0	0	0	0	388	210	0	0	0	223	415	287	0
ZFC3H1	126.916667	0	0	0	0	509	333	0	0	197	401	83	0	0
THAP2	126.916667	0	0	0	0	509	333	0	0	197	401	83	0	0
LYN	126.916667	0	0	0	0	550	284	0	0	188	501	0	0	0
ATP2A2	126.916667	0	0	0	0	745	140	0	0	217	421	0	0	0
ARL4A	126.916667	0	0	0	0	800	419	0	0	0	204	100	0	0
PLSCR1	126.833333	0	0	0	0	775	388	0	0	107	252	0	0	0
NTSR2	126.833333	0	0	0	0	1133	389	0	0	0	0	0	0	0
USP15	126.750000	0	0	0	0	638	480	0	0	103	300	0	0	0
MANEAL	126.666667	0	0	0	0	855	220	0	0	121	324	0	0	0
RHOBTB3	126.583333	0	0	0	0	888	286	0	0	117	228	0	0	0
MANBA	126.583333	0	0	0	0	744	451	0	0	112	212	0	0	0
TNPO3	126.500000	0	0	0	0	489	300	0	0	157	378	96	98	0
EXOC5	126.416667	0	0	0	0	829	469	0	0	83	136	0	0	0
AP5M1	126.416667	0	0	0	0	829	469	0	0	83	136	0	0	0
NKX3-1	126.333333	0	0	0	0	1205	311	0	0	0	0	0	0	0
LRRFIP1	126.333333	0	0	0	0	1081	123	0	0	126	186	0	0	0
IGFBP4	126.333333	0	0	0	0	710	185	0	0	145	476	0	0	0
ZBED5	126.250000	0	0	0	0	932	368	0	0	0	215	0	0	0
PSMG1	126.250000	0	0	0	0	642	214	0	0	163	239	112	145	0
FZD4	126.250000	0	0	0	0	669	192	0	0	269	385	0	0	0
FBXO48	126.250000	0	0	0	0	818	455	0	0	99	143	0	0	0
EHD4	126.250000	0	0	0	0	836	208	0	0	147	222	102	0	0
APLF	126.250000	0	0	0	0	818	455	0	0	99	143	0	0	0
TNFRSF21	126.166667	0	0	0	0	659	402	0	0	164	289	0	0	0
CAPZB	126.166667	0	0	0	0	802	153	0	0	116	207	236	0	0
RRP1B	126.083333	0	0	0	0	926	188	0	0	112	287	0	0	0
IL7	126.083333	0	0	0	0	1034	479	0	0	0	0	0	0	0
HSF2BP	126.083333	0	0	0	0	926	188	0	0	112	287	0	0	0
H3C3	126.000000	0	0	0	0	680	832	0	0	0	0	0	0	0
ZBTB38	125.916667	0	0	0	0	948	397	0	0	0	166	0	0	0
TAB1	125.916667	0	0	0	0	911	410	0	0	0	190	0	0	0
SOWAHC	125.916667	0	0	0	0	587	471	0	0	0	0	314	139	0
SEPTIN10	125.916667	0	0	0	0	587	471	0	0	0	0	314	139	0
MPND	125.916667	0	0	0	0	440	652	0	0	0	0	211	208	0
HES5	125.916667	0	0	0	0	579	145	0	0	263	524	0	0	0
SUCLG2	125.833333	0	0	0	0	1113	257	0	0	0	140	0	0	0
SPSB1	125.833333	0	0	0	0	335	115	0	0	300	760	0	0	0
SNX21	125.833333	0	0	0	0	1220	290	0	0	0	0	0	0	0
RAP2B	125.833333	0	0	0	0	881	191	0	0	174	264	0	0	0
MRPS26	125.833333	0	0	0	0	939	314	0	0	0	163	94	0	0
CD55	125.833333	0	0	0	0	727	157	0	0	247	379	0	0	0
CCDC14	125.833333	0	0	0	0	643	365	0	0	177	325	0	0	0
NUP153	125.750000	0	0	0	0	619	474	0	0	150	163	103	0	0
SRPK1	125.666667	0	0	0	0	774	433	0	0	114	187	0	0	0
NR6A1	125.666667	0	0	0	0	519	224	0	0	250	396	119	0	0
MOGAT1	125.666667	0	0	0	0	947	561	0	0	0	0	0	0	0
HHAT	125.666667	0	0	0	0	1118	390	0	0	0	0	0	0	0
FCHO2	125.666667	0	0	0	0	738	228	0	0	251	291	0	0	0
CDC42EP1	125.666667	0	0	0	0	813	309	0	0	147	239	0	0	0
ARID3C	125.583333	0	0	0	0	1239	0	0	0	0	268	0	0	0
POLR2C	125.500000	0	0	0	0	790	554	0	0	0	162	0	0	0
PSMD8	125.416667	0	0	0	0	593	397	0	0	0	188	253	74	0
YES1	125.333333	0	0	0	0	568	313	0	0	158	343	122	0	0
SAP30	125.333333	0	0	0	0	625	266	0	0	180	433	0	0	0
CDR2L	125.333333	0	0	0	0	676	144	0	0	207	477	0	0	0
RFK	125.250000	0	0	0	0	937	334	0	0	78	154	0	0	0
HEXIM1	125.250000	0	0	0	0	390	284	0	0	0	251	318	260	0
DRAM1	125.250000	0	0	0	0	754	354	0	0	98	297	0	0	0
TMOD3	125.166667	0	0	0	0	881	400	0	0	127	94	0	0	0
RNF145	125.166667	0	0	0	0	518	301	0	0	168	515	0	0	0
RNF103-CHMP3	125.166667	0	0	0	0	567	268	0	0	103	233	331	0	0
GEMIN7	125.166667	0	0	0	0	1102	182	0	0	0	218	0	0	0
FAM193A	125.166667	0	0	0	0	537	215	0	0	248	241	136	125	0
CFLAR	125.083333	0	0	0	0	732	288	0	0	128	353	0	0	0
LRRC59	125.000000	0	0	0	0	821	679	0	0	0	0	0	0	0
GZF1	125.000000	0	0	0	0	722	495	0	0	106	177	0	0	0
UBR3	124.916667	0	0	0	0	864	198	0	0	121	316	0	0	0
PHF19	124.916667	0	0	0	0	489	211	0	0	362	437	0	0	0
NDUFAF4	124.833333	0	0	0	0	784	371	0	0	137	206	0	0	0
LGALS1	124.833333	0	0	0	0	417	276	0	0	221	584	0	0	0
KLHL32	124.833333	0	0	0	0	784	371	0	0	137	206	0	0	0
HPF1	124.833333	0	0	0	0	443	437	0	0	97	521	0	0	0
FAM174A	124.833333	0	0	0	0	867	567	0	0	0	64	0	0	0
CDAN1	124.833333	0	0	0	0	774	508	0	0	0	216	0	0	0
CBFB	124.833333	0	0	0	0	662	478	0	0	153	205	0	0	0
APRT	124.833333	0	0	0	0	796	187	0	0	118	397	0	0	0
XPC	124.750000	0	0	0	0	819	261	0	0	151	266	0	0	0
TRIM26	124.750000	0	0	0	0	1029	468	0	0	0	0	0	0	0
TDRD3	124.750000	0	0	0	0	775	363	0	0	190	169	0	0	0
SPATA9	124.750000	0	0	0	0	888	286	0	0	95	228	0	0	0
SNX14	124.750000	0	0	0	0	716	285	0	0	90	240	166	0	0
PHYH	124.750000	0	0	0	0	718	196	0	0	0	167	274	142	0
LSM3	124.750000	0	0	0	0	819	261	0	0	151	266	0	0	0
LRIG3	124.750000	0	0	0	0	1115	237	0	0	0	0	145	0	0
NFATC2	124.666667	0	0	0	0	729	283	0	0	216	268	0	0	0
TSTD2	124.583333	0	0	0	0	566	266	0	0	0	294	245	124	0
TMEM231	124.583333	0	0	0	0	700	425	0	0	206	164	0	0	0
SPAG9	124.583333	0	0	0	0	887	204	0	0	122	282	0	0	0
NCBP1	124.583333	0	0	0	0	566	266	0	0	0	294	245	124	0
RUSC2	124.500000	0	0	0	0	571	338	0	0	120	261	132	72	0
RBAK-RBAKDN	124.500000	0	0	0	0	874	266	0	0	149	205	0	0	0
RBAK	124.500000	0	0	0	0	874	266	0	0	149	205	0	0	0
GPT2	124.500000	0	0	0	0	726	524	0	0	0	105	139	0	0
COQ10A	124.500000	0	0	0	0	632	321	0	0	88	196	257	0	0
CAT	124.500000	0	0	0	0	466	254	0	0	382	392	0	0	0
AGFG1	124.500000	0	0	0	0	864	488	0	0	0	142	0	0	0
OSBPL11	124.416667	0	0	0	0	919	285	0	0	80	209	0	0	0
KCTD11	124.416667	0	0	0	0	566	278	0	0	170	222	257	0	0
C6orf89	124.416667	0	0	0	0	730	498	0	0	0	265	0	0	0
TTC6	124.333333	0	0	0	0	776	321	0	0	162	233	0	0	0
SERTAD3	124.333333	0	0	0	0	291	164	0	0	0	189	515	333	0
PNPLA8	124.333333	0	0	0	0	334	221	0	0	85	235	360	257	0
FOXA1	124.333333	0	0	0	0	776	321	0	0	162	233	0	0	0
TOR3A	124.250000	0	0	0	0	648	282	0	0	158	295	108	0	0
SPOPL	124.250000	0	0	0	0	748	584	0	0	0	159	0	0	0
SLC25A28	124.250000	0	0	0	0	660	328	0	0	0	121	212	170	0
REV3L	124.166667	0	0	0	0	715	219	0	0	190	188	178	0	0
TBC1D8	124.083333	0	0	0	0	1016	244	0	0	95	134	0	0	0
RAB6A	124.083333	0	0	0	0	652	291	0	0	121	206	219	0	0
PBRM1	124.083333	0	0	0	0	426	345	0	0	116	225	216	161	0
GNL3	124.083333	0	0	0	0	426	345	0	0	116	225	216	161	0
CIAO2B	124.083333	0	0	0	0	805	537	0	0	0	147	0	0	0
CES2	124.083333	0	0	0	0	805	537	0	0	0	147	0	0	0
AATF	124.083333	0	0	0	0	920	397	0	0	0	172	0	0	0
TMED7-TICAM2	124.000000	0	0	0	0	1109	271	0	0	0	108	0	0	0
TMED7	124.000000	0	0	0	0	1109	271	0	0	0	108	0	0	0
C9orf40	124.000000	0	0	0	0	771	502	0	0	0	215	0	0	0
SGPP1	123.916667	0	0	0	0	778	249	0	0	167	293	0	0	0
NUDCD3	123.916667	0	0	0	0	702	410	0	0	95	219	61	0	0
LSR	123.916667	0	0	0	0	402	339	0	0	0	142	393	211	0
KLHL8	123.916667	0	0	0	0	601	283	0	0	228	375	0	0	0
HDDC3	123.916667	0	0	0	0	564	320	0	0	152	364	87	0	0
DEGS1	123.916667	0	0	0	0	562	371	0	0	229	325	0	0	0
ANKRD17	123.916667	0	0	0	0	677	445	0	0	141	224	0	0	0
TPR	123.833333	0	0	0	0	335	323	0	0	0	303	309	216	0
SGTB	123.833333	0	0	0	0	854	395	0	0	0	237	0	0	0
ODR4	123.833333	0	0	0	0	335	323	0	0	0	303	309	216	0
NLN	123.833333	0	0	0	0	854	395	0	0	0	237	0	0	0
MMADHC	123.833333	0	0	0	0	629	580	0	0	91	186	0	0	0
FAM126A	123.833333	0	0	0	0	776	336	0	0	118	256	0	0	0
EDF1	123.833333	0	0	0	0	877	409	0	0	0	200	0	0	0
C12orf73	123.833333	0	0	0	0	528	630	0	0	0	328	0	0	0
PTPN9	123.750000	0	0	0	0	803	185	0	0	199	298	0	0	0
MAN1A2	123.750000	0	0	0	0	686	351	0	0	209	239	0	0	0
DSP	123.750000	0	0	0	0	961	399	0	0	0	0	125	0	0
ARF6	123.750000	0	0	0	0	661	396	0	0	87	187	154	0	0
TMCO3	123.666667	0	0	0	0	656	237	0	0	156	191	244	0	0
KIAA0895	123.666667	0	0	0	0	560	208	0	0	201	445	70	0	0
IRAK2	123.666667	0	0	0	0	886	368	0	0	73	157	0	0	0
MTRNR2L9	123.583333	300	273	0	0	0	0	0	0	557	353	0	0	0
HIF1A	123.500000	0	0	0	0	762	360	0	0	0	263	97	0	0
CCDC34	123.500000	0	0	0	0	641	551	0	0	0	290	0	0	0
B4GALT7	123.500000	0	0	0	0	766	201	0	0	177	338	0	0	0
SLC1A4	123.333333	0	0	0	0	657	295	0	0	189	339	0	0	0
NUP54	123.333333	0	0	0	0	492	410	0	0	0	305	166	107	0
NIPA2	123.333333	0	0	0	0	705	256	0	0	117	296	106	0	0
GPHN	123.333333	0	0	0	0	650	368	0	0	0	156	171	135	0
TRAPPC10	123.250000	0	0	0	0	519	158	0	0	278	361	163	0	0
STAU2	123.250000	0	0	0	0	953	108	0	0	155	263	0	0	0
PTAR1	123.250000	0	0	0	0	839	203	0	0	222	215	0	0	0
TMEM216	123.166667	0	0	0	0	808	670	0	0	0	0	0	0	0
IDNK	123.166667	0	0	0	0	997	215	0	0	103	163	0	0	0
DDX5	123.166667	0	0	0	0	387	325	0	0	119	235	255	157	0
SNX4	123.083333	0	0	0	0	536	430	0	0	127	384	0	0	0
RNF141	123.083333	0	0	0	0	491	545	0	0	73	368	0	0	0
ALDH2	123.083333	0	0	0	0	938	208	0	0	0	331	0	0	0
SGMS1	123.000000	0	0	0	0	717	254	0	0	162	203	140	0	0
SLC16A1	122.916667	0	0	0	0	687	296	0	0	166	326	0	0	0
SELENOS	122.916667	0	0	0	0	965	283	0	0	0	227	0	0	0
RPL6	122.916667	0	0	0	0	461	229	0	0	198	463	124	0	0
PTPN11	122.916667	0	0	0	0	461	229	0	0	198	463	124	0	0
MRPL19	122.916667	0	0	0	0	859	409	0	0	0	207	0	0	0
MNAT1	122.916667	0	0	0	0	667	428	0	0	128	252	0	0	0
MGAT4A	122.916667	0	0	0	0	1044	201	0	0	0	230	0	0	0
NAXD	122.833333	0	0	0	0	928	369	0	0	0	177	0	0	0
ALG1	122.833333	0	0	0	0	759	607	0	0	0	108	0	0	0
ZC3H7A	122.750000	0	0	0	0	672	484	0	0	0	218	99	0	0
TTC26	122.750000	0	0	0	0	398	341	0	0	206	528	0	0	0
NUFIP2	122.750000	0	0	0	0	443	308	0	0	149	329	244	0	0
FRA10AC1	122.750000	0	0	0	0	564	602	0	0	129	178	0	0	0
ZNF251	122.666667	0	0	0	0	539	237	0	0	136	288	171	101	0
SPTLC2	122.666667	0	0	0	0	808	373	0	0	0	145	146	0	0
GPANK1	122.666667	0	0	0	0	215	164	0	0	146	131	473	343	0
CSNK2B	122.666667	0	0	0	0	215	164	0	0	146	131	473	343	0
ANKRD18B	122.666667	0	0	0	0	383	233	0	0	355	360	141	0	0
RGL1	122.583333	0	0	0	0	571	229	0	0	391	280	0	0	0
CRYBG3	122.583333	0	0	0	0	1015	316	0	0	0	140	0	0	0
AP3S1	122.583333	0	0	0	0	756	286	0	0	153	150	126	0	0
FGFR4	122.500000	0	0	0	0	474	242	0	0	106	206	287	155	0
CRTC3	122.500000	0	0	0	0	823	133	0	0	230	284	0	0	0
TRAPPC12	122.416667	0	0	0	0	711	568	0	0	0	190	0	0	0
ST20-MTHFS	122.416667	0	0	0	0	449	321	0	0	85	335	168	111	0
SPATA1	122.416667	0	0	0	0	358	188	0	0	105	407	285	126	0
RILP	122.416667	0	0	0	0	743	378	0	0	105	243	0	0	0
GNG5	122.416667	0	0	0	0	358	188	0	0	105	407	285	126	0
BTF3	122.416667	0	0	0	0	643	447	0	0	140	239	0	0	0
SMO	122.333333	0	0	0	0	1171	297	0	0	0	0	0	0	0
RPS15A	122.333333	0	0	0	0	760	615	0	0	0	93	0	0	0
NRBP1	122.333333	0	0	0	0	690	293	0	0	0	248	104	133	0
CTSH	122.333333	0	0	0	0	786	525	0	0	0	157	0	0	0
CBX1	122.333333	0	0	0	0	678	365	0	0	115	150	160	0	0
CASKIN2	122.333333	0	0	0	0	416	380	0	0	141	292	121	118	0
AMFR	122.333333	0	0	0	0	993	124	0	0	0	351	0	0	0
MET	122.250000	0	0	0	0	798	306	0	0	0	221	142	0	0
CNIH4	122.250000	0	0	0	0	728	198	0	0	168	373	0	0	0
GPER1	122.166667	0	0	0	0	638	503	0	0	125	200	0	0	0
FAM72D	122.166667	0	0	0	0	348	95	0	0	102	221	414	286	0
CAPN1	122.166667	0	0	0	0	841	316	0	0	116	193	0	0	0
H4C5	122.083333	0	0	0	0	404	397	0	0	135	319	210	0	0
SLC8B1	122.000000	0	0	0	0	701	250	0	0	154	359	0	0	0
CENPC	122.000000	0	0	0	0	700	366	0	0	152	246	0	0	0
STAT5B	121.916667	0	0	0	0	613	356	0	0	180	314	0	0	0
MEIS1	121.916667	0	0	0	0	709	365	0	0	162	227	0	0	0
ZNF627	121.833333	0	0	0	0	684	455	0	0	0	170	153	0	0
YPEL1	121.833333	0	0	0	0	400	0	0	0	357	526	179	0	0
SLC30A9	121.833333	0	0	0	0	744	358	0	0	152	208	0	0	0
FOXQ1	121.833333	0	0	0	0	873	589	0	0	0	0	0	0	0
ELL2	121.833333	0	0	0	0	580	135	0	0	135	364	132	116	0
WAC	121.750000	0	0	0	0	916	209	0	0	175	161	0	0	0
RUSF1	121.750000	0	0	0	0	704	443	0	0	79	235	0	0	0
TLCD4-RWDD3	121.666667	0	0	0	0	789	158	0	0	158	355	0	0	0
TLCD4	121.666667	0	0	0	0	789	158	0	0	158	355	0	0	0
TBCD	121.666667	0	0	0	0	848	222	0	0	161	229	0	0	0
RNPS1	121.666667	0	0	0	0	477	342	0	0	300	341	0	0	0
NT5C3A	121.666667	0	0	0	0	609	231	0	0	95	187	202	136	0
NNT	121.666667	0	0	0	0	1089	222	0	0	0	149	0	0	0
LRRC10B	121.666667	0	0	0	0	560	230	0	0	205	465	0	0	0
HAS3	121.666667	0	0	0	0	888	86	0	0	123	363	0	0	0
GFOD1	121.666667	0	0	0	0	745	160	0	0	185	370	0	0	0
FOXO6	121.666667	0	0	0	0	834	0	0	0	164	462	0	0	0
CDK19	121.666667	0	0	0	0	236	184	0	0	149	300	377	214	0
AGMAT	121.666667	0	0	0	0	1119	341	0	0	0	0	0	0	0
RETREG2	121.500000	0	0	0	0	714	599	0	0	0	0	145	0	0
N4BP2	121.500000	0	0	0	0	650	358	0	0	167	283	0	0	0
KIAA1841	121.500000	0	0	0	0	775	348	0	0	0	190	145	0	0
CLUAP1	121.500000	0	0	0	0	748	510	0	0	0	200	0	0	0
C7orf26	121.500000	0	0	0	0	691	240	0	0	164	363	0	0	0
EIF2AK3	121.416667	0	0	0	0	830	389	0	0	0	105	133	0	0
SLC6A9	121.333333	0	0	0	0	489	201	0	0	346	420	0	0	0
PCYOX1	121.333333	0	0	0	0	725	256	0	0	141	254	80	0	0
AIF1L	121.333333	0	0	0	0	374	122	0	0	412	548	0	0	0
DIAPH1	121.250000	0	0	0	0	494	229	0	0	203	425	104	0	0
CUL7	121.250000	0	0	0	0	731	399	0	0	143	182	0	0	0
CST3	121.250000	0	0	0	0	695	221	0	0	119	420	0	0	0
SRGAP2B	121.166667	0	0	0	0	336	95	0	0	102	221	414	286	0
SLC35E1	121.166667	0	0	0	0	516	470	0	0	172	296	0	0	0
LRRC8B	121.166667	0	0	0	0	818	168	0	0	156	312	0	0	0
UBN1	121.083333	0	0	0	0	683	152	0	0	230	388	0	0	0
RBL2	121.083333	0	0	0	0	723	313	0	0	129	288	0	0	0
H2BC15	121.083333	0	0	0	0	512	357	0	0	142	291	151	0	0
H2AC15	121.083333	0	0	0	0	512	357	0	0	142	291	151	0	0
GLYR1	121.083333	0	0	0	0	683	152	0	0	230	388	0	0	0
ANK2	121.083333	0	0	0	0	1179	102	0	0	0	172	0	0	0
FASTK	121.000000	0	0	0	0	487	183	0	0	348	434	0	0	0
B9D1	121.000000	0	0	0	0	369	247	0	0	109	125	334	268	0
MTFMT	120.916667	0	0	0	0	700	183	0	0	314	254	0	0	0
HPN	120.916667	0	0	0	0	557	477	0	0	97	320	0	0	0
HIC2	120.916667	0	0	0	0	553	329	0	0	159	410	0	0	0
ST7	120.833333	0	0	0	0	663	140	0	0	215	432	0	0	0
SH3D19	120.833333	0	0	0	0	831	619	0	0	0	0	0	0	0
RAB11FIP5	120.833333	0	0	0	0	998	236	0	0	0	216	0	0	0
IER5	120.833333	0	0	0	0	473	298	0	0	156	393	130	0	0
ACER3	120.833333	0	0	0	0	869	400	0	0	0	181	0	0	0
NR4A1	120.750000	0	0	0	0	506	288	0	0	86	235	188	146	0
CDKN2AIPNL	120.750000	0	0	0	0	826	442	0	0	0	181	0	0	0
MANSC1	120.666667	0	0	0	0	672	317	0	0	174	285	0	0	0
DENND6A	120.666667	0	0	0	0	818	293	0	0	96	241	0	0	0
ANKRD26	120.583333	0	0	0	0	475	282	0	0	239	451	0	0	0
TMEM9	120.500000	0	0	0	0	550	238	0	0	0	210	218	230	0
FAM184A	120.500000	0	0	0	0	568	392	0	0	169	317	0	0	0
PTPN13	120.416667	155	0	0	188	282	0	124	0	218	478	0	0	0
HINT2	120.416667	0	0	0	0	513	190	0	0	0	173	268	301	0
HELZ	120.416667	0	0	0	0	923	354	0	0	0	168	0	0	0
SPECC1L	120.333333	0	0	0	0	572	371	0	0	178	323	0	0	0
PLEKHM2	120.333333	0	0	0	0	587	0	0	0	282	575	0	0	0
MIDEAS	120.333333	0	0	0	0	550	293	0	0	149	343	109	0	0
MAP1LC3B	120.333333	0	0	0	0	813	186	0	0	0	95	218	132	0
ESCO1	120.333333	0	0	0	0	572	430	0	0	0	154	224	64	0
EPS8	120.333333	0	0	0	0	737	621	0	0	0	0	86	0	0
COLGALT2	120.333333	0	0	0	0	725	272	0	0	172	275	0	0	0
CARNMT1	120.333333	0	0	0	0	1099	209	0	0	0	136	0	0	0
ADCK1	120.333333	0	0	0	0	956	245	0	0	0	243	0	0	0
GPR160	120.250000	0	0	0	0	941	202	0	0	97	203	0	0	0
DCUN1D2	120.250000	0	0	0	0	656	237	0	0	115	191	244	0	0
DCAF12	120.250000	0	0	0	0	702	375	0	0	191	175	0	0	0
MAN2A1	120.166667	0	0	0	0	608	330	0	0	236	268	0	0	0
C12orf29	120.166667	0	0	0	0	822	380	0	0	0	240	0	0	0
PCSK5	120.083333	0	0	0	0	941	414	86	0	0	0	0	0	0
COX14	120.083333	0	0	0	0	417	174	0	0	0	236	343	271	0
CAPN5	120.083333	0	0	0	0	649	246	0	0	194	352	0	0	0
THAP1	120.000000	0	0	0	0	427	221	0	0	98	286	272	136	0
RAB4B	120.000000	0	0	0	0	306	130	0	0	0	97	514	393	0
LPCAT4	120.000000	0	0	0	0	857	296	0	0	0	287	0	0	0
LMO4	120.000000	0	0	0	0	497	138	0	0	162	419	224	0	0
CDK17	120.000000	0	0	0	0	894	145	0	0	201	200	0	0	0
STARD4	119.916667	0	0	0	0	699	494	0	0	0	148	98	0	0
PROCA1	119.916667	0	0	0	0	842	305	0	0	99	193	0	0	0
NEK7	119.916667	0	0	0	0	741	234	0	0	122	180	162	0	0
CKAP5	119.916667	0	0	0	0	959	316	0	0	0	164	0	0	0
MITD1	119.833333	0	0	0	0	371	480	0	0	185	311	91	0	0
GATAD1	119.833333	0	0	0	0	879	414	0	0	0	145	0	0	0
VPS37A	119.750000	0	0	0	0	790	406	0	0	97	144	0	0	0
TCHP	119.750000	0	0	0	0	563	337	0	0	187	350	0	0	0
DCK	119.750000	0	0	0	0	520	281	0	0	209	427	0	0	0
CNOT7	119.750000	0	0	0	0	790	406	0	0	97	144	0	0	0
CLEC16A	119.750000	0	0	0	0	611	345	0	0	170	311	0	0	0
AP3B1	119.750000	0	0	0	0	302	354	0	0	197	584	0	0	0
PINK1	119.666667	0	0	0	0	643	352	0	0	135	306	0	0	0
KCNS1	119.666667	0	0	0	0	665	202	0	0	262	307	0	0	0
NCDN	119.583333	0	0	0	0	397	272	0	0	163	307	195	101	0
KIAA0319L	119.583333	0	0	0	0	397	272	0	0	163	307	195	101	0
C16orf72	119.583333	0	0	0	0	843	282	0	0	0	216	94	0	0
ACTRT3	119.500000	0	0	0	0	877	557	0	0	0	0	0	0	0
PRR15	119.416667	0	0	0	0	823	610	0	0	0	0	0	0	0
MON1A	119.416667	0	0	0	0	515	436	0	0	107	251	124	0	0
IGSF3	119.416667	0	0	0	0	499	0	0	0	279	655	0	0	0
IDI1	119.416667	0	0	0	0	374	221	0	0	0	104	507	227	0
HACD1	119.333333	0	0	0	0	764	462	0	0	0	206	0	0	0
GTF3C6	119.333333	0	0	0	0	603	414	0	0	147	268	0	0	0
ZNF554	119.250000	0	0	0	0	651	350	0	0	74	356	0	0	0
NDUFS3	119.250000	0	0	0	0	669	460	0	0	88	214	0	0	0
KBTBD4	119.250000	0	0	0	0	669	460	0	0	88	214	0	0	0
ZYX	119.166667	0	0	0	0	516	216	0	0	209	375	114	0	0
TOMM22	119.166667	0	0	0	0	519	620	0	0	162	129	0	0	0
THYN1	119.166667	0	0	0	0	654	347	0	0	154	275	0	0	0
TET1	119.166667	0	0	0	0	694	354	0	0	148	234	0	0	0
TCAF1	119.166667	0	0	0	0	719	509	0	0	0	202	0	0	0
TAF12	119.166667	0	0	0	0	372	464	0	0	222	372	0	0	0
PTPN4	119.166667	0	0	0	0	724	564	0	0	0	142	0	0	0
KLC1	119.166667	0	0	0	0	588	279	0	0	222	341	0	0	0
ACAD8	119.166667	0	0	0	0	654	347	0	0	154	275	0	0	0
ZNF768	119.083333	0	0	0	0	387	353	0	0	86	182	212	209	0
PLEKHA1	119.083333	0	0	0	0	490	113	0	0	123	299	276	128	0
OCEL1	119.083333	0	0	0	0	572	391	0	0	78	193	195	0	0
KIAA1958	119.083333	0	0	0	0	516	432	0	0	185	296	0	0	0
DUSP3	119.083333	0	0	0	0	711	360	0	0	138	115	105	0	0
C9orf147	119.083333	0	0	0	0	516	432	0	0	185	296	0	0	0
NANS	118.916667	0	0	0	0	812	300	0	0	0	315	0	0	0
