Target_genes	JARID2|Average	SRX8171698|ES_cells	SRX8171699|ES_cells	SRX3230387|Hep_G2	SRX6416950|Hep_G2	SRX6416951|Hep_G2	SRX317571|iPS_cells	SRX317574|iPS_cells	SRX317578|iPS_cells	SRX317582|iPS_cells	SRX317588|iPS_cells	SRX317589|iPS_cells	SRX317593|iPS_cells	SRX317597|iPS_cells	SRX317601|iPS_cells	SRX317605|iPS_cells	SRX317609|iPS_cells	SRX10664185|MCF-7	SRX10664186|MCF-7	SRX10664187|MCF-7	SRX10664188|MCF-7	SRX5426122|NT2-D1	SRX5426123|NT2-D1	SRX6370176|NT2-D1	SRX6370177|NT2-D1	SRX6370178|NT2-D1	SRX6370207|NT2-D1	SRX6370208|NT2-D1	SRX6416958|THLE-2	SRX6416959|THLE-2	STRING
KCNH3	89.241379	0	0	0	0	0	460	599	524	0	0	177	129	82	253	158	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR2E1	89.206897	0	0	0	0	0	158	246	238	0	0	0	0	0	161	0	0	0	0	0	0	447	446	585	306	0	0	0	0	0	0
IGFBP7	89.103448	0	77	0	0	0	342	673	442	0	71	104	109	77	222	118	149	0	0	0	0	56	0	144	0	0	0	0	0	0	0
NFATC2	89.068966	0	0	0	0	0	394	630	284	0	0	150	86	0	210	176	120	0	0	0	159	220	0	154	0	0	0	0	0	0	0
SLC22A3	88.965517	0	0	0	0	0	479	702	607	0	0	133	157	103	85	219	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPVL	88.896552	88	0	0	0	0	503	843	311	0	0	0	139	85	119	161	158	0	0	0	0	171	0	0	0	0	0	0	0	0	0
CHN2	88.896552	88	0	0	0	0	503	843	311	0	0	0	139	85	119	161	158	0	0	0	0	171	0	0	0	0	0	0	0	0	0
EBF3	88.862069	0	0	0	0	0	218	271	357	0	0	0	134	0	154	0	0	0	0	0	0	418	309	578	0	0	138	0	0	0	0
NOL4	88.724138	0	0	0	0	0	234	449	217	0	0	0	0	0	157	162	0	0	0	0	0	329	357	547	121	0	0	0	0	0	0
SLC1A2	88.689655	0	85	0	0	0	524	802	309	0	0	97	168	0	89	149	91	0	0	0	0	258	0	0	0	0	0	0	0	0	0
IRAK3	88.689655	0	106	0	0	0	498	914	341	0	0	128	68	99	174	113	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSMD1	88.620690	0	0	0	0	0	359	757	272	0	95	0	150	0	0	208	149	0	0	0	0	342	0	238	0	0	0	0	0	0	0
GSC	88.551724	0	0	0	0	0	241	447	392	0	0	0	110	0	0	0	137	0	0	0	0	486	244	421	0	0	90	0	0	0	0
DPF3	88.482759	0	120	0	0	0	400	669	318	0	0	102	143	87	211	187	202	0	0	0	0	127	0	0	0	0	0	0	0	0	0
ALDH1A2	88.482759	0	0	0	0	0	401	828	323	0	92	102	242	0	196	192	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIGZ	88.448276	0	0	0	0	0	531	727	326	0	0	144	171	0	188	197	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CASR	88.275862	71	114	0	0	0	546	807	358	0	0	115	91	129	110	98	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GLIS3	88.000000	0	0	0	0	0	484	615	362	0	0	95	199	101	215	229	114	0	0	0	0	138	0	0	0	0	0	0	0	0	0
SYT12	87.862069	0	0	0	0	0	629	752	336	0	122	0	164	0	172	58	103	0	0	0	0	212	0	0	0	0	0	0	0	0	0
IER5L	87.793103	0	0	0	0	0	476	649	215	0	119	100	129	0	195	173	169	0	0	0	0	0	0	321	0	0	0	0	0	0	0
BTG4	87.758621	0	86	0	0	0	467	813	322	0	0	0	86	0	213	273	155	0	0	0	0	130	0	0	0	0	0	0	0	0	0
LEPR	87.724138	0	140	0	0	0	426	881	562	0	0	0	0	109	162	127	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EDN3	87.724138	95	110	0	0	0	446	806	487	0	138	105	119	0	129	0	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC6A1	87.689655	0	0	0	0	0	561	783	351	0	77	149	116	0	135	218	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCR3LG1	87.655172	0	0	0	0	0	542	900	349	0	0	98	137	0	143	160	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LPL	87.620690	0	79	0	0	0	376	639	565	0	0	105	0	120	259	270	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADRA1D	87.620690	0	0	94	0	0	352	616	444	0	0	102	97	0	106	168	108	0	0	0	0	0	208	246	0	0	0	0	0	0	0
PDE8B	87.586207	0	110	0	0	0	306	586	432	0	82	102	139	124	154	227	119	0	0	0	0	159	0	0	0	0	0	0	0	0	0
DBX2	87.551724	0	106	0	0	0	428	661	533	0	0	89	84	89	167	227	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WRAP73	87.482759	0	0	0	0	0	510	718	321	0	88	108	174	0	165	271	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TOX2	87.310345	0	0	0	0	0	251	690	270	0	0	0	0	0	88	124	125	0	0	0	0	706	0	278	0	0	0	0	0	0	0
ERBB4	87.275862	0	0	0	0	0	442	659	384	0	75	86	235	0	165	274	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LRRC71	87.241379	0	0	0	0	0	449	749	342	0	80	140	0	101	238	161	270	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WNT1	86.965517	0	0	0	0	0	344	520	452	0	127	116	132	0	223	175	171	0	0	0	0	262	0	0	0	0	0	0	0	0	0
INSM1	86.827586	0	0	0	0	0	348	515	244	0	0	0	137	0	0	0	0	0	0	0	0	420	198	656	0	0	0	0	0	0	0
CDH23	86.551724	0	0	0	0	0	548	725	461	0	0	192	147	0	144	150	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH13	86.344828	0	0	0	0	0	410	566	371	0	0	122	97	83	142	177	208	0	0	0	0	161	0	167	0	0	0	0	0	0	0
FOXE1	86.310345	0	0	0	0	0	82	172	254	0	0	0	0	0	0	0	0	0	0	0	0	697	243	874	0	0	181	0	0	0	0
POU4F3	86.103448	0	0	0	0	0	139	367	293	0	0	0	0	0	0	0	0	0	0	0	0	392	368	583	188	0	167	0	0	0	0
KCNK17	86.103448	0	0	0	0	0	479	684	421	0	132	141	0	153	174	149	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRIM67	86.000000	0	0	0	0	0	365	604	489	0	0	149	0	0	188	164	271	0	0	0	0	179	0	85	0	0	0	0	0	0	0
HOXD11	85.689655	0	0	0	0	0	161	347	254	0	0	0	0	0	122	0	0	0	0	0	0	446	333	695	127	0	0	0	0	0	0
PDE10A	85.379310	0	0	0	0	0	270	459	360	0	0	0	0	0	167	134	125	0	0	0	0	712	0	249	0	0	0	0	0	0	0
SLC6A20	85.206897	0	0	0	0	0	542	958	408	0	0	115	128	0	148	172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TGFBI	85.034483	0	95	0	0	0	440	699	522	0	95	137	0	0	99	209	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHOX2B	84.931034	0	0	0	0	0	341	463	0	0	0	0	0	0	0	265	272	0	0	0	0	158	376	324	264	0	0	0	0	0	0
RAX	84.896552	0	0	0	0	0	236	371	348	0	0	0	0	0	0	116	97	0	0	0	0	713	191	390	0	0	0	0	0	0	0
PTH2R	84.862069	127	90	0	0	0	518	731	438	0	0	67	95	0	161	97	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDX1	84.862069	0	0	0	0	0	423	697	311	0	0	92	94	0	127	164	163	0	0	0	0	216	0	174	0	0	0	0	0	0	0
ANXA2R	84.827586	0	0	0	0	0	475	730	337	0	0	133	139	75	228	196	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPHB1	84.724138	0	0	0	0	0	387	569	382	0	0	92	0	89	186	188	115	0	0	0	0	198	0	251	0	0	0	0	0	0	0
BRINP2	84.724138	0	65	0	0	0	467	726	334	0	82	109	0	0	163	215	126	0	0	0	170	0	0	0	0	0	0	0	0	0	0
WNT10B	84.689655	0	0	0	0	0	645	1072	158	0	0	0	114	0	158	126	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IKZF3	84.689655	0	0	296	0	0	473	1148	162	0	0	0	0	0	106	152	119	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNMA1	84.586207	0	0	0	0	0	380	590	382	0	0	0	161	0	83	161	108	0	0	0	0	145	0	261	0	0	182	0	0	0	0
TP73	84.517241	0	0	0	0	0	510	718	321	0	0	110	174	0	165	271	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBX5	84.482759	0	0	0	0	0	255	417	540	0	0	123	0	0	192	143	156	0	0	0	0	274	213	0	137	0	0	0	0	0	0
SYPL2	84.482759	71	0	0	0	0	341	636	498	0	0	131	0	81	0	89	104	0	0	0	0	338	0	161	0	0	0	0	0	0	0
HOXA5	84.413793	0	0	0	0	0	211	211	213	0	0	0	0	0	97	137	0	0	0	0	0	468	348	632	0	0	131	0	0	0	0
CIDEA	84.310345	0	0	0	0	0	416	704	516	0	0	99	168	0	239	123	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC85A	84.068966	64	0	0	0	0	428	770	438	0	0	154	149	0	203	112	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SHISA6	84.034483	0	0	0	0	0	81	259	234	0	0	0	0	0	0	0	0	0	0	0	0	712	182	969	0	0	0	0	0	0	0
NTSR1	84.034483	0	0	0	0	0	446	683	360	0	0	145	191	0	133	181	196	0	0	0	0	102	0	0	0	0	0	0	0	0	0
DKK2	83.896552	0	0	0	0	0	492	610	221	0	0	0	140	69	228	189	147	0	0	0	0	337	0	0	0	0	0	0	0	0	0
CLIP4	83.862069	0	0	0	0	0	418	836	491	0	0	145	134	0	188	125	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CNPY1	83.758621	0	0	0	0	0	398	758	251	0	118	205	90	100	158	152	199	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FOXO6	83.655172	0	0	0	0	0	457	715	243	0	0	0	125	0	141	166	172	0	0	0	0	82	0	325	0	0	0	0	0	0	0
FNDC1	83.655172	0	0	0	0	0	383	675	474	0	76	155	257	0	161	89	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ESPN	83.620690	0	0	0	0	0	444	638	440	0	0	220	149	0	192	140	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HELT	83.482759	0	0	0	0	0	238	381	364	0	0	0	93	0	103	102	0	0	0	0	0	369	196	575	0	0	0	0	0	0	0
NOL4L	83.448276	0	0	0	0	0	503	588	226	0	0	0	0	0	0	0	130	0	0	0	0	271	0	526	0	0	176	0	0	0	0
MT1H	83.448276	0	0	0	0	0	360	641	549	0	0	167	137	0	313	113	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACADL	83.413793	0	0	0	0	0	375	836	379	0	0	110	87	120	191	160	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DYSF	83.379310	0	0	0	0	0	499	715	379	0	113	90	163	0	108	216	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ONECUT3	83.275862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1036	679	700	0	0	0	0	0	0	0
KCND3	83.068966	0	0	0	0	0	288	460	311	0	0	68	0	0	139	110	100	0	0	0	0	446	129	358	0	0	0	0	0	0	0
PHLDB1	83.000000	0	0	0	0	0	541	786	303	0	0	129	156	0	254	120	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC6A3	82.862069	0	0	0	0	0	386	577	360	0	175	201	150	0	151	240	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF14	82.827586	0	94	0	0	0	348	556	452	0	0	107	136	0	131	205	239	0	0	0	0	134	0	0	0	0	0	0	0	0	0
SCD5	82.793103	0	126	0	0	0	436	636	362	0	102	119	119	84	148	154	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAN	82.586207	0	0	0	0	0	435	791	475	0	90	100	0	82	85	135	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRKCE	82.551724	0	0	0	0	0	435	534	150	0	0	0	0	0	176	128	145	0	0	0	0	243	133	450	0	0	0	0	0	0	0
ABCA3	82.551724	0	0	187	0	0	512	714	300	0	0	137	103	0	176	103	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SGCZ	82.413793	0	0	0	0	0	518	807	458	0	0	0	0	128	181	173	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EML5	82.379310	0	0	0	0	0	390	718	248	0	150	113	195	0	110	146	86	0	0	86	147	0	0	0	0	0	0	0	0	0	0
CYP1B1	82.310345	0	0	0	0	0	421	732	467	0	0	88	154	71	182	98	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYGB	82.241379	0	0	0	0	0	360	501	159	0	0	0	114	0	0	0	151	0	0	0	0	577	0	523	0	0	0	0	0	0	0
TMEM271	82.172414	0	0	0	0	0	349	537	153	0	0	0	0	0	0	96	87	0	0	0	0	589	0	331	0	0	241	0	0	0	0
BARX1	82.172414	0	0	0	0	0	152	211	254	0	0	0	84	0	105	197	102	0	0	0	0	839	198	241	0	0	0	0	0	0	0
GALNTL6	82.034483	126	0	0	0	0	410	568	439	0	0	122	0	168	235	184	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GDF6	81.931034	0	0	0	0	0	302	457	436	0	90	0	0	0	195	230	153	0	0	0	0	513	0	0	0	0	0	0	0	0	0
FAM120B	81.275862	0	0	119	0	0	356	574	399	0	0	0	138	0	0	181	226	0	0	0	0	364	0	0	0	0	0	0	0	0	0
C1QL1	81.172414	0	0	0	0	0	212	359	294	0	100	158	0	0	177	0	120	0	0	0	0	297	99	538	0	0	0	0	0	0	0
HSPA6	81.137931	0	0	0	0	0	444	870	305	0	0	125	94	116	166	133	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEFF2	81.103448	0	0	0	0	0	392	636	308	0	0	97	0	0	140	215	131	0	0	0	65	195	0	173	0	0	0	0	0	0	0
BMP8B	81.103448	0	0	0	0	0	474	665	539	0	97	0	157	0	122	133	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RFTN1	81.000000	0	0	0	0	0	399	580	485	0	104	0	0	150	176	146	100	0	0	0	0	209	0	0	0	0	0	0	0	0	0
GRIN2A	80.862069	0	0	0	0	0	323	709	285	0	0	0	136	0	166	120	132	0	0	0	0	290	0	184	0	0	0	0	0	0	0
GDNF	80.724138	0	0	0	0	0	267	343	307	0	0	0	0	0	104	107	98	0	0	0	0	481	185	449	0	0	0	0	0	0	0
ASCL4	80.724138	0	0	0	0	0	367	899	387	0	0	149	0	0	163	170	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CD38	80.620690	0	126	0	0	0	351	826	444	0	0	118	0	0	108	204	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLFN13	80.482759	0	0	0	0	0	655	936	274	0	0	0	124	0	219	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZFYVE28	80.448276	0	0	0	0	0	467	659	452	0	0	137	146	0	0	296	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANKRD34B	80.448276	0	0	0	0	0	389	672	420	0	72	123	96	0	116	249	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM178A	80.379310	0	0	0	0	0	161	331	223	0	0	0	0	0	99	87	95	0	0	0	0	362	149	567	109	0	148	0	0	0	0
CHRNA3	80.344828	0	0	0	0	0	377	707	361	0	124	152	89	0	154	136	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABO	80.241379	0	102	0	0	0	421	802	330	0	0	0	103	93	198	102	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WNT7B	80.206897	0	0	0	0	0	161	381	202	0	0	0	0	0	0	0	0	0	0	0	0	564	234	613	0	0	171	0	0	0	0
MAPT	80.172414	0	0	0	0	0	379	577	352	0	0	91	138	96	184	108	170	0	0	0	0	0	0	230	0	0	0	0	0	0	0
PRRX1	80.103448	0	0	0	0	0	202	390	233	0	0	0	0	0	92	0	0	0	0	0	0	467	333	428	178	0	0	0	0	0	0
H4C12	80.068966	0	0	222	0	0	578	957	0	0	0	233	0	121	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EBF4	79.965517	0	0	0	0	0	353	572	436	0	0	198	150	0	105	0	121	0	0	0	0	275	0	109	0	0	0	0	0	0	0
IL12RB2	79.931034	0	85	0	0	0	363	764	486	0	0	136	0	119	156	117	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TWIST1	79.862069	0	0	0	0	0	235	466	255	0	0	0	0	0	226	0	0	0	0	0	0	401	0	520	0	0	213	0	0	0	0
GREB1L	79.862069	0	0	0	0	0	451	570	470	0	109	102	100	0	236	140	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPR150	79.862069	0	0	0	0	0	478	650	488	0	0	146	100	0	129	173	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAFA2	79.758621	0	103	0	0	0	443	1001	113	0	0	0	0	0	311	260	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0
RGPD2	79.758621	80	171	297	0	0	0	0	0	161	386	246	145	0	0	615	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM181B	79.758621	0	107	0	0	0	407	733	399	0	0	143	113	0	144	105	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTGER4	79.689655	0	0	0	0	0	658	970	191	0	0	0	0	0	0	384	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBP7	79.620690	0	0	0	0	0	518	853	280	0	0	102	151	0	132	99	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALDH1A3	79.586207	0	0	0	0	0	501	669	350	0	0	113	152	92	114	184	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDE8A	79.517241	0	0	78	0	0	532	801	260	0	0	0	116	0	0	199	129	0	0	0	0	191	0	0	0	0	0	0	0	0	0
SYBU	79.241379	0	0	0	0	0	364	757	429	0	0	148	88	0	155	236	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPY1R	79.206897	0	0	0	0	0	339	790	531	0	0	102	129	126	166	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PABPC1L2B	79.068966	0	140	0	0	0	347	751	251	0	0	0	118	0	0	0	0	0	0	0	0	285	163	238	0	0	0	0	0	0	0
GAD2	79.068966	0	0	0	0	0	493	707	498	0	0	0	90	0	120	165	220	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NKX1-1	79.000000	0	0	0	0	0	95	184	226	0	0	78	0	0	0	0	88	0	0	0	0	642	307	419	252	0	0	0	0	0	0
CAMK2N1	78.551724	0	0	0	0	0	385	560	197	0	115	0	0	0	86	0	159	0	0	0	0	262	0	514	0	0	0	0	0	0	0
MINAR1	78.448276	0	0	0	0	0	446	752	414	0	0	0	183	0	190	142	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPAS2	78.413793	0	0	0	0	0	366	641	332	0	0	132	0	0	120	0	88	0	0	0	0	437	0	158	0	0	0	0	0	0	0
WNT10A	78.310345	0	0	0	0	0	107	218	263	0	0	0	0	0	0	0	0	0	0	0	0	442	470	499	272	0	0	0	0	0	0
SIM1	78.275862	0	0	0	0	0	279	613	707	0	0	0	0	0	233	0	0	0	0	0	0	0	131	307	0	0	0	0	0	0	0
ATP6V1C2	78.275862	0	86	0	0	0	457	800	471	0	71	0	130	0	101	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	78.206897	0	0	0	0	0	555	622	466	0	0	0	145	0	0	223	107	0	0	0	0	150	0	0	0	0	0	0	0	0	0
MEIS1	78.172414	0	0	139	0	0	195	575	301	0	0	0	0	0	131	84	134	0	0	0	0	199	161	348	0	0	0	0	0	0	0
TACSTD2	78.103448	0	114	0	0	0	316	686	335	0	0	0	0	0	128	103	0	0	0	0	0	385	0	198	0	0	0	0	0	0	0
PTGER3	78.034483	0	77	0	0	0	374	516	279	0	0	73	0	100	147	185	120	0	0	0	0	259	0	133	0	0	0	0	0	0	0
GJB2	78.034483	0	0	0	0	0	510	630	534	0	0	87	132	0	239	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM16	77.965517	0	0	0	0	0	287	442	0	0	0	0	104	0	111	0	0	0	0	0	0	435	119	597	0	0	166	0	0	0	0
BHLHE22	77.896552	0	0	0	0	0	242	589	391	0	0	0	90	0	189	126	0	0	0	0	0	258	0	374	0	0	0	0	0	0	0
COLEC12	77.862069	0	0	0	0	0	381	629	426	0	0	169	158	0	188	144	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PVALB	77.793103	0	0	0	0	0	407	704	287	0	107	97	112	0	152	97	113	0	0	0	0	180	0	0	0	0	0	0	0	0	0
DGKI	77.793103	0	88	0	0	0	403	539	317	0	0	87	0	0	67	134	105	0	0	0	0	323	0	193	0	0	0	0	0	0	0
RUNX2	77.689655	0	0	0	0	0	98	186	131	0	0	0	0	0	93	0	0	0	0	0	0	674	353	614	0	0	104	0	0	0	0
FERD3L	77.655172	0	0	0	0	0	452	704	231	0	0	0	114	0	259	270	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POM121L2	77.413793	0	93	78	0	0	408	827	238	0	0	0	113	110	136	115	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GFRA1	77.344828	0	0	0	0	0	442	549	384	0	0	137	82	0	286	106	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH22	77.275862	0	0	0	0	0	458	537	191	0	0	0	0	0	0	0	0	0	0	0	0	609	0	446	0	0	0	0	0	0	0
C11orf87	77.275862	0	0	0	0	0	364	487	282	113	0	126	0	0	271	281	317	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUSD5	77.103448	0	79	0	0	0	462	587	466	0	0	111	0	82	166	171	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM184B	76.827586	0	128	0	0	0	212	800	393	0	0	125	0	78	172	181	139	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2orf72	76.758621	0	0	0	0	0	397	631	320	0	0	0	130	0	0	118	0	0	0	0	0	356	0	274	0	0	0	0	0	0	0
MEGF11	76.724138	0	0	0	0	0	349	574	477	0	0	198	145	0	202	144	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC6A4	76.655172	0	0	0	0	0	473	751	312	0	0	96	0	0	145	0	143	0	0	0	0	303	0	0	0	0	0	0	0	0	0
LRMDA	76.655172	153	106	0	0	0	355	623	501	0	0	94	85	0	135	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELOVL2	76.620690	0	0	0	0	0	567	836	258	0	0	0	0	0	151	245	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPON2	76.586207	0	0	0	0	0	510	617	382	0	110	0	130	0	118	187	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GATA2	76.551724	0	0	0	0	0	205	221	252	0	0	82	0	0	143	84	145	0	0	0	0	654	0	434	0	0	0	0	0	0	0
ACSS1	76.413793	0	0	0	0	0	465	672	298	0	0	134	163	0	128	176	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NUDT4	76.275862	0	114	0	0	0	432	881	252	0	0	88	0	100	130	119	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRMP1	76.137931	0	0	0	0	0	349	481	313	0	0	163	0	0	76	131	119	0	0	0	0	312	0	264	0	0	0	0	0	0	0
GPC5	76.103448	70	115	0	0	0	353	657	347	0	0	136	0	127	100	200	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTF1A	76.068966	0	0	0	0	0	185	315	428	0	0	0	0	0	0	72	0	0	0	0	0	669	184	353	0	0	0	0	0	0	0
CA7	76.034483	0	86	0	0	0	514	687	474	0	0	112	121	0	73	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCOLN3	75.896552	0	89	0	0	0	420	766	299	0	0	135	133	0	89	148	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OSMR	75.517241	0	0	0	0	0	473	576	564	0	139	0	0	130	106	88	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KCNK10	75.482759	0	0	0	0	0	504	598	290	0	112	81	111	0	185	147	161	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH6	75.482759	0	0	0	0	0	379	617	519	0	0	68	0	95	191	119	99	0	0	0	0	102	0	0	0	0	0	0	0	0	0
TFAP2D	75.448276	0	0	0	0	0	341	726	0	0	0	0	0	0	0	158	0	0	0	0	0	86	161	213	263	240	0	0	0	0	0
ABCB1	75.310345	0	0	0	0	0	559	733	308	0	0	94	0	0	139	161	125	0	0	0	65	0	0	0	0	0	0	0	0	0	0
TBC1D9	75.275862	0	91	0	0	0	427	618	384	0	0	92	0	151	173	140	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G0S2	75.275862	0	0	0	0	0	480	765	335	0	0	77	102	0	177	156	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FRMPD1	75.275862	0	0	0	0	0	477	697	264	0	0	153	0	0	109	133	163	0	0	0	0	187	0	0	0	0	0	0	0	0	0
RASGRF2	75.137931	0	105	0	0	0	414	617	327	0	0	0	0	90	110	164	0	0	0	0	0	164	0	188	0	0	0	0	0	0	0
MLPH	75.068966	0	106	0	0	0	449	682	343	0	104	144	100	0	0	124	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DRGX	75.068966	0	0	0	0	0	253	511	460	0	0	70	86	0	0	117	141	0	0	0	0	248	0	291	0	0	0	0	0	0	0
RTN4RL2	74.827586	0	0	0	0	0	447	656	174	0	121	0	156	0	0	160	181	0	0	0	0	275	0	0	0	0	0	0	0	0	0
PRR18	74.724138	0	0	0	0	0	531	676	343	0	0	109	126	0	103	172	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGA11	74.655172	0	0	0	0	0	422	639	427	0	0	129	125	0	125	127	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHLDA2	74.551724	0	0	0	0	0	476	688	430	0	0	0	194	0	128	112	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLCO2A1	74.517241	0	0	0	0	0	481	704	358	0	0	110	0	0	164	89	121	0	0	0	0	134	0	0	0	0	0	0	0	0	0
WT1	74.482759	0	0	0	0	0	126	204	340	0	0	0	103	0	72	0	0	0	0	0	0	572	241	502	0	0	0	0	0	0	0
PCDH17	74.413793	0	0	0	0	0	276	465	211	0	0	120	0	0	170	242	127	0	0	0	0	158	235	154	0	0	0	0	0	0	0
TMCC3	74.000000	0	94	0	0	0	490	723	351	0	0	0	0	0	0	149	140	0	0	0	0	199	0	0	0	0	0	0	0	0	0
ALOX15	74.000000	0	0	0	0	0	541	704	234	0	0	92	107	0	164	97	207	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS2	74.000000	0	0	0	0	0	142	333	116	0	0	0	0	0	0	0	113	0	0	0	0	486	0	785	0	0	171	0	0	0	0
REEP1	73.965517	0	80	0	0	0	395	741	357	0	86	111	119	0	0	124	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OSBP2	73.827586	0	63	0	0	0	334	516	237	0	0	67	120	0	0	83	147	0	0	0	0	390	0	184	0	0	0	0	0	0	0
CDH11	73.827586	0	0	0	0	0	212	403	226	0	0	0	0	0	0	0	0	0	0	0	0	710	247	343	0	0	0	0	0	0	0
CYP27B1	73.793103	0	0	0	0	0	642	834	399	0	133	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
