Target_genes	CHD7|Average	SRX3010215|A549	SRX3010216|A549	SRX1901615|CD34+	SRX9795022|Cerebellum	SRX3010108|GM12878	SRX3010109|GM12878	SRX116455|hESC_H1	SRX186669|hESC_H1	SRX3581475|iPSC_derived_neural_cells	SRX3581477|iPSC_derived_neural_cells	SRX3581509|iPSC_derived_neural_cells	SRX3581511|iPSC_derived_neural_cells	SRX702549|iPSC_derived_neural_cells	SRX3581513|iPSC_derived_neural_crests	SRX3581515|iPSC_derived_neural_crests	SRX3581504|iPS_cells	SRX3581507|iPS_cells	SRX116418|K-562	SRX186674|K-562	STRING
GJC1	36.263158	0	0	0	112	0	0	0	0	0	0	0	82	0	0	0	182	313	0	0	0
FILIP1L	36.263158	0	0	0	218	0	0	0	0	0	0	0	0	0	0	0	127	344	0	0	0
CCNE2	36.263158	0	0	0	235	0	0	0	0	0	0	0	0	0	0	0	0	454	0	0	0
ZC3H3	36.210526	0	0	108	580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COIL	36.210526	0	0	0	524	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	0
RAB18	36.105263	0	0	0	444	0	0	0	0	0	0	0	0	0	0	0	0	0	123	119	0
GLUL	36.105263	0	0	0	238	0	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0
POLR2J3	36.000000	0	0	0	370	0	0	0	0	0	0	0	0	0	0	0	0	314	0	0	0
TPRA1	35.947368	0	0	0	275	0	0	0	0	0	0	0	0	0	0	0	181	227	0	0	0
RBM47	35.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	491	0	0	0
PRRX1	35.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	314	368	0	0	0
PDCL	35.894737	0	0	0	554	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0
MDK	35.842105	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	184	339	0	0	0
KRTAP4-12	35.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	584	0	0	0
RXRG	35.789474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	252	428	0	0	0
PPP6R1	35.789474	0	0	86	594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP2R1B	35.789474	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	185	391	0	0	0
NEDD4L	35.789474	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	152	298	0	0	0
HEXIM2	35.789474	0	0	0	398	0	0	0	0	0	0	0	0	85	0	0	0	197	0	0	0
ATR	35.789474	0	0	0	509	0	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0
THAP1	35.684211	0	0	0	347	0	0	0	0	0	0	0	0	0	0	0	0	331	0	0	0
MARCHF7	35.684211	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	144	279	0	0	0
RALGAPB	35.631579	0	0	0	677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NDUFB7	35.631579	0	0	0	677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DCLRE1B	35.578947	0	0	0	436	0	0	0	0	0	0	0	0	0	0	0	0	0	117	123	0
AP4B1	35.578947	0	0	0	436	0	0	0	0	0	0	0	0	0	0	0	0	0	117	123	0
EPCAM	35.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	458	0	0	0
DUSP6	35.526316	0	0	0	155	0	0	0	0	0	0	0	264	92	0	0	0	164	0	0	0
DOCK9	35.526316	0	0	0	242	0	0	0	0	0	0	299	134	0	0	0	0	0	0	0	0
CYB5R3	35.368421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	185	487	0	0	0
SSBP2	35.315789	0	0	126	265	0	0	0	0	0	0	0	0	114	0	0	0	166	0	0	0
NUP93	35.315789	0	0	0	461	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0
TTC30A	35.210526	0	0	0	669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PNMA8A	35.210526	0	0	0	669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FNDC3A	35.210526	0	0	0	291	0	0	0	0	0	0	0	0	0	0	0	104	274	0	0	0
PTOV1	35.157895	0	0	0	478	0	0	0	0	0	0	0	0	0	0	0	0	190	0	0	0
AUH	35.157895	0	0	0	302	0	0	0	0	0	0	0	0	0	0	0	180	186	0	0	0
BRI3	35.105263	0	0	0	329	0	0	0	0	0	0	0	0	0	0	0	0	338	0	0	0
EIF3F	35.052632	0	0	109	447	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0
RHEB	35.000000	0	0	0	307	0	0	0	0	0	0	0	0	236	0	0	0	122	0	0	0
PTHLH	34.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	241	423	0	0	0
DDX59	34.947368	0	0	0	270	0	0	0	0	0	0	0	0	0	0	0	0	394	0	0	0
LTBP1	34.894737	0	0	0	87	0	0	0	0	0	0	0	0	0	0	116	153	307	0	0	0
FIGNL1	34.894737	0	0	0	354	0	0	0	0	0	0	0	0	0	0	0	0	309	0	0	0
COX16	34.894737	0	0	187	476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MID1	34.842105	0	0	0	98	0	0	0	0	0	0	0	194	0	0	0	148	222	0	0	0
CRKL	34.789474	0	0	0	337	0	0	0	0	0	0	0	0	0	0	0	0	0	161	163	0
TFG	34.736842	0	0	0	397	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0
RPS6KA2	34.736842	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	166	334	0	0	0
MFSD4B	34.631579	0	0	0	658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP2C1	34.631579	0	0	255	115	0	0	0	0	0	0	0	288	0	0	0	0	0	0	0	0
PTPRG	34.578947	0	0	0	307	0	0	0	0	0	0	0	0	0	0	0	110	240	0	0	0
POLRMT	34.526316	0	0	141	515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCAS1	34.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	196	460	0	0	0
TAL1	34.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	370	0	0	0
CTSC	34.473684	0	0	0	289	0	0	0	0	0	0	0	0	0	0	0	96	270	0	0	0
CAB39L	34.421053	0	0	0	208	0	0	0	0	0	0	0	0	0	0	0	183	263	0	0	0
RPS7	34.368421	0	0	0	347	0	0	0	0	0	0	0	0	0	0	0	0	0	156	150	0
ZSCAN31	34.263158	0	0	0	321	0	0	0	0	0	0	0	0	106	0	0	0	224	0	0	0
PTPDC1	34.263158	0	0	0	339	0	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0
MPP4	34.263158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	368	0	0	0
GAS1	34.263158	0	0	0	144	0	0	0	0	0	0	0	234	0	0	0	0	273	0	0	0
TLE3	34.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	337	313	0	0	0
YTHDF2	34.157895	0	0	0	411	0	0	0	0	0	0	0	0	0	0	0	0	238	0	0	0
XK	34.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166	483	0	0	0
TEAD3	34.157895	0	0	0	0	0	0	0	0	0	0	0	0	0	240	0	153	256	0	0	0
OPA1	34.157895	0	0	0	350	0	0	0	0	0	0	0	0	0	0	0	0	0	147	152	0
NSFL1C	34.157895	0	0	186	463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KPTN	34.157895	0	0	0	649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C2CD2	34.157895	0	0	0	106	0	0	0	0	0	0	132	205	0	0	0	0	206	0	0	0
ANKS1B	34.157895	0	0	0	125	0	0	0	0	0	0	0	207	0	0	0	0	317	0	0	0
AAAS	34.105263	0	0	0	648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NFILZ	34.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	439	0	0	0
SS18L2	34.000000	0	0	0	428	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0
SEC22C	34.000000	0	0	0	428	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0
PTPN12	34.000000	0	0	0	276	0	0	0	0	0	0	0	210	0	0	0	0	160	0	0	0
PDCD6IP	34.000000	0	0	0	646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARF4	34.000000	0	0	0	425	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0
SCHIP1	33.947368	0	0	0	207	0	0	0	0	0	0	0	308	0	0	0	0	130	0	0	0
ABLIM1	33.947368	0	0	0	203	0	0	0	0	0	0	0	249	0	0	79	0	114	0	0	0
AK4	33.894737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	461	0	0	0
LYRM2	33.789474	0	0	0	642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSRNP1	33.789474	0	0	0	112	0	0	0	0	0	0	0	0	0	123	185	0	222	0	0	0
POMZP3	33.736842	0	0	0	641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTUS2	33.736842	0	0	0	83	0	0	162	162	0	0	0	0	0	0	0	0	234	0	0	0
MFHAS1	33.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321	319	0	0	0
ZNF846	33.631579	0	0	0	341	0	0	0	0	0	0	0	0	0	0	0	0	298	0	0	0
TOM1L1	33.631579	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	175	326	0	0	0
VTA1	33.578947	0	0	101	537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NMBR	33.578947	0	0	101	537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM37	33.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	94	297	0	0	0
PAFAH2	33.526316	0	0	136	322	0	0	0	0	0	0	0	0	0	0	0	0	0	86	93	0
H2AC19	33.526316	0	0	352	184	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0
H2AC18	33.526316	0	0	352	184	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0
CYB5A	33.526316	0	0	0	459	0	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0
PDHB	33.473684	0	0	0	636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GTF2H2C	33.473684	0	0	204	343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0
DLX5	33.473684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	226	410	0	0	0
BRPF1	33.473684	0	0	0	636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEC16A	33.421053	0	0	0	635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
QSER1	33.421053	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	203	301	0	0	0
PHLDA3	33.421053	0	0	0	206	0	0	0	0	0	0	0	0	0	0	0	138	291	0	0	0
NBN	33.421053	0	0	0	494	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0
CTDP1	33.421053	0	0	0	447	0	0	0	0	0	0	0	0	0	0	0	0	188	0	0	0
C9orf163	33.421053	0	0	0	635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VANGL2	33.315789	0	0	0	250	0	0	0	0	0	0	0	144	0	0	0	0	239	0	0	0
SLC18B1	33.315789	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	183	238	0	0	0
PLAC1	33.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	427	0	0	0
JAG1	33.315789	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	225	296	0	0	0
INTS5	33.315789	0	0	165	468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCDC88A	33.315789	0	0	0	427	0	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0
CCDC172	33.315789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213	420	0	0	0
ZNF583	33.263158	0	0	0	632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SART1	33.263158	0	0	0	632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMF1	33.263158	0	0	156	476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PI16	33.210526	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	141	339	0	0	0
NEDD4	33.210526	0	0	0	175	0	0	0	0	0	0	0	0	0	0	311	0	145	0	0	0
FBLN1	33.210526	0	0	0	0	0	0	0	0	0	0	0	474	0	0	0	0	157	0	0	0
TET3	33.157895	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	151	372	0	0	0
SYCE2	33.157895	0	0	210	420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GATAD2A	33.157895	0	0	0	239	0	0	0	0	0	0	0	0	0	0	0	213	178	0	0	0
N6AMT1	33.052632	0	0	0	393	0	0	0	0	0	0	0	0	0	0	0	0	0	113	122	0
HACD1	33.052632	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	145	380	0	0	0
RASA4B	33.000000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	468	0	0	0
MAPKAP1	33.000000	0	0	0	627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YIPF2	32.947368	0	0	190	436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIMM29	32.947368	0	0	190	436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SIL1	32.947368	0	0	0	522	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0
SENP7	32.947368	0	0	0	289	0	0	0	0	0	0	0	0	0	0	0	119	218	0	0	0
NELL2	32.947368	0	0	0	137	0	0	0	0	0	0	0	95	0	0	0	124	270	0	0	0
ZNF3	32.842105	0	0	0	403	0	0	0	0	0	0	0	0	0	0	0	0	221	0	0	0
WDFY2	32.842105	0	0	0	624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MINK1	32.842105	0	0	0	624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DYNLL2	32.842105	0	0	0	126	0	0	0	0	0	0	0	205	0	0	0	0	293	0	0	0
TLR4	32.789474	0	0	0	0	0	0	0	0	0	0	0	476	0	0	147	0	0	0	0	0
TEX22	32.789474	0	0	65	558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCNM1	32.789474	0	0	158	465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S100A16	32.789474	0	0	0	0	0	0	0	0	0	0	0	310	0	121	192	0	0	0	0	0
RNF149	32.789474	0	0	231	392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLS1	32.789474	0	0	0	623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LYSMD1	32.789474	0	0	158	465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZSWIM9	32.736842	0	0	0	622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LIG1	32.736842	0	0	0	622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM41A	32.684211	0	0	0	316	0	0	0	0	0	0	0	0	0	0	0	0	0	157	148	0
TCTEX1D4	32.684211	0	0	0	0	0	0	0	0	0	0	0	474	0	0	147	0	0	0	0	0
MYH7	32.684211	0	0	0	503	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0
IFRD2	32.684211	0	0	0	621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BTBD19	32.684211	0	0	0	0	0	0	0	0	0	0	0	474	0	0	147	0	0	0	0	0
AP1M1	32.684211	0	0	0	305	0	0	0	0	0	0	0	0	0	0	316	0	0	0	0	0
RHD	32.631579	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	97	340	0	0	0
DMWD	32.631579	0	0	0	620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM39B	32.578947	0	0	0	619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYS1	32.526316	0	0	0	618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBL2	32.526316	0	0	0	317	0	0	0	0	0	0	0	0	0	0	0	0	301	0	0	0
KCNRG	32.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	412	0	0	0
FGF20	32.526316	0	0	0	169	0	0	0	0	0	0	0	0	0	0	0	199	250	0	0	0
EIF2D	32.526316	0	0	160	458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NDUFAB1	32.473684	0	0	0	617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAST4	32.473684	0	0	0	276	0	0	0	0	0	0	0	109	0	0	0	0	232	0	0	0
PCDH18	32.421053	0	0	0	115	0	0	0	0	0	0	0	335	0	0	0	0	166	0	0	0
LCOR	32.421053	0	0	0	113	0	0	0	0	0	0	0	197	0	0	0	0	306	0	0	0
ZNF879	32.368421	0	0	0	615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SCG3	32.368421	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	372	0	0	0
RMND1	32.368421	0	0	110	505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RCOR3	32.368421	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	360	0	0	0
NELFA	32.368421	0	0	0	318	0	0	0	0	0	0	0	0	0	0	0	115	182	0	0	0
MMP2	32.368421	0	0	0	106	0	0	0	0	0	0	0	113	0	0	0	169	227	0	0	0
ARMT1	32.368421	0	0	110	505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAD23B	32.315789	0	0	0	296	0	0	0	0	0	0	0	0	0	0	0	151	167	0	0	0
SLC16A1	32.263158	0	0	0	240	0	0	0	0	0	0	0	0	0	0	0	141	232	0	0	0
MLST8	32.263158	0	0	0	613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H4C5	32.263158	73	0	385	155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FNDC11	32.210526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	429	0	0	0
BORCS7	32.210526	0	0	0	612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYNRG	32.157895	0	0	0	372	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	0
RPL13A	32.157895	0	0	0	416	0	0	0	0	0	0	0	0	0	0	0	0	195	0	0	0
PMAIP1	32.157895	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	173	251	0	0	0
PLAA	32.157895	0	0	0	611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL17RD	32.157895	0	0	0	225	0	0	0	0	0	0	0	133	0	0	0	0	253	0	0	0
IFT74	32.157895	0	0	0	611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELOVL6	32.157895	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	183	201	0	0	0
TMPRSS5	32.105263	0	0	0	347	0	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0
MGAT1	32.105263	0	0	0	429	0	0	0	0	0	0	0	0	0	0	0	0	181	0	0	0
KIF1B	32.105263	0	0	0	174	0	0	0	0	0	0	0	278	158	0	0	0	0	0	0	0
DLL3	32.105263	0	0	0	119	0	0	0	0	0	0	0	129	0	0	0	125	237	0	0	0
BRD2	32.105263	0	0	0	121	0	0	0	0	0	0	0	224	108	0	0	0	157	0	0	0
ACOX3	32.105263	0	0	0	610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RHCE	32.052632	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	126	343	0	0	0
LRRTM1	32.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	206	403	0	0	0
MCCC1	32.000000	0	0	0	508	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0
C20orf96	32.000000	0	0	0	309	0	0	0	0	0	0	0	299	0	0	0	0	0	0	0	0
SPECC1	31.947368	0	0	0	253	0	0	0	0	0	0	0	0	0	0	0	0	354	0	0	0
RGR	31.947368	0	0	0	607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POFUT2	31.947368	0	0	0	471	0	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0
NREP	31.947368	0	0	0	150	0	0	0	0	0	0	0	84	0	0	0	149	224	0	0	0
KLF7	31.947368	0	0	0	234	0	0	0	0	0	0	0	150	0	0	0	0	223	0	0	0
GTPBP8	31.947368	0	0	0	607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H1-5	31.894737	0	0	606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SVIL	31.842105	0	0	0	109	0	0	0	0	0	0	0	120	0	0	0	0	376	0	0	0
ODF2	31.842105	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	220	265	0	0	0
CCAR2	31.842105	0	0	116	489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YEATS2	31.789474	0	0	0	434	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0
SLC35B1	31.789474	0	0	125	479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC33A1	31.789474	0	0	163	441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGF2BP3	31.789474	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	160	258	0	0	0
CAPS2	31.789474	0	0	0	351	0	0	0	0	0	0	0	92	161	0	0	0	0	0	0	0
ZC3HC1	31.736842	0	0	0	280	0	0	0	0	0	0	0	0	122	0	0	0	0	98	103	0
CDK11A	31.736842	0	0	97	506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAPZA2	31.736842	0	0	0	603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAX	31.736842	0	0	0	603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TENM2	31.684211	0	0	0	113	0	0	0	0	0	0	0	139	0	0	0	144	206	0	0	0
PIH1D2	31.684211	0	0	0	602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NKAPD1	31.684211	0	0	0	602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAA38	31.684211	0	0	0	461	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0
IQGAP2	31.684211	0	0	0	139	0	0	0	0	0	0	105	139	0	0	0	0	219	0	0	0
H4C9	31.684211	0	0	486	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0
C1orf100	31.684211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	379	0	0	0
C10orf88	31.684211	0	0	120	482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ZER1	31.631579	0	0	128	473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBCA	31.631579	0	0	0	362	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	0
TP53BP2	31.578947	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	423	0	0	0
LIMA1	31.526316	0	0	0	340	0	0	0	0	0	0	0	0	0	0	158	0	101	0	0	0
COMMD2	31.526316	0	0	0	283	0	0	0	0	0	0	0	0	111	0	0	0	0	104	101	0
MPP5	31.473684	0	0	0	207	0	0	0	0	0	0	0	159	0	0	0	0	232	0	0	0
GTF2H2C_2	31.473684	0	0	170	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0
KIF22	31.368421	0	0	92	504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H4C4	31.368421	0	0	463	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAB3IP	31.315789	0	0	0	302	0	0	0	0	0	0	0	0	0	0	0	0	293	0	0	0
CLASP2	31.315789	0	0	0	246	0	0	0	0	0	0	0	146	0	0	0	0	203	0	0	0
ALG1L	31.315789	0	0	0	333	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	0
WDR62	31.263158	0	0	0	594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TSN	31.263158	0	0	0	594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THAP8	31.263158	0	0	0	594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
L3HYPDH	31.263158	0	0	0	377	0	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0
CDKN2AIPNL	31.263158	0	0	0	594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SIRT1	31.210526	0	0	0	366	0	0	0	0	0	0	0	0	0	0	0	0	0	116	111	0
REEP6	31.210526	0	0	0	593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCSK4	31.210526	0	0	0	593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSA2	31.210526	0	0	0	341	0	0	0	0	0	0	0	0	0	0	0	0	0	121	131	0
NOB1	31.210526	0	0	0	593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
H3C15	31.210526	0	0	494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0
H3C14	31.210526	0	0	494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0
GFM2	31.210526	0	0	0	341	0	0	0	0	0	0	0	0	0	0	0	0	0	121	131	0
BCHE	31.210526	0	0	0	258	0	0	0	0	0	0	0	150	0	0	0	0	185	0	0	0
TECR	31.157895	0	0	0	592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITM2C	31.157895	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	174	272	0	0	0
DNAJB1	31.157895	0	0	0	592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS27A	31.105263	0	0	0	591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NKX2-6	31.105263	0	0	0	0	0	0	296	295	0	0	0	0	0	0	0	0	0	0	0	0
CUTC	31.105263	0	0	0	591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX15	31.105263	0	0	0	591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLHC1	31.105263	0	0	0	591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PFKM	31.052632	0	0	0	474	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0
MYO6	31.052632	0	0	0	215	0	0	0	0	0	0	0	0	0	0	0	109	266	0	0	0
FAT1	31.052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	429	0	0	0
ZNF511	31.000000	0	0	0	589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UBQLN1	31.000000	0	0	0	369	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	0
TUBGCP2	31.000000	0	0	0	589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNF19A	31.000000	0	0	0	251	0	0	0	0	0	0	0	0	0	0	0	0	338	0	0	0
MICU3	31.000000	0	0	0	217	0	0	0	0	0	0	0	0	0	0	0	170	202	0	0	0
CEP41	31.000000	0	0	0	467	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0
ZHX3	30.947368	0	0	0	240	0	0	0	0	0	0	82	266	0	0	0	0	0	0	0	0
KIF21A	30.947368	0	0	0	185	0	0	0	0	0	0	0	220	0	0	0	0	183	0	0	0
BRWD1	30.947368	0	0	0	328	0	0	0	0	0	0	0	0	0	0	0	0	260	0	0	0
HK1	30.894737	0	0	0	273	0	0	0	0	0	0	93	221	0	0	0	0	0	0	0	0
EFHD1	30.894737	0	0	0	373	0	0	0	0	0	0	0	0	0	0	0	0	214	0	0	0
PPP1R8	30.842105	0	0	0	586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SENP1	30.789474	0	0	0	474	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0
LUC7L	30.789474	0	0	0	585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
