Target_genes	TCF3|Average	SRX107286|CCRF-CEM	SRX190201|GM12878	SRX10477210|Hep_G2	SRX10477211|Hep_G2	SRX8736984|hESC_derived_neural_cells	SRX8736983|hESC_H1	SRX12024651|hESC_H9	SRX12024653|hESC_H9	SRX656347|ICN12	SRX128780|Jurkat_(Clone_E6-1)	SRX10478377|K-562	SRX10478378|K-562	SRX236115|Kasumi-1	SRX1212540|RAMOS	SRX7083392|RAMOS	SRX2043230|RCH-ACV	SRX158105|RPMI_8402	SRX158106|RPMI_8402	SRX2043226|SEM	STRING
GALK1	178.000000	0	312	0	0	0	0	0	0	146	0	217	268	278	0	0	1802	0	0	359	0
STRADA	177.894737	0	478	0	0	0	0	0	0	152	0	0	130	1211	0	0	1130	0	135	144	0
MRPL33	177.842105	0	147	0	0	0	0	0	0	153	0	0	0	1538	0	0	1116	0	0	425	0
GGA1	177.684211	0	350	0	0	0	0	0	0	229	0	0	0	521	0	0	2099	0	0	177	0
MRPL40	177.631579	0	540	99	126	0	0	0	0	0	0	649	970	308	0	0	582	0	0	101	0
HIRA	177.631579	0	540	99	126	0	0	0	0	0	0	649	970	308	0	0	582	0	0	101	0
SH3GLB1	177.368421	0	247	0	0	0	0	0	0	207	0	0	139	694	0	0	1885	0	0	198	0
TMEM210	177.315789	0	0	0	0	0	0	0	0	1259	0	0	0	170	0	0	1615	0	325	0	0
SSX2IP	177.315789	0	282	0	0	0	0	0	0	203	0	0	0	1003	0	0	1567	0	146	168	0
TRAF3IP3	177.210526	0	217	0	0	0	0	0	0	486	0	0	0	1742	0	0	391	0	438	93	0
TRIB3	177.157895	0	574	0	0	0	0	0	0	0	0	540	826	449	0	0	852	0	0	125	0
FRA10AC1	177.105263	0	279	0	144	0	0	0	0	260	0	192	208	957	0	0	1193	0	0	132	0
CCDC15	177.105263	0	135	0	0	0	0	0	0	103	0	91	0	995	0	0	1867	0	0	174	0
KRTAP5-9	177.000000	0	170	0	0	0	0	0	0	0	0	0	0	791	0	0	1959	0	0	443	0
FOXO3	177.000000	0	0	0	0	0	0	0	0	0	0	1556	1577	0	0	0	230	0	0	0	0
PLD3	176.947368	0	0	0	0	0	0	0	0	796	0	0	131	458	0	0	1717	0	0	260	0
RUFY4	176.894737	0	672	0	0	95	0	0	0	286	0	0	0	1676	0	0	632	0	0	0	0
PARP1	176.894737	0	214	0	0	0	0	0	0	304	0	0	84	250	0	0	2326	0	0	183	0
TRA2B	176.842105	0	329	0	0	0	0	0	0	517	0	86	131	229	0	0	1851	0	0	217	0
NUCB2	176.842105	0	0	0	0	0	0	0	0	410	0	0	144	1150	0	0	1528	0	0	128	0
LY9	176.842105	0	626	0	0	0	0	0	0	1072	0	0	0	612	0	0	1050	0	0	0	0
PEX3	176.684211	0	304	229	151	0	0	0	0	105	0	210	345	974	0	0	913	0	0	126	0
SURF2	176.631579	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	2743	0	0	394	0
SURF1	176.631579	0	0	0	0	0	0	0	0	0	0	0	0	219	0	0	2743	0	0	394	0
NHLRC4	176.631579	0	196	0	0	0	0	0	0	713	0	0	109	398	0	0	1812	0	0	128	0
VAV1	176.473684	0	254	0	0	0	0	0	0	418	0	0	0	652	0	0	1668	0	141	220	0
TPRG1L	176.473684	0	0	0	0	0	0	0	0	0	0	1103	1392	0	0	0	858	0	0	0	0
RUNX1T1	176.473684	0	0	0	0	0	0	0	0	0	0	1536	1714	0	0	0	0	0	0	103	0
HTRA2	176.421053	0	0	0	0	0	0	0	0	0	0	1000	1332	610	0	0	410	0	0	0	0
TRIP4	176.263158	0	765	0	222	102	0	0	0	420	0	224	483	184	0	0	775	0	0	174	0
SIGLEC6	176.263158	0	0	0	0	0	0	0	0	255	0	0	0	2237	0	0	857	0	0	0	0
MBOAT7	176.263158	0	0	0	0	0	0	0	0	0	0	0	0	1183	0	0	2166	0	0	0	0
OIP5	176.210526	0	210	0	0	114	0	0	0	567	0	0	0	163	0	0	1966	0	0	328	0
NUSAP1	176.210526	0	210	0	0	114	0	0	0	567	0	0	0	163	0	0	1966	0	0	328	0
SIGLEC15	176.157895	0	0	0	0	0	0	0	0	432	0	0	0	116	0	0	2490	0	0	309	0
RHCE	176.157895	0	0	0	0	0	0	0	0	0	0	1541	1806	0	0	0	0	0	0	0	0
RABGGTA	176.157895	0	469	0	119	97	0	0	0	95	0	143	155	520	0	0	1570	0	0	179	0
STEAP3	176.000000	0	129	0	0	0	0	0	0	0	0	980	1265	0	0	0	772	0	0	198	0
MYBPH	175.894737	0	0	0	0	0	0	0	0	1244	0	0	0	78	0	0	1758	0	0	262	0
ADCY5	175.894737	0	0	0	0	0	0	0	0	691	0	0	0	0	0	0	2651	0	0	0	0
BUD13	175.684211	0	595	0	82	0	0	0	0	228	0	0	0	439	0	0	1628	0	0	366	0
TOPBP1	175.631579	0	354	0	0	0	0	0	0	445	0	0	0	693	0	0	1687	0	0	158	0
JOSD1	175.578947	0	496	0	0	0	0	0	0	159	0	0	0	301	0	0	1884	0	0	496	0
PIK3C2B	175.421053	0	83	0	0	0	0	0	0	251	0	174	164	728	0	0	1394	0	405	134	0
JADE1	175.421053	0	369	0	0	0	0	0	0	205	0	0	272	782	0	0	1346	0	105	254	0
NUDT15	175.368421	0	454	0	77	0	0	0	0	215	0	138	178	634	0	0	1636	0	0	0	0
MSL2	175.368421	0	0	0	93	0	0	0	0	305	0	0	100	1473	0	0	1061	0	0	300	0
ARHGAP24	175.368421	0	174	0	0	0	0	0	0	0	0	0	0	894	0	0	1446	124	694	0	0
OGDH	175.315789	0	1132	0	0	0	0	0	0	169	0	113	0	742	0	0	879	0	0	296	0
KEL	175.315789	0	0	0	0	0	0	0	0	0	0	1606	1725	0	0	0	0	0	0	0	0
CTR9	175.315789	0	205	0	84	0	0	0	0	248	0	101	196	262	0	0	2086	0	0	149	0
SIRT5	175.263158	0	247	0	0	0	0	0	0	0	0	134	120	1131	0	0	1466	0	0	232	0
SP7	175.210526	0	423	0	0	0	0	0	0	166	0	0	0	900	0	0	1614	0	0	226	0
SGO1	174.947368	0	392	0	0	0	0	0	0	361	0	85	184	913	0	0	1295	0	0	94	0
PIGV	174.736842	0	0	0	0	0	0	0	0	0	0	213	217	1563	0	0	748	0	456	123	0
MMAA	174.736842	0	438	79	132	0	0	0	0	182	0	212	181	147	0	0	1621	0	0	328	0
YWHAZ	174.526316	0	447	0	0	0	0	0	0	357	0	110	111	753	0	0	1230	0	113	195	0
NAA60	174.473684	0	779	0	0	0	0	0	0	203	0	0	0	514	0	0	1581	0	0	238	0
VSIG10	174.421053	0	0	0	0	0	0	0	0	499	0	0	0	0	0	0	2684	0	0	131	0
CUL5	174.421053	0	154	120	68	0	0	0	0	100	0	193	153	1091	0	0	1275	0	0	160	0
PEDS1-UBE2V1	174.315789	0	1111	0	93	0	0	0	0	0	0	0	0	242	0	0	1702	0	0	164	0
PEDS1	174.315789	0	1111	0	93	0	0	0	0	0	0	0	0	242	0	0	1702	0	0	164	0
SSH2	174.263158	0	205	0	0	0	0	0	0	365	0	0	0	658	0	0	1670	0	0	413	0
TM6SF1	174.157895	0	0	0	0	0	0	0	0	295	0	99	0	2072	0	0	664	0	0	179	0
LRRC8C	174.157895	0	135	0	0	0	0	0	0	361	0	0	0	1032	0	0	1578	0	0	203	0
PPIL2	174.105263	0	289	0	0	0	0	0	0	337	0	178	269	628	0	0	1294	0	0	313	0
MOSPD3	174.000000	0	124	0	0	0	0	0	0	0	0	104	0	2240	0	0	838	0	0	0	0
SFR1	173.947368	0	229	0	0	0	0	0	0	184	0	0	151	1086	0	0	1357	0	0	298	0
COPS7A	173.894737	0	339	0	0	0	0	0	0	363	0	144	219	593	0	0	1522	0	0	124	0
APOL2	173.842105	0	265	0	0	0	0	0	0	542	0	0	0	1820	0	0	479	0	0	197	0
NFE2L1	173.736842	0	190	0	0	0	0	0	0	374	0	0	0	2162	0	0	575	0	0	0	0
FLVCR2	173.473684	0	0	0	0	0	0	0	0	0	0	786	694	1816	0	0	0	0	0	0	0
SLC22A18	173.421053	0	141	0	0	0	0	0	0	139	0	116	0	2011	0	0	654	0	0	234	0
EZR	173.421053	0	137	0	0	0	0	0	0	0	0	908	1047	362	0	0	734	0	0	107	0
P2RX7	173.368421	0	0	0	0	0	0	0	0	402	0	0	0	1242	0	0	1475	0	0	175	0
TRMT44	173.052632	0	1078	0	0	0	0	0	0	235	0	0	0	202	0	0	1530	0	0	243	0
PRDM10	172.947368	0	435	0	0	0	0	0	0	0	0	0	102	1584	0	0	837	0	0	328	0
ZNF84	172.842105	0	117	0	0	0	0	0	0	411	0	154	226	346	0	0	1900	0	0	130	0
FAM72A	172.263158	0	0	0	0	0	0	0	0	228	0	544	755	274	0	0	1332	0	0	140	0
KAT8	172.157895	0	217	0	0	149	0	0	0	0	0	0	0	108	0	0	2422	0	0	375	0
EXOC5	172.157895	0	164	0	0	0	0	0	0	287	0	0	0	223	0	0	2280	0	0	317	0
AP5M1	172.157895	0	164	0	0	0	0	0	0	287	0	0	0	223	0	0	2280	0	0	317	0
HK1	172.105263	0	93	0	0	0	0	0	0	0	0	1170	1230	0	0	0	777	0	0	0	0
MEGF6	172.052632	0	0	0	0	0	0	0	0	667	0	0	0	400	0	0	1670	0	0	532	0
JAML	172.052632	0	0	0	0	0	0	0	0	1328	0	0	0	0	0	0	1690	0	0	251	0
TRIB1	171.947368	0	150	0	165	0	0	0	0	0	0	147	404	804	0	0	1236	0	158	203	0
RFFL	171.947368	0	253	0	0	89	0	0	0	218	0	0	121	1995	0	0	471	0	120	0	0
PSMD3	171.947368	0	227	105	202	0	0	0	0	139	0	116	177	846	0	0	1223	0	0	232	0
CA1	171.789474	0	0	0	0	0	0	0	0	0	0	1523	1741	0	0	0	0	0	0	0	0
ZNF510	171.736842	0	232	0	0	0	0	0	0	151	0	773	1365	376	0	0	366	0	0	0	0
SIRT1	171.736842	0	244	0	0	0	0	0	0	120	0	225	151	1400	0	0	983	0	0	140	0
PPIB	171.684211	0	282	0	0	0	0	0	0	0	0	162	128	1611	0	0	977	0	0	102	0
CD33	171.578947	0	0	0	0	0	0	0	0	0	0	1141	1102	1017	0	0	0	0	0	0	0
PRKCB	171.421053	0	1003	0	0	0	0	0	0	0	0	0	0	1030	0	0	1224	0	0	0	0
CD164	171.368421	0	175	0	0	0	0	0	0	160	0	0	153	1238	0	0	1281	0	0	249	0
HJURP	171.263158	0	244	0	0	0	0	0	0	172	0	758	783	205	0	0	1092	0	0	0	0
ANKLE2	171.263158	0	133	0	0	0	0	0	0	434	0	0	93	1229	0	0	1196	0	0	169	0
SLF2	171.105263	0	669	0	0	0	0	0	0	0	0	186	146	724	0	0	1178	0	0	348	0
H4C12	171.000000	0	1160	210	358	0	0	0	0	164	0	179	267	322	0	0	589	0	0	0	0
ANAPC11	170.947368	0	0	0	0	0	0	0	0	196	0	0	104	1244	0	0	1704	0	0	0	0
ALYREF	170.947368	0	0	0	0	0	0	0	0	196	0	0	104	1244	0	0	1704	0	0	0	0
ZBTB4	170.894737	0	1013	0	97	0	0	0	0	586	0	0	148	169	0	0	1234	0	0	0	0
POLR2A	170.894737	0	1013	0	97	0	0	0	0	586	0	0	148	169	0	0	1234	0	0	0	0
SPTBN5	170.842105	0	0	0	0	0	0	0	0	675	0	0	0	197	0	0	2024	0	0	350	0
NEUROG3	170.789474	0	150	0	0	0	0	0	0	388	0	0	0	402	0	0	2305	0	0	0	0
LTN1	170.789474	0	214	0	0	0	0	0	0	295	0	98	85	1247	0	0	1306	0	0	0	0
SLC17A5	170.736842	0	173	0	0	0	0	0	0	0	0	0	63	1472	0	0	1317	0	0	219	0
DPEP2	170.631579	0	124	0	0	0	0	0	0	307	0	0	145	1468	0	0	977	0	0	221	0
NCOR2	170.526316	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	1938	0	489	634	0
HLCS	170.526316	0	159	0	0	0	0	0	0	0	0	194	296	238	0	0	2018	0	0	335	0
MRTFA	170.421053	0	0	0	0	77	0	0	0	112	0	0	0	1714	0	0	794	0	350	191	0
CLCC1	170.210526	0	364	0	0	0	0	0	0	163	0	155	115	271	0	0	1903	0	0	263	0
GPAM	170.105263	0	1291	0	0	0	0	0	0	208	0	134	101	205	0	0	1061	0	0	232	0
MICAL1	169.947368	0	180	0	0	0	0	0	0	529	0	0	0	409	0	0	1844	0	0	267	0
USP32	169.894737	0	202	0	128	0	0	0	0	118	0	90	230	459	0	0	1692	0	0	309	0
NTNG2	169.894737	0	0	0	0	0	0	0	0	279	0	0	0	1504	0	0	1445	0	0	0	0
ANKRD26	169.894737	0	0	0	0	0	0	0	0	266	0	0	0	943	0	0	1902	0	0	117	0
TCAIM	169.421053	0	494	110	141	0	0	0	0	140	0	142	148	173	0	0	1601	0	0	270	0
TPMT	169.315789	0	124	0	0	0	0	0	0	464	0	0	109	1634	0	0	660	0	0	226	0
TOB1	169.315789	0	798	0	0	0	0	0	0	162	0	0	0	1542	0	0	715	0	0	0	0
KDM1B	169.315789	0	124	0	0	0	0	0	0	464	0	0	109	1634	0	0	660	0	0	226	0
SLC25A25	169.263158	0	153	0	0	0	0	0	0	0	0	0	0	1101	0	0	1659	0	0	303	0
LUC7L2	169.210526	0	158	0	0	0	0	0	0	135	0	168	207	849	0	0	1374	0	0	324	0
VDAC3	169.157895	0	337	0	0	0	0	0	0	152	0	112	135	685	0	0	1547	0	0	246	0
VPS72	169.052632	0	483	0	98	0	0	0	0	230	0	144	112	520	133	0	1368	0	0	124	0
ALMS1	169.052632	0	322	0	0	0	0	0	0	209	0	0	0	874	0	0	1478	0	0	329	0
RCBTB2	169.000000	0	148	0	0	0	0	0	0	136	0	0	0	258	0	0	2489	0	0	180	0
TMEM177	168.947368	0	0	0	0	0	0	0	0	835	0	0	0	0	0	0	2375	0	0	0	0
TTC39A	168.842105	0	0	0	0	0	0	0	0	0	0	801	1394	529	0	0	379	0	0	105	0
SLC35E2B	168.789474	0	363	0	0	0	0	0	0	230	0	84	126	880	0	0	1238	0	0	286	0
C1RL	168.789474	0	685	0	0	0	0	0	0	0	0	141	152	1011	0	0	734	0	155	329	0
FOXN2	168.736842	0	574	0	0	0	0	0	0	218	0	0	179	329	0	0	1588	0	0	318	0
TJP2	168.578947	0	314	0	0	0	0	0	0	646	0	0	0	500	0	251	1258	0	136	98	0
SNRK	168.578947	0	195	0	0	0	0	0	0	0	0	0	0	522	0	0	2205	0	0	281	0
LRRC34	168.526316	0	757	0	0	0	0	0	0	212	0	0	0	1560	0	0	673	0	0	0	0
ZNF688	168.421053	0	113	0	0	0	0	0	0	0	0	898	1143	647	0	0	399	0	0	0	0
MTMR4	168.421053	0	192	0	0	0	0	0	0	653	0	0	0	679	0	0	1676	0	0	0	0
PLEKHG1	168.315789	0	142	0	0	0	0	0	0	1114	0	0	0	0	0	0	1942	0	0	0	0
APOBR	168.315789	0	96	0	0	0	0	0	0	443	0	0	0	1508	0	0	846	0	184	121	0
RER1	168.210526	0	238	0	0	0	0	0	0	515	0	85	116	0	0	0	2101	0	141	0	0
MORN1	168.210526	0	238	0	0	0	0	0	0	515	0	85	116	0	0	0	2101	0	141	0	0
BORCS5	168.210526	0	278	0	0	0	0	0	0	476	0	0	0	329	0	0	1842	0	0	271	0
PRPF40B	168.000000	0	425	0	0	0	0	0	0	385	0	0	0	934	0	0	938	0	273	237	0
PITRM1	167.631579	0	861	0	0	0	0	0	0	360	0	81	0	315	0	0	1425	0	0	143	0
YEATS2	167.473684	0	357	0	0	0	0	0	0	0	0	0	0	224	0	0	2225	0	0	376	0
GAN	167.473684	0	175	0	0	0	0	0	0	170	0	152	131	1535	0	0	878	0	0	141	0
POLR2H	167.315789	0	134	0	0	0	0	0	0	226	0	0	160	1351	0	0	1207	0	0	101	0
PGD	167.315789	0	488	0	0	0	0	0	0	213	0	87	214	306	0	0	1357	0	0	514	0
CSNK1A1	167.315789	0	474	0	0	0	0	0	0	119	0	0	97	941	0	0	1424	0	0	124	0
POLE3	167.263158	0	0	0	0	0	0	0	0	163	0	94	205	1161	0	0	1555	0	0	0	0
NDUFS3	167.263158	0	226	172	127	0	0	0	0	207	0	160	194	109	0	0	1863	0	0	120	0
KBTBD4	167.263158	0	226	172	127	0	0	0	0	207	0	160	194	109	0	0	1863	0	0	120	0
C9orf43	167.263158	0	0	0	0	0	0	0	0	163	0	94	205	1161	0	0	1555	0	0	0	0
PTGS1	167.210526	0	0	0	0	0	0	0	0	0	0	879	1206	651	0	0	272	0	0	169	0
PRMT3	167.157895	0	89	0	0	0	0	0	0	332	0	83	159	1252	0	0	1087	0	0	174	0
IPO9	167.105263	0	131	0	0	0	0	0	0	103	0	0	0	1717	0	0	1079	0	0	145	0
RAPGEF6	167.052632	0	103	0	0	0	0	0	0	546	0	0	0	1277	0	0	1248	0	0	0	0
ATP23	166.947368	0	204	0	0	0	0	0	0	203	0	0	0	743	0	0	1761	0	0	261	0
TTL	166.842105	0	0	0	0	0	0	0	0	0	0	315	557	1903	0	0	293	0	0	102	0
KLLN	166.789474	0	271	0	0	0	0	0	0	0	0	0	0	1728	0	0	1029	0	0	141	0
SMIM19	166.684211	0	180	0	0	0	0	0	0	102	0	0	0	461	0	0	2261	0	0	163	0
SLC20A2	166.684211	0	180	0	0	0	0	0	0	102	0	0	0	461	0	0	2261	0	0	163	0
ASIC4	166.631579	0	0	0	0	0	0	0	0	0	0	1474	1533	159	0	0	0	0	0	0	0
LRFN2	166.526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2327	0	0	837	0
TMCC3	166.473684	0	135	0	0	0	0	0	0	0	0	852	1153	0	0	0	872	0	0	151	0
DMAP1	166.421053	0	372	0	205	0	0	0	0	160	0	170	252	1054	0	0	728	0	106	115	0
TMEM30A	166.210526	0	189	0	0	0	0	0	0	196	0	96	138	1319	0	0	1121	0	0	99	0
GMCL1	166.210526	0	178	0	92	0	0	0	0	143	0	0	194	1396	0	0	983	0	0	172	0
ENTPD6	166.210526	0	303	0	0	0	0	0	0	563	0	0	0	0	0	0	1935	0	118	239	0
USP14	166.157895	0	155	0	155	0	0	0	0	188	0	238	278	1078	0	0	930	0	0	135	0
MS4A6A	166.105263	0	0	0	0	0	0	0	0	247	0	1272	1637	0	0	0	0	0	0	0	0
CTTN	165.684211	0	169	0	0	0	0	0	0	183	0	0	0	389	0	0	1711	0	0	696	0
PCNA	165.157895	0	241	342	327	0	0	0	0	386	0	86	0	868	0	0	688	0	0	200	0
PGRMC2	165.052632	0	317	154	135	0	0	0	0	0	0	324	377	1137	0	0	538	0	0	154	0
CPLX2	165.052632	0	0	566	854	0	0	0	0	0	0	482	158	0	0	0	1076	0	0	0	0
CEP68	165.052632	0	0	0	0	0	0	0	0	0	0	723	865	252	0	0	1103	0	0	193	0
LY6H	164.947368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2309	217	608	0	0
AKAP10	164.947368	0	258	0	102	0	0	0	0	0	0	0	98	398	0	0	1877	0	0	401	0
RANGAP1	164.894737	0	323	0	0	0	0	0	0	182	0	0	0	1337	0	0	973	0	0	318	0
SMTN	164.789474	0	110	0	0	0	0	0	0	157	0	0	0	272	0	0	2592	0	0	0	0
GALNT3	164.631579	0	99	0	0	0	0	0	0	447	0	0	0	1615	0	0	756	0	0	211	0
RIOK1	164.526316	0	343	0	0	0	0	0	0	113	0	88	134	1005	0	0	1180	0	0	263	0
MTF2	164.526316	0	352	150	228	81	0	0	0	171	0	341	230	498	0	0	802	0	158	115	0
CAGE1	164.526316	0	343	0	0	0	0	0	0	113	0	88	134	1005	0	0	1180	0	0	263	0
TBCC	164.368421	0	156	0	0	0	0	0	0	214	0	0	0	1607	0	0	757	0	0	389	0
ING5	164.157895	0	423	0	0	0	0	0	0	154	0	469	576	285	0	0	1034	0	0	178	0
NINJ2	164.052632	0	107	0	0	0	0	0	0	198	0	0	0	1378	0	0	1240	0	0	194	0
SETD1A	163.894737	0	314	0	0	183	0	0	0	73	0	0	0	0	0	0	2220	0	0	324	0
SDC1	163.894737	0	132	0	0	0	0	0	0	165	0	0	0	486	0	0	2331	0	0	0	0
LRRN2	163.842105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2906	0	0	207	0
RTKN	163.789474	0	182	0	0	0	0	0	0	529	0	0	0	426	0	0	1834	0	0	141	0
PAFAH2	163.789474	0	176	0	80	0	0	0	0	119	0	0	280	1275	0	0	1182	0	0	0	0
GSTA4	163.210526	0	102	0	0	0	0	0	0	252	0	546	716	456	0	0	890	0	0	139	0
POLR3E	163.157895	0	137	97	104	0	0	0	0	116	0	193	428	1158	0	0	739	0	0	128	0
VRK2	163.052632	0	688	0	88	0	0	0	0	210	0	117	117	381	0	0	1264	0	0	233	0
HSPA4L	163.000000	0	691	0	0	0	0	0	0	0	0	0	0	1859	0	0	296	0	0	251	0
AGO1	163.000000	0	82	0	0	0	0	0	0	0	0	1118	1457	0	0	0	440	0	0	0	0
PUM2	162.947368	0	124	0	0	0	0	0	0	0	0	0	209	1662	0	0	907	0	0	194	0
PSMA6	162.947368	0	0	0	96	0	0	0	0	819	0	0	0	294	0	0	1539	0	348	0	0
PGM2	162.684211	0	163	0	0	0	0	0	0	334	0	0	0	872	0	0	1552	0	0	170	0
ITPR2	162.578947	0	109	0	0	0	0	0	0	0	0	197	349	339	0	0	1731	0	0	364	0
ZNF687	162.526316	0	1098	0	0	0	0	0	0	192	0	0	0	972	0	0	724	0	0	102	0
DSE	162.526316	0	186	0	0	0	0	0	0	142	0	0	134	1209	0	0	1169	0	0	248	0
RELT	162.473684	0	443	0	0	0	0	0	0	161	0	79	154	1410	0	0	611	0	0	229	0
ABI1	162.421053	0	128	0	0	0	0	0	0	249	0	0	0	1857	0	0	687	0	0	165	0
ANGPTL2	162.368421	0	0	0	0	0	0	0	0	380	0	0	0	236	0	0	2041	0	0	428	0
TFAP4	162.263158	0	470	0	0	0	0	0	0	311	0	0	0	761	0	0	1213	0	0	328	0
ECT2	162.263158	0	293	0	0	0	0	0	0	0	0	0	93	1617	0	0	615	0	338	127	0
EXOSC4	162.210526	0	104	0	0	0	0	0	0	171	0	0	0	713	0	0	1716	0	0	378	0
SMIM14	162.105263	0	253	0	0	0	0	0	0	579	0	0	316	444	0	0	1300	0	0	188	0
COQ10A	162.105263	0	205	0	0	0	0	0	0	117	0	105	118	981	0	0	1281	0	0	273	0
EIF4ENIF1	161.947368	0	151	0	0	0	0	0	0	404	0	0	0	1794	0	0	728	0	0	0	0
TAF13	161.894737	0	509	0	0	0	0	0	0	422	0	0	97	451	0	0	1597	0	0	0	0
CS	161.842105	0	109	0	0	0	0	0	0	0	0	948	1166	0	0	0	737	0	0	115	0
ATF1	161.736842	0	0	0	0	0	0	0	0	880	0	0	0	830	0	0	1228	0	0	135	0
ATAD2	161.736842	0	177	0	0	99	0	0	0	150	0	95	92	335	0	0	1840	0	0	285	0
PTEN	161.684211	0	174	0	0	0	0	0	0	0	0	0	0	1728	0	0	1029	0	0	141	0
PSEN1	161.631579	0	166	0	0	0	0	0	0	234	0	0	0	1159	0	0	1349	0	0	163	0
ZNRF2	161.578947	0	146	0	0	0	0	0	0	183	0	86	192	421	0	0	1850	0	0	192	0
PARP16	161.578947	0	372	0	0	89	0	0	0	169	0	0	98	113	0	0	1900	0	0	329	0
SIAH2	161.473684	0	473	0	0	0	0	0	0	0	0	0	0	332	0	0	2010	0	0	253	0
FNTA	161.421053	0	298	0	0	0	0	0	0	132	0	152	153	661	0	0	1485	0	0	186	0
SF3A3	161.315789	0	243	101	115	127	0	0	0	141	0	262	464	1247	0	0	365	0	0	0	0
TBL3	161.263158	0	180	0	91	0	0	0	0	413	0	179	239	809	0	0	1153	0	0	0	0
IPP	161.157895	0	190	0	0	0	0	0	0	170	0	67	131	1119	0	0	1385	0	0	0	0
B3GALNT2	161.105263	0	263	0	0	0	0	0	0	380	0	85	155	229	0	0	1703	0	0	246	0
HNRNPA2B1	161.052632	0	661	0	0	0	0	0	0	133	0	0	0	465	0	0	1639	0	0	162	0
FANCE	161.052632	0	198	0	0	0	0	0	0	0	0	0	0	172	0	0	2475	0	0	215	0
CBX3	161.052632	0	661	0	0	0	0	0	0	133	0	0	0	465	0	0	1639	0	0	162	0
ABCC5	161.052632	0	0	0	0	0	0	0	0	0	0	1105	1282	279	0	0	394	0	0	0	0
TJAP1	160.894737	0	494	0	0	0	0	0	0	443	0	0	0	0	0	0	1955	0	0	165	0
CRYAB	160.578947	0	0	0	0	0	0	0	0	0	0	1418	1633	0	0	0	0	0	0	0	0
BCAS4	160.473684	0	1044	0	0	0	0	0	0	0	0	0	0	1008	0	0	846	0	0	151	0
ZCCHC24	160.421053	0	0	0	0	0	0	0	0	466	0	0	0	1554	0	0	928	0	0	100	0
PHF19	160.421053	0	94	0	0	0	0	0	0	0	0	184	229	871	0	0	1408	0	98	164	0
EXD2	160.315789	0	629	0	0	128	0	0	0	84	0	132	126	1506	0	0	375	0	0	66	0
PLEKHA6	160.263158	0	0	0	0	0	0	0	0	203	0	0	0	0	0	0	1852	170	704	116	0
TLE2	160.210526	0	0	0	0	0	0	0	0	0	0	1254	1592	0	0	0	198	0	0	0	0
CARD9	160.000000	0	0	0	0	0	0	0	0	303	0	0	146	1267	0	0	783	0	0	541	0
RNASEH2B	159.789474	0	137	0	133	0	0	0	0	950	0	0	0	909	0	0	907	0	0	0	0
ANGEL2	159.789474	0	130	0	0	0	0	0	0	379	0	0	176	115	0	0	1938	0	0	298	0
YARS1	159.631579	0	448	0	149	0	0	0	0	124	0	263	331	503	0	0	1088	0	0	127	0
SLC4A8	159.631579	0	227	0	0	86	0	0	0	260	0	0	0	121	95	0	1957	0	0	287	0
GALNT6	159.631579	0	227	0	0	86	0	0	0	260	0	0	0	121	95	0	1957	0	0	287	0
PPARA	159.578947	0	0	0	0	0	0	0	0	950	0	0	0	0	0	0	1919	0	0	163	0
SPATC1	159.473684	0	84	0	0	0	0	0	0	108	0	0	0	1520	0	0	1080	0	0	238	0
PPP1R11	159.473684	0	132	0	0	0	0	0	0	320	0	126	179	1331	0	0	841	0	0	101	0
PIAS4	159.421053	0	258	0	0	191	0	0	0	255	0	0	0	0	0	0	1987	0	0	338	0
KCNMB3	159.421053	0	0	0	0	0	0	0	0	440	0	638	1194	393	0	0	364	0	0	0	0
IL4I1	159.421053	0	366	0	151	0	0	0	0	612	0	147	107	290	0	0	1184	0	0	172	0
FBH1	159.368421	0	105	0	0	0	0	0	0	305	0	825	1023	0	0	0	770	0	0	0	0
AMZ2	159.315789	0	292	0	86	0	0	0	0	0	0	0	148	977	0	0	1353	0	0	171	0
OBSL1	159.157895	0	0	0	0	0	0	0	0	0	0	1017	1309	0	0	0	698	0	0	0	0
INHA	159.157895	0	0	0	0	0	0	0	0	0	0	1017	1309	0	0	0	698	0	0	0	0
GPBP1	159.157895	0	296	0	0	0	0	0	0	131	0	0	100	537	0	0	1592	0	0	368	0
CNDP2	159.157895	0	222	0	0	0	0	0	0	508	0	0	100	357	0	0	1837	0	0	0	0
CEP85L	159.157895	0	126	0	0	0	0	0	0	0	0	446	411	793	0	0	979	0	122	147	0
TAF3	159.105263	0	426	0	124	118	0	0	0	246	0	69	176	767	0	0	899	0	198	0	0
GPN3	159.105263	0	367	0	0	0	0	0	0	163	0	0	82	1188	0	0	1036	0	0	187	0
FAM216A	159.105263	0	367	0	0	0	0	0	0	163	0	0	82	1188	0	0	1036	0	0	187	0
HEMK1	158.894737	0	185	0	0	84	0	0	0	174	0	89	84	269	0	0	1913	0	0	221	0
RPS19	158.842105	0	399	0	0	0	0	0	0	150	0	97	173	648	0	0	1394	0	0	157	0
ZFP69B	158.789474	0	141	0	0	0	0	0	0	0	0	274	246	981	0	0	1173	0	0	202	0
