Target_genes	NR5A2|Average	SRX10478059|A549	SRX10478060|A549	SRX702035|hESC_derived_mesendodermal_cells	SRX702034|hESC_HUES64	SRX359877|LoVo	SRX278609|MCF-7	STRING
AGMAT	116.000000	395	301	0	0	0	0	0
C17orf97	115.833333	353	342	0	0	0	0	0
BCL7C	115.500000	431	262	0	0	0	0	0
KAT8	115.000000	433	257	0	0	0	0	0
MARCHF5	114.833333	388	301	0	0	0	0	0
CPEB3	114.833333	388	301	0	0	0	0	0
GLIS2	114.333333	323	363	0	0	0	0	0
RAMAC	114.166667	300	220	165	0	0	0	0
MAPRE1	114.166667	301	384	0	0	0	0	0
RBM25	114.000000	319	365	0	0	0	0	0
UQCRC1	113.833333	280	403	0	0	0	0	0
RHOQ	113.500000	0	0	360	321	0	0	0
CYP51A1	113.500000	339	342	0	0	0	0	0
ATP6V1E2	113.500000	0	0	360	321	0	0	0
HNF4G	113.333333	324	356	0	0	0	0	0
GPR137	113.166667	392	287	0	0	0	0	0
MFSD6	113.000000	143	398	0	0	0	137	0
TRAP1	112.833333	431	246	0	0	0	0	0
PPP5D1	112.833333	377	300	0	0	0	0	0
CALM3	112.833333	377	300	0	0	0	0	0
SERBP1	112.500000	355	320	0	0	0	0	0
SERPINE1	112.166667	355	318	0	0	0	0	0
SHPRH	112.000000	372	300	0	0	0	0	0
DELE1	112.000000	428	244	0	0	0	0	0
RALGDS	111.166667	487	180	0	0	0	0	0
PTPN14	111.166667	354	313	0	0	0	0	0
SLC39A1	110.833333	373	292	0	0	0	0	0
CREB3L4	110.833333	373	292	0	0	0	0	0
BAMBI	110.666667	387	277	0	0	0	0	0
ARNT2	110.666667	373	291	0	0	0	0	0
TRIM67	110.500000	558	105	0	0	0	0	0
NADK2	110.500000	202	141	163	157	0	0	0
STK19	110.000000	354	306	0	0	0	0	0
DXO	110.000000	354	306	0	0	0	0	0
GATAD2A	109.666667	409	249	0	0	0	0	0
ECI2	109.666667	370	288	0	0	0	0	0
RPL34	109.500000	274	383	0	0	0	0	0
PTBP1	109.500000	348	309	0	0	0	0	0
H2AC19	109.500000	387	270	0	0	0	0	0
H2AC18	109.500000	387	270	0	0	0	0	0
NCBP3	109.333333	436	220	0	0	0	0	0
MPND	109.000000	345	309	0	0	0	0	0
CDIP1	108.833333	276	188	189	0	0	0	0
ZNF460	108.666667	400	252	0	0	0	0	0
RNPS1	108.666667	374	278	0	0	0	0	0
FAM81A	108.666667	465	187	0	0	0	0	0
PRKAR1A	108.500000	367	284	0	0	0	0	0
APOC1	108.333333	337	313	0	0	0	0	0
LRRFIP2	108.166667	366	283	0	0	0	0	0
PDXK	108.000000	361	287	0	0	0	0	0
TMTC3	107.833333	390	257	0	0	0	0	0
KDM5C	107.833333	341	306	0	0	0	0	0
FUCA1	107.833333	369	278	0	0	0	0	0
CEP290	107.833333	390	257	0	0	0	0	0
MRPS2	107.666667	345	301	0	0	0	0	0
C9orf116	107.666667	345	301	0	0	0	0	0
ZNF397	107.500000	403	242	0	0	0	0	0
UBE2B	107.166667	396	247	0	0	0	0	0
CDKL3	107.166667	396	247	0	0	0	0	0
SPATA9	107.000000	300	342	0	0	0	0	0
SMC3	107.000000	347	295	0	0	0	0	0
RHOBTB3	107.000000	300	342	0	0	0	0	0
ARHGAP19	107.000000	342	300	0	0	0	0	0
AKAP1	106.833333	386	255	0	0	0	0	0
RNPC3	106.666667	403	237	0	0	0	0	0
TOB1	105.833333	332	303	0	0	0	0	0
NDUFB5	105.833333	315	320	0	0	0	0	0
MRPL47	105.833333	315	320	0	0	0	0	0
MAPK7	105.833333	323	312	0	0	0	0	0
B9D1	105.833333	323	312	0	0	0	0	0
RPL27	105.666667	364	270	0	0	0	0	0
HMGN3	105.666667	362	272	0	0	0	0	0
PEF1	105.500000	326	307	0	0	0	0	0
EOLA1	105.500000	260	373	0	0	0	0	0
TIMM10	105.333333	349	283	0	0	0	0	0
FAR1	105.333333	398	234	0	0	0	0	0
NIPSNAP2	105.166667	499	132	0	0	0	0	0
HEATR5A	105.000000	290	340	0	0	0	0	0
GABARAP	105.000000	284	346	0	0	0	0	0
TMEM125	104.833333	0	0	391	238	0	0	0
TFAM	104.833333	308	321	0	0	0	0	0
RGPD2	104.666667	0	0	0	0	217	411	0
RGPD1	104.666667	0	0	0	0	217	411	0
UBE2Q1	104.333333	291	335	0	0	0	0	0
RNF113A	104.166667	375	250	0	0	0	0	0
RALBP1	104.166667	264	361	0	0	0	0	0
NDUFA1	104.166667	375	250	0	0	0	0	0
ZBTB8OS	104.000000	308	316	0	0	0	0	0
RBBP4	104.000000	308	316	0	0	0	0	0
ZNF473	103.833333	279	203	141	0	0	0	0
VRK3	103.833333	279	203	141	0	0	0	0
GSTO1	103.500000	350	271	0	0	0	0	0
ADCK1	103.500000	361	260	0	0	0	0	0
MDK	103.333333	339	281	0	0	0	0	0
CHD3	103.333333	226	233	0	0	0	161	0
LDHA	103.166667	226	292	0	0	0	101	0
NFILZ	102.833333	395	222	0	0	0	0	0
DDX50	102.833333	404	213	0	0	0	0	0
UBALD2	102.666667	406	210	0	0	0	0	0
SNF8	102.666667	315	301	0	0	0	0	0
CAPN2	102.666667	316	300	0	0	0	0	0
TMEM230	102.500000	359	256	0	0	0	0	0
TIMM10B	102.500000	270	345	0	0	0	0	0
ARFIP2	102.500000	270	345	0	0	0	0	0
ACBD5	102.500000	364	251	0	0	0	0	0
NAT10	102.333333	377	237	0	0	0	0	0
ATG4D	102.333333	298	316	0	0	0	0	0
SLC25A38	102.000000	286	326	0	0	0	0	0
NQO1	102.000000	296	316	0	0	0	0	0
MRM1	102.000000	293	319	0	0	0	0	0
HTATIP2	101.833333	287	324	0	0	0	0	0
DIP2A	101.500000	278	331	0	0	0	0	0
NETO2	101.166667	375	232	0	0	0	0	0
LMNA	101.166667	235	290	0	82	0	0	0
NUP42	101.000000	427	179	0	0	0	0	0
NFKBIA	101.000000	391	215	0	0	0	0	0
COQ8A	101.000000	0	239	171	196	0	0	0
ABCA3	101.000000	272	240	94	0	0	0	0
ANKEF1	100.833333	402	203	0	0	0	0	0
CXorf58	100.666667	306	298	0	0	0	0	0
CEP295	100.666667	0	0	305	299	0	0	0
C19orf12	100.666667	367	237	0	0	0	0	0
GNAI2	100.500000	289	314	0	0	0	0	0
H2BC15	100.000000	349	251	0	0	0	0	0
H2AC15	100.000000	349	251	0	0	0	0	0
POLR2H	99.833333	326	273	0	0	0	0	0
TMEM19	99.500000	346	251	0	0	0	0	0
OSGIN1	99.500000	368	229	0	0	0	0	0
UHRF1BP1L	99.333333	283	313	0	0	0	0	0
CHCHD3	99.333333	340	256	0	0	0	0	0
DCAKD	99.000000	315	279	0	0	0	0	0
CDCA7L	98.833333	349	244	0	0	0	0	0
RSRC1	98.500000	335	256	0	0	0	0	0
RCCD1	98.500000	310	281	0	0	0	0	0
C12orf57	98.333333	390	200	0	0	0	0	0
SMG5	98.166667	321	268	0	0	0	0	0
UGGT1	98.000000	232	356	0	0	0	0	0
MRPL12	98.000000	329	259	0	0	0	0	0
HSD17B11	98.000000	374	214	0	0	0	0	0
RPRD2	97.833333	351	236	0	0	0	0	0
HNRNPA0	97.833333	235	352	0	0	0	0	0
CCNB1IP1	97.666667	303	283	0	0	0	0	0
PPP5C	97.333333	328	256	0	0	0	0	0
STK32C	97.166667	289	294	0	0	0	0	0
LRRC27	97.166667	289	294	0	0	0	0	0
EMC4	97.166667	320	263	0	0	0	0	0
ME3	97.000000	335	247	0	0	0	0	0
DUSP3	96.833333	394	187	0	0	0	0	0
HTR5A	96.666667	341	239	0	0	0	0	0
CHMP5	96.666667	204	376	0	0	0	0	0
BAG1	96.666667	204	376	0	0	0	0	0
ZNF628	96.333333	313	162	103	0	0	0	0
SNRPE	96.333333	400	178	0	0	0	0	0
CYP1B1	96.333333	322	256	0	0	0	0	0
RAD50	96.166667	257	320	0	0	0	0	0
SEMA4B	96.000000	308	268	0	0	0	0	0
ATP2A2	96.000000	262	314	0	0	0	0	0
NFX1	95.666667	267	307	0	0	0	0	0
TEF	95.500000	235	183	0	0	0	155	0
PHACTR4	95.166667	309	262	0	0	0	0	0
NOM1	95.000000	323	247	0	0	0	0	0
DNAJC28	95.000000	0	0	345	225	0	0	0
CLN8	95.000000	382	188	0	0	0	0	0
TLCD2	94.833333	202	367	0	0	0	0	0
PLD3	94.666667	204	364	0	0	0	0	0
C19orf47	94.666667	204	364	0	0	0	0	0
IFT52	94.500000	361	206	0	0	0	0	0
FUT8	94.500000	317	250	0	0	0	0	0
COPG1	94.500000	276	291	0	0	0	0	0
TGIF1	94.166667	336	229	0	0	0	0	0
RAD54L2	94.166667	383	182	0	0	0	0	0
MAP2K3	94.166667	334	231	0	0	0	0	0
GGT1	94.166667	373	192	0	0	0	0	0
E2F6	94.166667	153	230	182	0	0	0	0
ZFR2	93.833333	0	0	299	264	0	0	0
SMC5	93.833333	248	315	0	0	0	0	0
PWWP2B	93.833333	267	296	0	0	0	0	0
GINS1	93.833333	352	211	0	0	0	0	0
TMEM220	93.666667	370	192	0	0	0	0	0
ABTB2	93.166667	224	335	0	0	0	0	0
H2BC18	92.666667	310	246	0	0	0	0	0
NR1D1	92.500000	82	159	180	134	0	0	0
EGLN2	92.500000	342	213	0	0	0	0	0
CCR7	92.333333	281	273	0	0	0	0	0
ZBTB43	92.166667	328	225	0	0	0	0	0
BTBD1	92.166667	407	146	0	0	0	0	0
KCNIP3	92.000000	333	219	0	0	0	0	0
DOK7	92.000000	155	397	0	0	0	0	0
SURF6	91.833333	327	224	0	0	0	0	0
PRPSAP1	91.833333	310	241	0	0	0	0	0
STS	91.666667	313	237	0	0	0	0	0
PUDP	91.666667	313	237	0	0	0	0	0
HUS1	91.666667	307	243	0	0	0	0	0
PHB2	91.500000	298	251	0	0	0	0	0
AKR1E2	91.500000	264	285	0	0	0	0	0
RHBDD1	91.333333	197	123	228	0	0	0	0
NDUFAF4	91.333333	273	275	0	0	0	0	0
KLHL32	91.333333	273	275	0	0	0	0	0
ANK1	91.333333	290	258	0	0	0	0	0
TIMM22	91.166667	198	349	0	0	0	0	0
SECISBP2	91.166667	302	245	0	0	0	0	0
PIK3CD	91.166667	0	0	277	270	0	0	0
SMDT1	91.000000	250	296	0	0	0	0	0
ZNF770	90.666667	376	168	0	0	0	0	0
EVI5	90.666667	92	0	243	209	0	0	0
KDM4A	90.166667	291	250	0	0	0	0	0
PCBP1	90.000000	257	283	0	0	0	0	0
ZNF480	89.833333	298	241	0	0	0	0	0
IREB2	89.833333	267	272	0	0	0	0	0
POLR3B	89.666667	270	268	0	0	0	0	0
MIDEAS	89.666667	310	228	0	0	0	0	0
IDH1	89.333333	302	234	0	0	0	0	0
ZNF552	89.166667	305	230	0	0	0	0	0
PGAM1	89.166667	266	269	0	0	0	0	0
GRAMD1A	89.000000	290	244	0	0	0	0	0
EXOC3L4	89.000000	203	331	0	0	0	0	0
CEP41	89.000000	269	265	0	0	0	0	0
STX18	88.666667	229	303	0	0	0	0	0
LYSMD3	88.666667	319	213	0	0	0	0	0
EIF3CL	88.666667	276	256	0	0	0	0	0
EIF3C	88.666667	276	256	0	0	0	0	0
TOLLIP	88.500000	301	230	0	0	0	0	0
CNTLN	88.333333	183	106	103	138	0	0	0
CENPH	88.333333	322	208	0	0	0	0	0
MRPS36	88.166667	305	224	0	0	0	0	0
NUCKS1	88.000000	296	232	0	0	0	0	0
SEMA4G	87.833333	247	280	0	0	0	0	0
MTRES1	87.833333	317	210	0	0	0	0	0
HDAC11	87.833333	304	223	0	0	0	0	0
FANCA	87.833333	394	133	0	0	0	0	0
AARSD1	87.666667	244	282	0	0	0	0	0
RAB37	87.500000	316	209	0	0	0	0	0
PEMT	87.333333	288	236	0	0	0	0	0
SRPK2	87.166667	246	277	0	0	0	0	0
MFSD4B	87.000000	257	265	0	0	0	0	0
CLINT1	87.000000	256	266	0	0	0	0	0
ZNF302	86.833333	312	209	0	0	0	0	0
TMEM184A	86.833333	287	234	0	0	0	0	0
TYMSOS	86.666667	251	269	0	0	0	0	0
TYMS	86.666667	251	269	0	0	0	0	0
H2BC12	86.666667	275	245	0	0	0	0	0
H2AC12	86.666667	275	245	0	0	0	0	0
CDK13	86.666667	254	266	0	0	0	0	0
ITPK1	86.500000	283	236	0	0	0	0	0
DAZAP1	86.500000	197	322	0	0	0	0	0
FH	86.166667	279	238	0	0	0	0	0
CDK5RAP3	86.166667	224	293	0	0	0	0	0
NDUFA12	86.000000	348	168	0	0	0	0	0
RRP1B	85.833333	237	134	144	0	0	0	0
HUWE1	85.833333	254	261	0	0	0	0	0
HSF2BP	85.833333	237	134	144	0	0	0	0
OR1F1	85.500000	242	271	0	0	0	0	0
POLR3D	85.333333	245	267	0	0	0	0	0
SEC61A2	85.000000	332	178	0	0	0	0	0
DCLRE1C	84.833333	285	224	0	0	0	0	0
TLE5	84.666667	283	225	0	0	0	0	0
SLC25A19	84.500000	324	183	0	0	0	0	0
BCAR3	84.333333	273	233	0	0	0	0	0
SLC20A1	84.166667	241	264	0	0	0	0	0
NUFIP2	84.166667	242	263	0	0	0	0	0
LEKR1	84.166667	254	251	0	0	0	0	0
SMAD3	84.000000	277	227	0	0	0	0	0
RBM12	83.833333	354	149	0	0	0	0	0
ENAH	83.833333	320	183	0	0	0	0	0
CPNE1	83.833333	354	149	0	0	0	0	0
THRA	83.666667	265	237	0	0	0	0	0
METTL23	83.666667	238	264	0	0	0	0	0
JMJD6	83.666667	238	264	0	0	0	0	0
SUGP2	83.500000	299	202	0	0	0	0	0
ARMC6	83.500000	299	202	0	0	0	0	0
SLC39A9	83.333333	268	232	0	0	0	0	0
RANBP3	83.333333	0	0	289	211	0	0	0
NDUFS2	83.333333	352	148	0	0	0	0	0
NANOS2	83.333333	327	173	0	0	0	0	0
ERH	83.333333	268	232	0	0	0	0	0
UBB	83.166667	231	268	0	0	0	0	0
NSD2	83.166667	290	209	0	0	0	0	0
SSNA1	83.000000	249	249	0	0	0	0	0
PIGW	83.000000	269	229	0	0	0	0	0
MYO19	83.000000	269	229	0	0	0	0	0
EMC8	83.000000	355	143	0	0	0	0	0
COX4I1	83.000000	355	143	0	0	0	0	0
ANAPC2	83.000000	249	249	0	0	0	0	0
TPCN1	82.666667	255	241	0	0	0	0	0
TCIM	82.666667	253	243	0	0	0	0	0
IQCD	82.666667	255	241	0	0	0	0	0
FAM117B	82.666667	254	242	0	0	0	0	0
POMT2	82.500000	277	218	0	0	0	0	0
GSTZ1	82.500000	277	218	0	0	0	0	0
GGCX	82.333333	114	0	222	158	0	0	0
CSRP1	82.333333	285	209	0	0	0	0	0
TACO1	82.166667	275	218	0	0	0	0	0
CTSL	82.166667	265	228	0	0	0	0	0
CCN5	82.166667	306	187	0	0	0	0	0
SFXN1	82.000000	350	142	0	0	0	0	0
PDSS1	81.666667	260	230	0	0	0	0	0
RNF43	81.500000	220	269	0	0	0	0	0
COX10	81.500000	321	168	0	0	0	0	0
SCAF11	81.333333	169	139	180	0	0	0	0
WDR24	81.166667	247	240	0	0	0	0	0
RBBP5	81.166667	235	178	74	0	0	0	0
STK38L	81.000000	296	190	0	0	0	0	0
EIF1B	81.000000	181	305	0	0	0	0	0
ZNF274	80.833333	274	211	0	0	0	0	0
MICA	80.833333	202	283	0	0	0	0	0
TMED1	80.666667	221	149	114	0	0	0	0
H4-16	80.666667	291	193	0	0	0	0	0
CDK20	80.666667	254	230	0	0	0	0	0
CPLX2	80.500000	354	129	0	0	0	0	0
CDK16	80.500000	257	226	0	0	0	0	0
TMEM43	80.333333	270	212	0	0	0	0	0
PRAF2	80.333333	287	195	0	0	0	0	0
CHCHD4	80.333333	270	212	0	0	0	0	0
POLM	80.166667	255	226	0	0	0	0	0
YIF1B	80.000000	255	225	0	0	0	0	0
PCLAF	80.000000	275	205	0	0	0	0	0
ABCB8	80.000000	291	189	0	0	0	0	0
LIMK1	79.833333	259	220	0	0	0	0	0
PPP1R9A	79.666667	249	229	0	0	0	0	0
HMGCS1	79.666667	332	146	0	0	0	0	0
ZBTB7B	79.500000	270	207	0	0	0	0	0
ZBTB45	79.500000	334	143	0	0	0	0	0
USP43	79.500000	209	268	0	0	0	0	0
KCTD9	79.500000	242	235	0	0	0	0	0
DNMT3A	79.500000	294	183	0	0	0	0	0
CDCA2	79.500000	242	235	0	0	0	0	0
TSEN54	79.333333	316	160	0	0	0	0	0
KDM3A	79.333333	103	0	157	216	0	0	0
COPB1	79.333333	223	253	0	0	0	0	0
CDHR2	79.333333	476	0	0	0	0	0	0
CASKIN2	79.333333	316	160	0	0	0	0	0
NINL	79.166667	296	179	0	0	0	0	0
CCDC97	79.166667	229	246	0	0	0	0	0
PRR5	78.666667	213	259	0	0	0	0	0
ARPP19	78.666667	326	146	0	0	0	0	0
UBXN4	78.500000	268	203	0	0	0	0	0
FAM200A	78.500000	307	164	0	0	0	0	0
BRD1	78.500000	240	231	0	0	0	0	0
SNAPC3	78.333333	241	229	0	0	0	0	0
SFSWAP	78.333333	243	227	0	0	0	0	0
NR0B2	78.333333	470	0	0	0	0	0	0
LUC7L3	78.333333	296	174	0	0	0	0	0
PRELID3B	78.166667	256	213	0	0	0	0	0
LSM14A	78.000000	190	278	0	0	0	0	0
FAN1	78.000000	184	284	0	0	0	0	0
VPS9D1	77.833333	298	169	0	0	0	0	0
ERCC1	77.833333	261	206	0	0	0	0	0
COPS7A	77.833333	248	219	0	0	0	0	0
ZDHHC23	77.666667	288	178	0	0	0	0	0
FAM114A1	77.666667	200	266	0	0	0	0	0
NDUFS3	77.500000	251	214	0	0	0	0	0
KBTBD4	77.500000	251	214	0	0	0	0	0
FOXK2	77.500000	288	177	0	0	0	0	0
CISD1	77.333333	253	211	0	0	0	0	0
ZNF12	77.166667	120	0	194	149	0	0	0
CLPTM1L	77.166667	260	203	0	0	0	0	0
CCDC93	77.166667	281	182	0	0	0	0	0
ARL14EP	77.166667	236	227	0	0	0	0	0
ANKRD28	77.166667	123	204	136	0	0	0	0
FBXW11	77.000000	278	184	0	0	0	0	0
RNASEK	76.833333	225	236	0	0	0	0	0
BLCAP	76.833333	195	266	0	0	0	0	0
KLF8	76.666667	0	0	242	218	0	0	0
KAT5	76.666667	231	229	0	0	0	0	0
TUBGCP3	76.500000	303	156	0	0	0	0	0
TP53INP2	76.333333	238	220	0	0	0	0	0
NOL12	76.333333	154	304	0	0	0	0	0
CRTC2	76.333333	226	232	0	0	0	0	0
ZBTB25	76.166667	265	192	0	0	0	0	0
ZBTB1	76.166667	265	192	0	0	0	0	0
SPDYE14	76.166667	182	275	0	0	0	0	0
SPDYE10P	76.166667	182	275	0	0	0	0	0
ZFAND3	76.000000	227	229	0	0	0	0	0
IL1RAP	76.000000	202	254	0	0	0	0	0
EPAS1	76.000000	321	135	0	0	0	0	0
TSC2	75.833333	235	220	0	0	0	0	0
NTHL1	75.833333	235	220	0	0	0	0	0
CRTC3	75.833333	277	178	0	0	0	0	0
COQ9	75.833333	311	144	0	0	0	0	0
CIAPIN1	75.833333	311	144	0	0	0	0	0
BIRC7	75.833333	321	134	0	0	0	0	0
BRIP1	75.666667	294	160	0	0	0	0	0
TIMM44	75.500000	293	160	0	0	0	0	0
SLC25A44	75.500000	300	153	0	0	0	0	0
EZR	75.500000	190	145	118	0	0	0	0
SLC33A1	75.333333	145	208	99	0	0	0	0
SLC25A13	75.333333	259	193	0	0	0	0	0
MPDU1	75.333333	213	239	0	0	0	0	0
LOC100996842	75.333333	213	239	0	0	0	0	0
TES	75.166667	294	157	0	0	0	0	0
THUMPD3	75.000000	204	151	95	0	0	0	0
LRIG2	74.833333	231	218	0	0	0	0	0
CCAR2	74.833333	318	131	0	0	0	0	0
TOMM40L	74.666667	200	248	0	0	0	0	0
FTL	74.666667	197	251	0	0	0	0	0
DIABLO	74.666667	0	93	209	146	0	0	0
TTC39B	74.500000	320	127	0	0	0	0	0
TCTN3	74.500000	260	187	0	0	0	0	0
RPS14	74.500000	298	149	0	0	0	0	0
PIF1	74.500000	215	232	0	0	0	0	0
MRPL15	74.333333	213	233	0	0	0	0	0
AURKB	74.333333	230	216	0	0	0	0	0
SPAG7	74.166667	296	149	0	0	0	0	0
PC	74.166667	182	145	118	0	0	0	0
C9orf64	74.166667	240	205	0	0	0	0	0
TSFM	73.833333	238	205	0	0	0	0	0
TBRG4	73.833333	290	153	0	0	0	0	0
SLC4A11	73.833333	187	256	0	0	0	0	0
HAGH	73.833333	207	236	0	0	0	0	0
GEMIN2	73.833333	218	225	0	0	0	0	0
FAHD1	73.833333	207	236	0	0	0	0	0
TMCO6	73.666667	211	231	0	0	0	0	0
CSNK1A1	73.666667	260	182	0	0	0	0	0
MOK	73.500000	328	113	0	0	0	0	0
LRP6	73.500000	201	240	0	0	0	0	0
KIF22	73.500000	163	278	0	0	0	0	0
GZF1	73.500000	218	223	0	0	0	0	0
SPRTN	73.333333	183	257	0	0	0	0	0
POLDIP3	73.333333	243	197	0	0	0	0	0
EXOC8	73.333333	183	257	0	0	0	0	0
STAT3	73.166667	268	171	0	0	0	0	0
PSMD9	73.166667	207	232	0	0	0	0	0
PPP1R26	73.166667	229	210	0	0	0	0	0
IPO7	73.166667	253	186	0	0	0	0	0
HPD	73.166667	207	232	0	0	0	0	0
TTC33	73.000000	255	183	0	0	0	0	0
PRDM10	73.000000	255	183	0	0	0	0	0
DNAJB12	72.833333	265	172	0	0	0	0	0
ITFG2	72.666667	227	209	0	0	0	0	0
GRIN2D	72.666667	210	226	0	0	0	0	0
RASGRP2	72.166667	233	200	0	0	0	0	0
IDH3A	72.166667	175	131	0	0	0	127	0
DNAJA3	72.166667	194	239	0	0	0	0	0
ATP8B3	72.166667	182	251	0	0	0	0	0
SNX6	72.000000	260	172	0	0	0	0	0
KATNA1	72.000000	274	158	0	0	0	0	0
CITED2	72.000000	257	175	0	0	0	0	0
PDCD6	71.833333	183	248	0	0	0	0	0
CFAP43	71.833333	176	255	0	0	0	0	0
TJP1	71.666667	264	166	0	0	0	0	0
MTRNR2L9	71.666667	0	0	0	0	0	430	0
GNE	71.666667	224	206	0	0	0	0	0
BMS1	71.500000	212	217	0	0	0	0	0
OAT	71.333333	285	143	0	0	0	0	0
MROH1	71.333333	272	156	0	0	0	0	0
DHRS7B	71.333333	219	209	0	0	0	0	0
CELSR3	71.333333	160	268	0	0	0	0	0
CARD19	71.333333	211	217	0	0	0	0	0
SCRN2	71.166667	304	123	0	0	0	0	0
NDUFAB1	71.166667	266	161	0	0	0	0	0
GRK2	71.166667	236	191	0	0	0	0	0
OTUD6B	71.000000	205	221	0	0	0	0	0
IP6K1	71.000000	225	201	0	0	0	0	0
CWC25	71.000000	292	134	0	0	0	0	0
KHSRP	70.833333	149	0	143	133	0	0	0
H4C1	70.833333	228	197	0	0	0	0	0
H3C1	70.833333	228	197	0	0	0	0	0
EPG5	70.833333	202	223	0	0	0	0	0
ZNF3	70.666667	282	142	0	0	0	0	0
NANP	70.666667	234	190	0	0	0	0	0
MIEF1	70.666667	285	139	0	0	0	0	0
ARHGAP27	70.666667	168	256	0	0	0	0	0
TEN1	70.500000	245	178	0	0	0	0	0
SLC38A9	70.500000	216	207	0	0	0	0	0
PUS1	70.500000	282	141	0	0	0	0	0
ACOX1	70.500000	245	178	0	0	0	0	0
RIC8B	70.166667	285	136	0	0	0	0	0
ADAR	70.166667	241	180	0	0	0	0	0
TNFRSF10A	70.000000	251	169	0	0	0	0	0
PRKCZ	70.000000	198	222	0	0	0	0	0
NDUFS5	70.000000	216	204	0	0	0	0	0
LOC389831	70.000000	249	171	0	0	0	0	0
CLPB	69.833333	179	240	0	0	0	0	0
NACC1	69.666667	233	185	0	0	0	0	0
C10orf143	69.666667	255	163	0	0	0	0	0
FGD4	69.500000	285	132	0	0	0	0	0
CDKN2D	69.333333	269	147	0	0	0	0	0
BAX	69.166667	178	237	0	0	0	0	0
XKR7	69.000000	246	168	0	0	0	0	0
CEP152	69.000000	200	214	0	0	0	0	0
C12orf66	69.000000	195	219	0	0	0	0	0
ANKRD13A	69.000000	192	222	0	0	0	0	0
TRPM7	68.833333	230	183	0	0	0	0	0
SRRD	68.833333	272	141	0	0	0	0	0
HPS4	68.833333	272	141	0	0	0	0	0
FAM234B	68.833333	172	241	0	0	0	0	0
RSRP1	68.666667	258	154	0	0	0	0	0
MFAP3L	68.666667	166	246	0	0	0	0	0
FASTK	68.666667	213	199	0	0	0	0	0
WDR62	68.500000	230	181	0	0	0	0	0
THAP8	68.500000	230	181	0	0	0	0	0
RPL26	68.500000	189	222	0	0	0	0	0
RICTOR	68.500000	224	187	0	0	0	0	0
PRKAR1B	68.333333	211	199	0	0	0	0	0
NDUFV2	68.333333	199	211	0	0	0	0	0
NR1H3	68.166667	179	230	0	0	0	0	0
IQCN	68.166667	251	158	0	0	0	0	0
FRYL	68.166667	0	0	327	82	0	0	0
ACP2	68.166667	179	230	0	0	0	0	0
TCF25	68.000000	201	207	0	0	0	0	0
PTGES2	67.833333	256	151	0	0	0	0	0
PLK2	67.833333	167	240	0	0	0	0	0
DNAJA2	67.833333	258	149	0	0	0	0	0
CASC3	67.833333	164	243	0	0	0	0	0
POMP	67.666667	265	141	0	0	0	0	0
HHIPL1	67.666667	294	0	112	0	0	0	0
CCDC85C	67.666667	294	0	112	0	0	0	0
ABCF3	67.666667	215	191	0	0	0	0	0
ZNF717	67.500000	225	180	0	0	0	0	0
ZNF250	67.500000	210	195	0	0	0	0	0
MVK	67.500000	209	196	0	0	0	0	0
ITPKA	67.500000	223	182	0	0	0	0	0
BRPF1	67.500000	214	191	0	0	0	0	0
AIP	67.500000	70	0	335	0	0	0	0
RTN4	67.333333	193	211	0	0	0	0	0
OPA3	67.333333	271	133	0	0	0	0	0
KMT2A	67.333333	212	192	0	0	0	0	0
FAM228B	67.333333	265	139	0	0	0	0	0
CUTC	67.333333	223	181	0	0	0	0	0
COX15	67.333333	223	181	0	0	0	0	0
CEACAM1	67.333333	214	190	0	0	0	0	0
ZDHHC24	67.166667	220	183	0	0	0	0	0
CIPC	67.166667	197	206	0	0	0	0	0
BCL2L13	67.166667	178	225	0	0	0	0	0
ACTN3	67.166667	220	183	0	0	0	0	0
LCLAT1	67.000000	110	143	149	0	0	0	0
KCTD18	67.000000	242	160	0	0	0	0	0
IFT140	67.000000	123	279	0	0	0	0	0
CRAMP1	67.000000	123	279	0	0	0	0	0
CFLAR	67.000000	197	205	0	0	0	0	0
PPP6R1	66.833333	131	270	0	0	0	0	0
MORF4L2	66.666667	184	216	0	0	0	0	0
IGFBP6	66.666667	208	192	0	0	0	0	0
FOXRED2	66.666667	193	0	119	88	0	0	0
EPS8	66.666667	216	184	0	0	0	0	0
ADNP	66.666667	217	92	91	0	0	0	0
ZNF529	66.500000	185	214	0	0	0	0	0
U2SURP	66.333333	203	195	0	0	0	0	0
TMEM37	66.333333	228	170	0	0	0	0	0
TMEM51	66.166667	290	107	0	0	0	0	0
TAOK3	66.166667	204	193	0	0	0	0	0
SOCS5	66.166667	260	137	0	0	0	0	0
ARHGAP23	66.166667	172	225	0	0	0	0	0
PSPH	66.000000	396	0	0	0	0	0	0
CCT6A	66.000000	396	0	0	0	0	0	0
ZMYND8	65.833333	255	140	0	0	0	0	0
SMAD1	65.833333	0	0	257	138	0	0	0
OPLAH	65.666667	244	150	0	0	0	0	0
COA6	65.666667	150	244	0	0	0	0	0
HDHD5	65.500000	105	107	181	0	0	0	0
ELN	65.500000	132	261	0	0	0	0	0
WEE1	65.333333	250	142	0	0	0	0	0
ZNF280D	65.166667	281	110	0	0	0	0	0
HDAC1	65.166667	232	159	0	0	0	0	0
TP53BP1	65.000000	258	132	0	0	0	0	0
HSDL2	65.000000	220	170	0	0	0	0	0
AP1AR	65.000000	173	217	0	0	0	0	0
