Target_genes	KDM5B|Average	SRX3285563|C49R	SRX3285565|C70R	SRX3285588|C70R	SRX3285589|C70R	SRX3285613|C70R	SRX3285614|C70R	SRX3285576|FULR	SRX3285591|FULR	SRX3285592|FULR	SRX3285604|FULR	SRX3285605|FULR	SRX3285606|FULR	SRX3285608|FULR	SRX265432|HCC2157	SRX10475115|Hep_G2	SRX10475116|Hep_G2	SRX116461|hESC_H1	SRX116462|hESC_H1	SRX186653|hESC_H1	SRX3009990|hESC_H1	SRX3009991|hESC_H1	SRX116428|K-562	SRX116438|K-562	SRX116439|K-562	SRX186782|K-562	SRX055308|MCF-7	SRX055309|MCF-7	SRX055310|MCF-7	SRX055311|MCF-7	SRX055312|MCF-7	SRX265412|MCF-7	SRX265413|MCF-7	SRX265414|MCF-7	SRX3285561|MCF-7	SRX3285578|MCF-7	SRX3285580|MCF-7	SRX3285582|MCF-7	SRX3285584|MCF-7	SRX3285594|MCF-7	SRX3285595|MCF-7	SRX3285610|MCF-7	SRX3285611|MCF-7	SRX265430|MDA-MB-231	SRX265425|SUM_159PT	SRX265422|SUM_185PE	SRX265423|SUM_185PE	SRX265420|T-47D	SRX3285586|TAMR	SRX3285597|TAMR	SRX3285598|TAMR	SRX055303|U-937	SRX055304|U-937	SRX055305|U-937	SRX055306|U-937	STRING
KIAA1586	217.703704	370	200	74	231	153	398	184	80	161	414	299	187	137	381	267	955	0	0	0	0	0	0	518	0	482	121	0	0	0	0	390	464	566	196	85	205	166	0	485	326	256	380	599	0	92	396	811	198	148	381	0	0	0	0	0
WARS2	217.666667	352	139	0	0	0	153	165	0	0	270	157	252	0	401	61	421	0	0	0	0	0	0	807	0	680	129	0	0	0	0	367	499	620	213	115	244	0	0	564	450	331	0	852	237	0	791	1182	213	186	191	238	474	0	0	0
GTF3C5	217.611111	163	156	0	0	0	152	111	0	0	93	0	0	0	446	0	444	0	0	0	0	0	0	572	0	463	709	497	524	386	0	546	594	895	0	0	0	0	0	142	239	84	102	746	0	109	1008	1074	120	0	0	214	1058	0	104	0
CEP128	217.444444	301	0	0	0	0	200	185	0	0	257	157	167	0	286	112	247	0	0	0	0	0	0	560	0	482	452	331	334	146	0	250	363	502	0	0	295	0	0	502	543	308	158	608	144	0	691	1598	220	255	152	172	547	121	96	0
TCTE1	217.351852	287	161	0	189	177	298	350	0	0	369	246	359	131	479	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	407	435	536	0	204	251	169	129	614	666	247	265	1051	0	0	581	1665	619	444	333	0	0	0	0	0
NEDD4L	217.314815	256	0	0	0	0	132	111	0	0	242	0	0	0	643	0	164	0	0	0	0	0	0	290	0	261	0	0	0	0	0	870	1115	1154	238	80	268	0	0	209	0	246	94	1694	582	359	1032	1617	78	0	0	0	0	0	0	0
POMK	217.074074	0	0	0	0	0	0	0	0	0	126	0	0	0	717	106	358	0	0	0	0	0	0	416	0	371	0	0	0	0	0	594	832	1360	0	0	162	0	0	106	0	0	0	2006	472	622	1714	1647	0	0	0	0	113	0	0	0
CCDC144A	217.037037	234	0	0	0	0	0	0	0	0	123	0	0	0	1247	0	359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	928	1024	1713	177	0	184	0	0	217	216	252	0	1075	488	189	1416	1878	0	0	0	0	0	0	0	0
MPHOSPH10	217.018519	131	93	0	0	0	137	133	0	0	165	0	0	0	499	186	829	0	0	0	0	0	0	623	0	601	508	236	204	156	0	716	938	919	124	109	187	0	0	174	113	170	106	758	0	71	957	1135	0	0	0	152	589	0	0	0
MCEE	217.018519	131	93	0	0	0	137	133	0	0	165	0	0	0	499	186	829	0	0	0	0	0	0	623	0	601	508	236	204	156	0	716	938	919	124	109	187	0	0	174	113	170	106	758	0	71	957	1135	0	0	0	152	589	0	0	0
DSCC1	216.870370	338	255	63	117	210	540	256	0	0	233	139	134	0	660	134	628	0	0	0	0	0	0	634	0	580	0	0	0	0	0	385	527	585	174	128	205	95	127	328	268	395	226	541	0	114	659	1249	233	130	134	0	287	0	0	0
DDX59	216.851852	241	225	0	0	126	324	240	0	112	205	208	166	0	538	177	577	0	0	0	0	0	0	343	0	325	0	0	0	0	0	630	846	867	170	92	413	158	130	426	491	406	227	637	93	103	644	874	317	200	179	0	0	0	0	0
CCPG1	216.833333	258	115	0	0	99	162	221	0	0	302	210	121	0	422	100	548	0	0	0	0	0	0	370	0	264	0	0	0	0	0	520	762	542	220	331	443	238	143	490	609	448	206	474	503	307	557	1035	373	122	194	0	0	0	0	0
C15orf65	216.833333	258	115	0	0	99	162	221	0	0	302	210	121	0	422	100	548	0	0	0	0	0	0	370	0	264	0	0	0	0	0	520	762	542	220	331	443	238	143	490	609	448	206	474	503	307	557	1035	373	122	194	0	0	0	0	0
TCTE3	216.814815	213	126	0	133	147	345	218	119	126	256	138	156	0	432	343	1035	0	0	0	0	0	0	570	0	526	265	147	91	0	0	630	672	610	87	139	207	128	0	293	258	268	180	562	143	0	726	752	250	0	114	0	303	0	0	0
ERMARD	216.814815	213	126	0	133	147	345	218	119	126	256	138	156	0	432	343	1035	0	0	0	0	0	0	570	0	526	265	147	91	0	0	630	672	610	87	139	207	128	0	293	258	268	180	562	143	0	726	752	250	0	114	0	303	0	0	0
CLCC1	216.814815	433	311	0	182	168	421	249	82	169	407	179	203	0	184	239	642	0	0	0	0	0	143	857	0	751	0	0	0	0	0	394	580	500	150	182	268	199	0	385	335	467	485	331	0	0	409	586	385	136	296	0	0	0	0	0
ZBTB21	216.648148	197	130	0	147	150	282	164	0	72	155	103	81	0	473	0	312	0	0	0	0	0	0	513	0	448	154	0	0	0	0	703	741	919	88	121	137	160	0	150	189	149	224	1285	199	260	1299	1259	137	114	70	0	114	0	0	0
PPP1R11	216.518519	210	0	0	0	77	193	0	0	0	481	148	320	151	372	143	416	0	0	0	0	0	0	556	0	479	0	0	0	0	0	434	473	1005	111	0	304	0	0	738	592	344	147	1110	334	114	572	1396	145	158	169	0	0	0	0	0
NMD3	216.333333	387	413	116	193	260	557	167	0	222	379	188	128	106	455	118	500	0	0	0	0	0	0	576	0	482	0	0	0	0	0	377	474	272	161	207	357	223	216	414	400	606	463	121	0	0	276	1006	387	210	265	0	0	0	0	0
CCR7	216.277778	293	0	0	0	0	94	0	0	0	136	0	110	0	1062	0	376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	716	834	1198	311	0	249	0	0	302	290	228	0	1349	687	314	1277	1667	186	0	0	0	0	0	0	0
TNFRSF21	216.222222	271	219	0	136	140	252	139	0	98	318	193	110	0	1141	209	681	0	0	0	0	0	249	231	0	181	0	0	0	0	0	514	409	510	182	101	181	101	0	243	176	190	252	1152	289	237	516	1627	157	124	147	0	0	0	0	0
LOC100287896	216.055556	245	179	0	179	250	257	264	90	100	243	179	173	0	363	245	696	0	0	0	0	0	0	413	0	387	110	83	0	0	0	988	815	866	95	140	240	180	168	186	258	290	245	352	0	0	503	1046	302	242	295	0	0	0	0	0
LIPT2	216.055556	245	179	0	179	250	257	264	90	100	243	179	173	0	363	245	696	0	0	0	0	0	0	413	0	387	110	83	0	0	0	988	815	866	95	140	240	180	168	186	258	290	245	352	0	0	503	1046	302	242	295	0	0	0	0	0
SRD5A3	216.000000	353	305	0	74	140	218	206	0	75	306	127	148	0	431	184	550	0	0	0	0	0	0	755	0	613	0	0	0	0	0	811	862	379	166	118	281	71	0	226	262	250	267	1373	0	0	514	1244	176	98	81	0	0	0	0	0
SS18L2	215.981481	174	107	0	0	0	88	242	0	112	186	0	155	0	510	173	450	0	0	0	0	0	0	690	0	573	0	0	0	0	0	360	504	775	151	115	347	148	0	327	426	234	123	1230	323	81	815	1616	405	130	93	0	0	0	0	0
GTF2I	215.925926	173	186	0	0	130	64	288	0	131	318	131	291	0	610	73	251	0	0	0	0	0	0	344	0	312	0	0	0	0	0	587	521	625	323	201	605	274	251	521	488	371	0	933	0	121	932	793	522	119	171	0	0	0	0	0
ZNF396	215.851852	253	213	164	116	126	247	248	0	0	347	128	291	142	342	75	291	0	0	0	0	0	0	262	0	191	0	0	0	0	0	424	533	616	216	206	484	109	105	538	687	357	275	993	153	0	374	1474	316	215	145	0	0	0	0	0
ADPRS	215.814815	0	0	0	0	0	0	0	0	0	117	0	0	0	936	137	556	0	0	0	0	0	0	1388	106	1120	584	266	348	179	0	468	702	658	0	71	84	0	0	0	0	0	0	743	212	264	923	1168	135	0	0	0	489	0	0	0
STMP1	215.740741	97	148	0	0	0	187	0	0	0	180	0	113	0	617	218	643	0	0	0	0	0	0	854	0	823	148	0	0	0	0	539	873	974	125	0	125	0	0	207	152	181	109	1206	129	149	1243	1486	124	0	0	0	0	0	0	0
SLC25A21	215.722222	300	249	0	122	169	219	114	0	109	323	218	128	61	0	357	1161	0	0	0	0	0	0	295	0	265	246	145	0	0	0	570	657	723	136	0	234	92	85	328	338	338	332	535	0	120	740	1394	189	190	167	0	0	0	0	0
CBWD3	215.685185	145	86	0	0	130	151	164	0	0	139	122	161	79	958	173	740	0	0	0	0	0	0	718	0	620	301	135	160	0	0	361	608	1059	0	0	115	0	0	187	146	110	134	968	0	0	1107	1287	116	115	95	0	257	0	0	0
YPEL2	215.666667	400	417	134	307	269	437	371	98	287	677	338	277	221	132	0	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	421	506	655	173	282	493	342	180	487	395	452	369	458	0	0	185	641	448	274	352	0	0	0	0	0
NDUFA12	215.666667	0	0	0	0	0	98	0	0	0	72	0	0	0	479	193	743	0	0	0	0	0	0	1278	75	1206	379	110	228	196	0	301	606	849	0	0	0	0	0	96	125	138	127	966	0	0	1142	1695	0	0	0	167	377	0	0	0
SMARCD2	215.648148	126	221	0	157	205	171	259	109	91	292	158	172	0	873	168	559	0	0	0	0	0	0	200	0	131	0	0	0	0	0	858	906	950	106	153	365	239	128	272	205	152	162	444	0	217	926	947	332	187	204	0	0	0	0	0
CHPF2	215.648148	136	108	0	0	123	127	150	0	0	184	68	114	0	1048	0	332	0	0	0	0	0	0	576	0	492	194	0	0	131	0	491	985	908	124	159	396	129	0	309	337	127	118	1222	257	0	507	1461	222	0	110	0	0	0	0	0
GNAS	215.611111	298	193	0	163	173	385	171	0	89	307	299	102	0	1046	103	225	0	0	0	0	0	0	1191	0	1053	0	0	0	0	0	471	619	351	149	128	275	88	0	218	223	179	223	519	0	0	263	1437	185	132	159	0	226	0	0	0
ZDHHC7	215.574074	260	252	104	171	105	338	186	0	136	275	181	93	0	225	117	449	0	0	0	0	0	0	747	0	611	163	0	129	0	0	415	641	596	91	152	370	150	71	400	267	320	228	599	0	0	721	1368	279	174	157	0	100	0	0	0
DTD1	215.518519	320	216	0	193	206	335	269	0	98	340	186	195	102	327	117	452	0	0	0	0	0	0	260	0	233	0	0	0	0	0	564	733	1167	84	271	249	112	128	335	296	410	216	307	0	0	1295	1040	252	132	198	0	0	0	0	0
KIF26A	215.481481	722	280	0	0	0	207	307	0	0	280	192	225	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1050	1009	1137	478	120	457	171	160	504	472	414	159	307	223	0	808	1470	314	0	0	0	0	0	0	0
PRKCSH	215.425926	137	99	0	0	0	0	141	0	0	233	0	206	0	1018	0	243	0	0	0	0	0	0	550	0	402	0	0	0	0	0	448	589	615	268	70	634	138	0	634	766	347	104	927	538	215	330	1342	204	124	161	0	150	0	0	0
CCDC151	215.425926	137	99	0	0	0	0	141	0	0	233	0	206	0	1018	0	243	0	0	0	0	0	0	550	0	402	0	0	0	0	0	448	589	615	268	70	634	138	0	634	766	347	104	927	538	215	330	1342	204	124	161	0	150	0	0	0
PAFAH2	215.388889	0	0	0	0	0	0	0	0	0	0	0	0	0	1572	0	614	0	0	0	0	0	290	105	0	115	0	0	0	0	0	1024	1022	887	179	0	164	0	0	0	137	0	0	1719	373	287	1170	1826	0	0	0	0	147	0	0	0
BOLA3	215.222222	307	167	0	0	83	302	148	0	0	233	120	134	0	578	111	575	0	0	0	0	0	0	685	0	585	705	401	298	170	0	753	678	128	201	208	185	0	0	187	246	197	168	936	0	0	322	1084	239	122	0	0	366	0	0	0
SALL4	215.203704	518	525	283	438	452	751	322	188	246	716	530	269	246	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	317	350	351	291	300	390	197	211	647	647	575	663	0	0	0	0	143	387	245	307	0	0	0	0	0
DEPDC1B	214.851852	333	173	0	209	210	292	121	156	118	204	180	119	0	390	206	538	0	0	0	0	0	0	717	0	620	92	0	0	0	0	547	593	653	123	119	242	0	173	212	251	273	231	517	0	129	938	1289	318	163	153	0	0	0	0	0
BDNF	214.814815	108	122	0	164	131	265	74	0	0	156	0	0	0	1290	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1136	969	819	134	0	171	0	0	188	159	162	236	1142	781	430	1116	1741	0	0	0	0	0	0	0	0
MAP7	214.740741	216	185	0	94	107	183	184	0	0	177	73	147	0	626	119	559	0	0	0	0	0	0	119	124	148	212	0	0	0	0	755	838	1761	165	89	189	129	84	143	149	184	133	776	0	0	1165	1487	132	0	144	0	0	0	0	0
LENG1	214.740741	0	0	0	0	0	0	422	0	0	0	0	294	0	511	136	348	0	0	0	0	0	0	530	0	477	0	0	0	0	0	131	320	661	178	234	935	297	188	581	898	274	0	975	456	205	550	1281	490	224	0	0	0	0	0	0
TBC1D30	214.666667	362	369	87	253	225	472	296	114	199	547	347	168	168	193	125	377	0	0	0	0	0	0	359	0	363	214	0	0	0	0	324	485	402	198	168	305	173	148	325	361	383	315	346	0	0	560	822	404	337	298	0	0	0	0	0
CXADR	214.555556	273	354	0	130	143	227	291	0	206	418	229	363	143	379	106	311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404	418	279	185	156	428	194	134	390	493	289	165	604	382	283	904	1424	464	183	234	0	0	0	0	0
GPAM	214.537037	146	73	0	0	109	145	193	0	0	182	125	159	0	485	0	0	0	0	0	0	0	0	610	0	589	829	318	316	308	0	577	592	677	95	0	117	93	0	96	174	139	159	661	98	0	751	1342	210	86	0	137	863	131	0	0
USPL1	214.500000	207	102	0	0	0	129	104	0	0	170	0	0	0	828	369	1011	0	0	0	0	0	0	387	0	353	330	128	114	0	0	553	764	1065	0	0	186	114	0	164	122	163	124	887	234	0	1202	1565	109	0	0	0	99	0	0	0
FOXJ3	214.388889	157	199	0	0	0	152	170	0	93	229	116	97	130	790	197	808	0	0	0	0	0	122	916	0	775	0	0	0	0	0	595	748	750	0	112	230	71	0	157	178	121	95	782	0	0	842	1145	254	128	173	0	245	0	0	0
MET	214.370370	290	324	0	168	133	354	171	0	77	358	279	160	0	420	99	642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	918	995	242	286	183	288	109	0	274	242	278	368	1436	394	0	177	1439	208	125	139	0	0	0	0	0
NAMPT	214.166667	261	389	0	257	250	466	164	110	112	335	251	191	137	316	69	360	0	0	0	0	0	0	894	0	821	0	0	0	0	0	433	524	476	137	152	320	113	79	364	334	347	352	336	0	111	524	604	371	202	403	0	0	0	0	0
PURB	214.111111	191	233	90	152	117	215	120	0	0	182	165	87	0	1108	85	521	0	0	0	0	0	0	482	0	417	531	295	164	207	0	481	562	608	73	0	182	100	97	172	160	222	154	834	0	0	630	1331	111	121	136	0	226	0	0	0
SLC35F5	214.055556	194	130	0	134	122	272	131	0	0	192	137	95	0	519	304	977	0	0	0	0	0	0	680	0	610	497	274	191	0	0	312	494	685	126	180	242	99	0	301	254	276	158	707	0	0	592	1067	192	177	122	0	116	0	0	0
KIFBP	214.055556	161	237	0	90	99	153	178	0	0	145	143	146	0	716	146	376	0	0	0	0	0	0	975	91	757	95	62	0	0	0	329	387	852	98	98	380	74	0	308	309	168	133	637	333	253	779	1340	177	109	110	0	115	0	0	0
MINPP1	213.981481	189	297	0	160	172	306	131	80	161	343	192	139	0	282	160	600	0	0	0	0	0	0	267	0	228	202	167	171	0	0	350	598	865	102	104	265	135	141	338	212	232	219	810	0	188	1027	1006	221	250	245	0	0	0	0	0
ZNF148	213.962963	171	219	0	0	139	188	122	0	0	156	0	96	0	965	177	639	0	0	0	0	0	0	576	0	480	193	84	0	0	0	788	829	973	93	0	0	0	0	169	124	201	179	798	257	318	866	1429	132	0	77	0	116	0	0	0
AADAT	213.944444	386	292	0	104	144	274	188	0	83	372	222	150	0	723	75	425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	860	1210	375	204	133	255	0	88	349	325	357	225	1311	665	201	358	740	231	91	137	0	0	0	0	0
ERLIN2	213.907407	308	138	0	0	0	162	129	0	0	163	0	75	0	323	152	555	0	0	0	0	0	0	246	0	218	232	0	0	0	0	1044	1226	657	317	0	80	0	0	158	131	168	0	1758	407	270	805	1583	138	0	0	0	108	0	0	0
CDC42SE1	213.796296	233	159	0	0	167	189	156	0	0	228	97	0	0	1444	100	484	0	0	0	0	0	0	104	0	75	0	0	0	0	0	840	1044	1182	253	106	248	118	0	347	212	254	112	583	0	201	1009	1259	168	91	82	0	0	0	0	0
GINS4	213.629630	146	0	0	0	0	0	0	0	0	105	0	78	0	449	109	302	0	0	0	0	0	0	1202	0	1079	0	0	0	0	0	673	724	1258	0	0	147	0	0	0	0	0	0	1745	198	202	1556	1563	0	0	0	0	0	0	0	0
KRR1	213.537037	0	0	0	0	0	0	162	0	0	104	0	0	0	465	191	438	0	0	0	0	0	0	771	0	681	861	737	563	489	0	268	249	413	0	0	97	0	0	183	178	118	68	307	122	0	787	1278	0	0	0	485	1156	237	123	0
HBQ1	213.462963	510	214	0	0	0	228	171	0	0	282	145	109	105	414	424	1067	0	0	0	0	0	119	0	0	0	0	0	0	0	0	971	1163	622	338	174	201	0	0	258	198	254	150	1323	0	0	412	1520	155	0	0	0	0	0	0	0
SLC19A2	213.388889	418	363	80	213	240	498	184	134	0	375	246	166	195	319	136	544	0	0	0	0	0	0	850	0	715	0	0	0	0	0	321	347	360	167	185	344	145	187	342	414	364	513	381	0	0	341	745	252	134	305	0	0	0	0	0
RADIL	213.277778	350	343	136	293	209	346	271	0	86	510	261	146	161	0	0	172	0	0	0	0	0	0	493	0	309	0	0	0	0	0	218	335	268	249	154	211	154	136	601	887	508	360	868	0	0	195	1388	369	253	277	0	0	0	0	0
METTL2B	213.222222	75	124	0	0	124	143	95	0	0	117	0	174	0	364	114	383	0	0	0	0	0	140	1050	0	891	756	540	495	257	0	159	303	322	113	0	117	0	0	181	144	118	125	220	0	0	467	760	84	0	0	629	1457	257	216	0
MATN2	213.111111	410	341	0	139	196	399	128	0	0	290	145	125	0	977	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	773	1143	513	323	104	230	117	0	218	252	304	278	1651	0	0	436	1559	136	0	130	0	0	0	0	0
GTF2E2	213.055556	127	81	0	0	120	109	312	0	0	305	86	226	0	582	129	528	0	0	0	0	0	0	310	0	271	0	0	0	0	0	318	477	659	259	172	499	163	0	325	613	239	0	753	401	128	780	1835	383	146	169	0	0	0	0	0
ZNF746	212.944444	268	162	0	145	127	202	325	0	0	201	156	213	0	722	0	243	0	0	0	0	0	0	311	0	234	0	0	0	0	0	768	815	775	250	136	374	174	94	232	247	167	153	1507	0	0	541	1463	226	115	153	0	0	0	0	0
YIPF3	212.944444	167	0	0	0	0	113	130	0	0	146	0	143	0	998	105	478	0	0	0	0	0	0	799	0	727	186	184	146	0	0	352	481	577	134	90	326	0	0	349	427	251	0	665	450	140	541	1566	264	0	0	0	564	0	0	0
POLR1C	212.944444	167	0	0	0	0	113	130	0	0	146	0	143	0	998	105	478	0	0	0	0	0	0	799	0	727	186	184	146	0	0	352	481	577	134	90	326	0	0	349	427	251	0	665	450	140	541	1566	264	0	0	0	564	0	0	0
RHOC	212.833333	440	179	0	65	0	160	183	0	0	162	154	116	0	669	135	253	0	0	0	0	0	0	214	0	184	0	0	0	0	0	1256	1328	644	358	142	135	0	97	200	242	319	180	1331	372	0	237	1388	168	85	97	0	0	0	0	0
BPTF	212.814815	118	247	0	133	149	144	204	0	148	307	226	127	0	720	0	483	0	0	0	0	0	0	565	0	495	0	0	0	0	0	794	1086	682	112	92	179	97	0	165	183	121	147	914	0	149	730	1310	350	162	153	0	0	0	0	0
H4C15	212.777778	141	108	0	88	136	183	146	0	0	185	164	84	0	1100	246	678	0	0	0	0	0	0	1033	110	970	0	0	0	0	0	303	386	832	0	0	151	0	0	240	230	165	185	599	369	176	937	1314	119	0	112	0	0	0	0	0
H4C14	212.777778	141	108	0	88	136	183	146	0	0	185	164	84	0	1100	246	678	0	0	0	0	0	0	1033	110	970	0	0	0	0	0	303	386	832	0	0	151	0	0	240	230	165	185	599	369	176	937	1314	119	0	112	0	0	0	0	0
TTLL5	212.722222	274	160	0	118	129	141	374	0	85	205	86	282	106	271	0	322	0	0	0	0	0	0	483	0	375	196	0	0	0	0	671	605	448	92	250	413	154	124	474	704	415	224	546	176	0	411	1266	532	166	209	0	0	0	0	0
ERG28	212.722222	274	160	0	118	129	141	374	0	85	205	86	282	106	271	0	322	0	0	0	0	0	0	483	0	375	196	0	0	0	0	671	605	448	92	250	413	154	124	474	704	415	224	546	176	0	411	1266	532	166	209	0	0	0	0	0
RCN2	212.685185	427	499	184	297	242	421	214	89	190	493	273	163	139	74	0	401	0	0	0	0	0	0	1038	0	929	0	0	0	0	0	196	299	436	119	254	308	221	143	474	364	446	320	189	0	0	282	577	347	210	227	0	0	0	0	0
SLC35A2	212.592593	177	169	0	0	111	155	260	0	0	307	0	157	0	920	76	140	0	0	0	0	0	0	250	0	204	107	0	0	0	0	507	623	639	149	134	434	0	0	444	619	256	0	1169	174	0	744	1763	281	145	164	0	202	0	0	0
SLC30A5	212.518519	282	202	0	137	120	282	115	0	154	289	128	129	0	395	215	675	0	0	0	0	0	0	828	0	784	0	0	0	0	0	286	546	577	120	82	234	0	0	289	258	190	191	829	285	185	816	1439	234	0	180	0	0	0	0	0
RBM17	212.462963	225	151	0	136	198	264	194	0	112	196	172	119	0	882	0	369	0	0	0	0	0	0	365	0	255	238	0	0	0	0	588	827	356	133	145	180	167	111	286	276	144	215	884	128	106	704	1392	280	168	227	0	280	0	0	0
MRO	212.407407	369	239	0	0	0	0	0	0	0	254	125	0	0	1028	0	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	809	1009	584	349	0	252	0	0	331	305	333	0	2004	419	160	517	2033	0	0	0	0	0	0	0	0
CAPN2	212.333333	458	340	0	147	146	238	203	0	0	378	155	90	0	1079	0	140	0	0	0	0	0	0	485	0	338	0	0	0	0	0	962	992	172	228	96	263	129	110	182	173	190	242	1192	175	0	335	1362	240	86	140	0	0	0	0	0
TIPARP	212.277778	211	272	0	235	181	381	0	0	149	214	136	103	0	483	150	519	0	0	0	0	0	0	897	0	716	0	0	0	0	0	924	897	484	188	118	180	164	0	259	204	259	324	852	0	116	332	1209	167	0	139	0	0	0	0	0
THG1L	212.240741	202	0	0	0	128	89	286	0	0	283	104	136	0	887	185	547	0	0	0	0	0	0	604	0	510	160	0	0	0	0	369	545	580	172	0	388	100	0	456	499	317	146	694	245	86	605	1640	232	0	147	0	119	0	0	0
NUP107	212.240741	0	0	0	0	0	89	0	0	0	136	0	0	0	342	150	411	0	0	0	0	0	0	433	0	392	1053	466	705	616	0	248	264	708	0	0	0	0	0	81	80	72	0	405	0	0	1114	1474	0	0	0	484	1081	380	277	0
UBL3	212.148148	274	175	0	126	126	216	340	0	0	135	142	183	0	835	141	240	0	0	0	0	0	0	232	0	176	0	0	0	0	0	458	550	877	225	190	416	167	0	348	525	279	220	734	430	128	572	1481	305	118	92	0	0	0	0	0
LAD1	212.092593	353	227	0	236	209	553	222	0	0	420	256	99	0	1015	0	324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	821	1023	957	138	131	291	135	118	301	327	315	478	0	0	171	1047	774	232	168	112	0	0	0	0	0
H4C11	212.018519	185	106	0	0	0	299	0	0	0	347	190	109	0	0	360	1161	0	0	0	0	0	0	1317	155	1218	0	0	0	0	0	559	612	893	88	0	208	0	0	286	307	172	130	792	226	0	0	1351	165	112	101	0	0	0	0	0
STOML2	211.962963	168	0	0	0	0	116	175	0	0	257	0	168	0	1165	146	490	0	0	0	0	0	0	278	0	208	244	0	116	0	0	454	724	684	98	117	264	0	0	436	526	230	96	656	240	242	1199	1282	303	70	0	0	294	0	0	0
MED9	211.944444	106	107	0	0	0	169	145	0	0	201	126	169	0	434	89	497	0	0	0	0	0	0	484	0	417	581	202	237	218	0	521	603	632	90	79	297	0	0	602	382	184	128	675	282	0	584	1451	176	0	167	0	410	0	0	0
UBE2G2	211.925926	216	179	0	166	156	300	161	0	91	312	188	98	79	644	73	593	0	0	0	0	0	108	431	0	368	210	0	0	0	0	437	803	674	0	123	270	99	125	198	319	181	188	661	0	150	895	1193	287	168	100	0	200	0	0	0
MAFG	211.833333	245	138	0	139	0	146	277	0	0	334	145	153	0	710	0	215	0	0	0	0	0	0	186	0	0	0	0	0	0	0	403	645	771	163	190	543	201	121	494	555	282	108	1021	423	177	552	1303	509	101	189	0	0	0	0	0
SMPD4	211.759259	143	192	0	93	0	218	0	0	0	231	137	0	0	658	97	299	0	0	0	0	0	0	378	0	315	941	589	589	353	0	334	439	441	0	0	115	0	0	199	157	137	235	644	0	0	316	812	127	94	0	418	1427	203	104	0
MZT2B	211.759259	143	192	0	93	0	218	0	0	0	231	137	0	0	658	97	299	0	0	0	0	0	0	378	0	315	941	589	589	353	0	334	439	441	0	0	115	0	0	199	157	137	235	644	0	0	316	812	127	94	0	418	1427	203	104	0
SNAPC1	211.648148	295	0	0	0	130	169	346	0	146	416	108	352	0	154	120	288	0	0	0	0	0	0	458	0	422	0	0	0	0	0	235	529	840	140	212	433	166	0	533	567	475	191	412	137	0	634	1738	427	194	162	0	0	0	0	0
CBX8	211.629630	218	129	0	0	0	0	487	130	106	242	0	260	0	473	0	123	0	0	0	0	0	0	347	0	298	0	0	0	0	0	437	728	649	216	319	618	250	98	540	768	301	0	866	321	165	449	871	514	278	227	0	0	0	0	0
SFSWAP	211.611111	116	90	0	0	0	138	87	0	0	114	0	0	0	212	122	441	0	0	0	0	0	191	425	0	357	1049	696	645	519	0	216	405	413	0	0	128	0	0	130	87	110	101	305	0	0	867	868	114	0	0	514	1534	226	207	0
PARPBP	211.592593	186	109	0	109	94	160	181	0	0	125	85	111	0	385	138	605	0	0	0	0	0	0	706	0	613	286	155	161	0	0	410	710	737	91	101	232	141	88	212	148	191	166	492	127	167	1178	1541	157	0	105	0	223	0	0	0
NUP37	211.592593	186	109	0	109	94	160	181	0	0	125	85	111	0	385	138	605	0	0	0	0	0	0	706	0	613	286	155	161	0	0	410	710	737	91	101	232	141	88	212	148	191	166	492	127	167	1178	1541	157	0	105	0	223	0	0	0
OSGIN2	211.574074	408	408	102	355	261	608	283	78	166	421	266	219	219	281	140	533	0	0	0	0	0	0	351	0	311	0	0	0	0	0	353	401	337	143	193	417	216	209	691	382	438	386	323	0	0	255	391	320	203	357	0	0	0	0	0
SLC25A32	211.518519	355	277	0	214	192	422	234	0	104	294	148	191	79	635	203	478	0	0	0	0	0	0	410	0	391	0	0	0	0	0	418	474	579	81	257	331	117	0	362	371	355	260	441	0	0	624	1356	240	246	283	0	0	0	0	0
DCAF13	211.518519	355	277	0	214	192	422	234	0	104	294	148	191	79	635	203	478	0	0	0	0	0	0	410	0	391	0	0	0	0	0	418	474	579	81	257	331	117	0	362	371	355	260	441	0	0	624	1356	240	246	283	0	0	0	0	0
RPL10A	211.500000	172	0	0	0	0	98	0	0	0	109	89	0	0	945	277	680	0	0	0	0	0	0	1060	0	941	107	0	0	0	0	806	916	704	0	0	126	0	0	95	138	0	161	1186	327	248	635	1343	117	0	0	0	141	0	0	0
